,domain,argtype,premises,conclusion,scm,is_osherson
86,Birds,General,"('Turkeys', 'Roosters')",Birds,10.301470588235295,0.0
41,Birds,General,"('Peacocks', 'Swans')",Birds,10.32843137254902,0.0
22,Birds,General,"('Eagles', 'Storks')",Birds,10.35049019607843,0.0
46,Birds,General,"('Parrots', 'Robins')",Birds,10.352941176470587,0.0
16,Birds,General,"('Ostriches', 'Turkeys')",Birds,10.357843137254903,0.0
23,Birds,General,"('Chickens', 'Ducks')",Birds,10.41421568627451,0.0
21,Birds,General,"('Eagles', 'Pelicans')",Birds,10.431372549019608,0.0
24,Birds,General,"('Woodpeckers', 'Swallows')",Birds,10.443627450980392,0.0
54,Birds,General,"('Pelicans', 'Ducks')",Birds,10.458333333333334,0.0
99,Birds,General,"('Parrots', 'Sparrows')",Birds,10.519607843137257,0.0
50,Birds,General,"('Roosters', 'Canaries')",Birds,10.544117647058824,0.0
66,Birds,General,"('Parrots', 'Woodpeckers')",Birds,10.54656862745098,0.0
93,Birds,General,"('Herons', 'Vultures')",Birds,10.549019607843137,0.0
19,Birds,General,"('Woodpeckers', 'Magpies')",Birds,10.553921568627452,0.0
51,Birds,General,"('Herons', 'Pelicans')",Birds,10.553921568627452,0.0
49,Birds,General,"('Herons', 'Eagles')",Birds,10.558823529411766,0.0
92,Birds,General,"('Swans', 'Parrots')",Birds,10.57843137254902,0.0
75,Birds,General,"('Woodpeckers', 'Canaries')",Birds,10.583333333333334,0.0
62,Birds,General,"('Eagles', 'Peacocks')",Birds,10.625,0.0
44,Birds,General,"('Woodpeckers', 'Blackbirds')",Birds,10.64950980392157,0.0
38,Birds,General,"('Ducks', 'Storks')",Birds,10.705882352941176,0.0
13,Birds,General,"('Peacocks', 'Vultures')",Birds,10.718137254901961,0.0
78,Birds,General,"('Parrots', 'Chickens')",Birds,10.74754901960784,0.0
30,Birds,General,"('Vultures', 'Crows')",Birds,10.821078431372548,0.0
35,Birds,General,"('Blackbirds', 'Doves')",Birds,10.845588235294116,0.0
48,Birds,General,"('Vultures', 'Seagulls')",Birds,10.899509803921568,0.0
8,Birds,General,"('Eagles', 'Robins')",Birds,10.901960784313728,0.0
37,Birds,General,"('Peacocks', 'Falcons')",Birds,10.904411764705884,0.0
98,Birds,General,"('Falcons', 'Storks')",Birds,10.92156862745098,0.0
85,Birds,General,"('Storks', 'Turkeys')",Birds,10.924019607843137,0.0
26,Birds,General,"('Parrots', 'Magpies')",Birds,10.92892156862745,0.0
2,Birds,General,"('Seagulls', 'Blackbirds')",Birds,10.936274509803923,0.0
87,Birds,General,"('Roosters', 'Sparrows')",Birds,10.965686274509805,0.0
0,Birds,General,"('Seagulls', 'Ducks')",Birds,10.985294117647058,0.0
20,Birds,General,"('Crows', 'Sparrows')",Birds,11.012254901960786,0.0
31,Birds,General,"('Falcons', 'Swans')",Birds,11.031862745098039,0.0
45,Birds,General,"('Herons', 'Peacocks')",Birds,11.03921568627451,0.0
61,Birds,General,"('Sparrows', 'Ducks')",Birds,11.061274509803923,0.0
56,Birds,General,"('Pelicans', 'Chickens')",Birds,11.063725490196077,0.0
40,Birds,General,"('Vultures', 'Swallows')",Birds,11.095588235294116,0.0
4,Birds,General,"('Crows', 'Roosters')",Birds,11.161764705882353,0.0
43,Birds,General,"('Doves', 'Magpies')",Birds,11.176470588235295,0.0
32,Birds,General,"('Swallows', 'Roosters')",Birds,11.191176470588237,0.0
67,Birds,General,"('Pelicans', 'Swallows')",Birds,11.191176470588237,0.0
39,Birds,General,"('Swans', 'Sparrows')",Birds,11.208333333333334,0.0
7,Birds,General,"('Vultures', 'Turkeys')",Birds,11.218137254901961,0.0
97,Birds,General,"('Vultures', 'Sparrows')",Birds,11.227941176470589,0.0
10,Birds,General,"('Turkeys', 'Robins')",Birds,11.313725490196077,0.0
64,Birds,General,"('Turkeys', 'Seagulls')",Birds,11.323529411764705,0.0
58,Birds,General,"('Herons', 'Woodpeckers')",Birds,11.367647058823529,0.0
59,Birds,General,"('Swallows', 'Herons')",Birds,11.367647058823529,0.0
60,Birds,General,"('Chickens', 'Eagles')",Birds,11.370098039215685,0.0
3,Birds,General,"('Swans', 'Blackbirds')",Birds,11.411764705882353,0.0
12,Birds,General,"('Swans', 'Woodpeckers')",Birds,11.41421568627451,0.0
36,Birds,General,"('Peacocks', 'Magpies')",Birds,11.443627450980392,0.0
9,Birds,General,"('Turkeys', 'Falcons')",Birds,11.446078431372548,0.0
1,Birds,General,"('Vultures', 'Magpies')",Birds,11.455882352941176,0.0
71,Birds,General,"('Doves', 'Turkeys')",Birds,11.458333333333334,0.0
91,Birds,General,"('Vultures', 'Doves')",Birds,11.482843137254902,0.0
69,Birds,General,"('Sparrows', 'Turkeys')",Birds,11.531862745098039,0.0
77,Birds,General,"('Magpies', 'Pelicans')",Birds,11.531862745098039,0.0
70,Birds,General,"('Storks', 'Doves')",Birds,11.536764705882353,0.0
74,Birds,General,"('Woodpeckers', 'Chickens')",Birds,11.57107843137255,0.0
88,Birds,General,"('Magpies', 'Ducks')",Birds,11.612745098039214,0.0
76,Birds,General,"('Crows', 'Chickens')",Birds,11.620098039215685,0.0
25,Birds,General,"('Storks', 'Magpies')",Birds,11.632352941176471,0.0
42,Birds,General,"('Swans', 'Magpies')",Birds,11.67892156862745,0.0
34,Birds,General,"('Doves', 'Herons')",Birds,11.688725490196077,0.0
14,Birds,General,"('Turkeys', 'Woodpeckers')",Birds,11.705882352941176,0.0
27,Birds,General,"('Magpies', 'Herons')",Birds,11.720588235294118,0.0
63,Birds,General,"('Turkeys', 'Blackbirds')",Birds,11.727941176470589,0.0
82,Birds,General,"('Chickens', 'Herons')",Birds,11.821078431372548,0.0
84,Birds,General,"('Chickens', 'Magpies')",Birds,11.884803921568627,0.0
53,Birds,General,"('Turkeys', 'Magpies')",Birds,12.004901960784315,0.0
110,Birds,Specific,"('Ostriches', 'Storks')",Robins,7.840686274509804,0.0
105,Birds,Specific,"('Canaries', 'Blackbirds')",Ostriches,7.855392156862745,0.0
155,Birds,Specific,"('Ostriches', 'Storks')",Canaries,7.870098039215686,0.0
122,Birds,Specific,"('Robins', 'Canaries')",Eagles,7.9693627450980395,0.0
175,Birds,Specific,"('Robins', 'Sparrows')",Pelicans,7.997549019607844,0.0
138,Birds,Specific,"('Eagles', 'Vultures')",Canaries,7.998774509803921,0.0
197,Birds,Specific,"('Pelicans', 'Ostriches')",Canaries,8.014705882352942,0.0
195,Birds,Specific,"('Canaries', 'Sparrows')",Pelicans,8.087009803921568,0.0
194,Birds,Specific,"('Ostriches', 'Vultures')",Canaries,8.136029411764707,0.0
106,Birds,Specific,"('Eagles', 'Ostriches')",Blackbirds,8.155637254901961,0.0
149,Birds,Specific,"('Canaries', 'Robins')",Falcons,8.23406862745098,0.0
118,Birds,Specific,"('Sparrows', 'Robins')",Herons,8.70343137254902,0.0
189,Birds,Specific,"('Swans', 'Canaries')",Eagles,8.718137254901961,0.0
147,Birds,Specific,"('Magpies', 'Crows')",Swans,8.76593137254902,0.0
178,Birds,Specific,"('Parrots', 'Ducks')",Sparrows,8.830882352941176,0.0
115,Birds,Specific,"('Pelicans', 'Falcons')",Canaries,8.855392156862745,0.0
133,Birds,Specific,"('Crows', 'Eagles')",Robins,8.863970588235293,0.0
152,Birds,Specific,"('Blackbirds', 'Parrots')",Ostriches,8.875,0.0
192,Birds,Specific,"('Blackbirds', 'Robins')",Roosters,8.887254901960784,0.0
114,Birds,Specific,"('Ostriches', 'Swans')",Crows,8.92156862745098,0.0
135,Birds,Specific,"('Turkeys', 'Swans')",Woodpeckers,8.931372549019608,0.0
186,Birds,Specific,"('Woodpeckers', 'Canaries')",Swans,8.938725490196079,0.0
137,Birds,Specific,"('Falcons', 'Woodpeckers')",Swans,9.068627450980392,0.0
128,Birds,Specific,"('Roosters', 'Chickens')",Blackbirds,9.104166666666666,0.0
116,Birds,Specific,"('Ostriches', 'Ducks')",Magpies,9.14828431372549,0.0
150,Birds,Specific,"('Pelicans', 'Herons')",Doves,9.188725490196079,0.0
141,Birds,Specific,"('Canaries', 'Chickens')",Storks,9.218137254901961,0.0
181,Birds,Specific,"('Blackbirds', 'Crows')",Pelicans,9.435049019607844,0.0
103,Birds,Specific,"('Storks', 'Eagles')",Turkeys,9.469362745098039,0.0
165,Birds,Specific,"('Robins', 'Swallows')",Peacocks,9.495098039215687,0.0
157,Birds,Specific,"('Swans', 'Parrots')",Eagles,9.524509803921568,0.0
199,Birds,Specific,"('Herons', 'Swans')",Doves,9.662990196078432,0.0
182,Birds,Specific,"('Turkeys', 'Pelicans')",Parrots,9.810049019607842,0.0
134,Birds,Specific,"('Vultures', 'Woodpeckers')",Storks,9.959558823529413,0.0
180,Birds,Specific,"('Chickens', 'Ostriches')",Pelicans,9.970588235294116,0.0
191,Birds,Specific,"('Roosters', 'Seagulls')",Eagles,9.974264705882355,0.0
159,Birds,Specific,"('Roosters', 'Robins')",Parrots,10.022058823529413,0.0
112,Birds,Specific,"('Woodpeckers', 'Seagulls')",Eagles,10.02328431372549,0.0
117,Birds,Specific,"('Magpies', 'Seagulls')",Falcons,10.107843137254903,0.0
145,Birds,Specific,"('Doves', 'Swallows')",Peacocks,10.167892156862745,0.0
176,Birds,Specific,"('Ducks', 'Storks')",Eagles,10.205882352941176,0.0
119,Birds,Specific,"('Canaries', 'Seagulls')",Storks,10.275735294117647,0.0
179,Birds,Specific,"('Ducks', 'Turkeys')",Pelicans,10.305147058823529,0.0
188,Birds,Specific,"('Ostriches', 'Ducks')",Storks,10.41299019607843,0.0
129,Birds,Specific,"('Woodpeckers', 'Ostriches')",Sparrows,10.420343137254902,0.0
171,Birds,Specific,"('Herons', 'Storks')",Ostriches,10.438725490196077,0.0
168,Birds,Specific,"('Blackbirds', 'Ducks')",Seagulls,10.448529411764707,0.0
136,Birds,Specific,"('Swans', 'Woodpeckers')",Sparrows,10.677696078431373,0.0
190,Birds,Specific,"('Herons', 'Swallows')",Sparrows,10.742647058823529,0.0
166,Birds,Specific,"('Parrots', 'Vultures')",Crows,10.764705882352942,0.0
148,Birds,Specific,"('Robins', 'Parrots')",Doves,10.911764705882351,0.0
107,Birds,Specific,"('Ostriches', 'Doves')",Ducks,10.964460784313726,0.0
161,Birds,Specific,"('Herons', 'Woodpeckers')",Doves,10.977941176470587,0.0
146,Birds,Specific,"('Turkeys', 'Doves')",Swallows,11.199754901960784,0.0
193,Birds,Specific,"('Woodpeckers', 'Peacocks')",Roosters,11.202205882352942,0.0
160,Birds,Specific,"('Sparrows', 'Peacocks')",Roosters,11.216911764705882,0.0
142,Birds,Specific,"('Roosters', 'Doves')",Robins,11.232843137254902,0.0
196,Birds,Specific,"('Blackbirds', 'Storks')",Canaries,11.284313725490197,0.0
164,Birds,Specific,"('Pelicans', 'Falcons')",Herons,11.29656862745098,0.0
143,Birds,Specific,"('Vultures', 'Turkeys')",Herons,11.432598039215687,0.0
177,Birds,Specific,"('Ostriches', 'Blackbirds')",Swallows,11.43872549019608,0.0
102,Birds,Specific,"('Storks', 'Swallows')",Blackbirds,11.507352941176471,0.0
172,Birds,Specific,"('Peacocks', 'Seagulls')",Turkeys,11.723039215686274,0.0
124,Birds,Specific,"('Herons', 'Blackbirds')",Doves,11.865196078431373,0.0
132,Birds,Specific,"('Ducks', 'Swallows')",Chickens,11.904411764705882,0.0
170,Birds,Specific,"('Swallows', 'Peacocks')",Seagulls,12.009803921568626,0.0
127,Birds,Specific,"('Turkeys', 'Herons')",Peacocks,12.040441176470587,0.0
121,Birds,Specific,"('Ducks', 'Vultures')",Turkeys,12.094362745098039,0.0
187,Birds,Specific,"('Turkeys', 'Crows')",Peacocks,12.104166666666666,0.0
144,Birds,Specific,"('Crows', 'Chickens')",Woodpeckers,12.133578431372548,0.0
120,Birds,Specific,"('Vultures', 'Magpies')",Woodpeckers,12.345588235294116,0.0
158,Birds,Specific,"('Ducks', 'Storks')",Pelicans,12.352941176470587,0.0
173,Birds,Specific,"('Ducks', 'Magpies')",Turkeys,12.36519607843137,0.0
162,Birds,Specific,"('Chickens', 'Sparrows')",Canaries,12.528186274509803,0.0
130,Birds,Specific,"('Parrots', 'Eagles')",Vultures,12.618872549019608,0.0
140,Birds,Specific,"('Eagles', 'Blackbirds')",Magpies,12.654411764705882,0.0
151,Birds,Specific,"('Pelicans', 'Blackbirds')",Sparrows,12.725490196078432,0.0
174,Birds,Specific,"('Peacocks', 'Swans')",Ducks,12.781862745098039,0.0
198,Birds,Specific,"('Eagles', 'Parrots')",Falcons,12.854166666666668,0.0
156,Birds,Specific,"('Swans', 'Magpies')",Blackbirds,12.868872549019606,0.0
167,Birds,Specific,"('Swans', 'Parrots')",Ducks,12.906862745098039,0.0
139,Birds,Specific,"('Eagles', 'Turkeys')",Vultures,13.026960784313726,0.0
111,Birds,Specific,"('Falcons', 'Robins')",Sparrows,13.188725490196077,0.0
104,Birds,Specific,"('Sparrows', 'Seagulls')",Robins,13.242647058823529,0.0
163,Birds,Specific,"('Swallows', 'Swans')",Ducks,13.268382352941178,0.0
113,Birds,Specific,"('Falcons', 'Sparrows')",Robins,13.270833333333334,0.0
126,Birds,Specific,"('Blackbirds', 'Eagles')",Falcons,13.272058823529413,0.0
101,Birds,Specific,"('Herons', 'Magpies')",Crows,13.301470588235293,0.0
123,Birds,Specific,"('Doves', 'Herons')",Storks,13.344362745098039,0.0
100,Birds,Specific,"('Herons', 'Magpies')",Storks,13.360294117647058,0.0
183,Birds,Specific,"('Chickens', 'Sparrows')",Robins,13.439950980392156,0.0
108,Birds,Specific,"('Swans', 'Magpies')",Ducks,13.457107843137255,0.0
169,Birds,Specific,"('Chickens', 'Parrots')",Turkeys,13.550245098039213,0.0
184,Birds,Specific,"('Sparrows', 'Turkeys')",Chickens,13.942401960784313,0.0
125,Birds,Specific,"('Roosters', 'Swans')",Chickens,14.033088235294116,0.0
185,Birds,Specific,"('Parrots', 'Chickens')",Roosters,14.079656862745097,0.0
153,Birds,Specific,"('Magpies', 'Chickens')",Turkeys,14.118872549019606,0.0
154,Birds,Specific,"('Storks', 'Chickens')",Roosters,14.372549019607842,0.0
109,Birds,Specific,"('Seagulls', 'Chickens')",Roosters,14.38112745098039,0.0
131,Birds,Specific,"('Magpies', 'Roosters')",Chickens,14.416666666666666,0.0
273,Mammals,General,"('Mice', 'Hedgehogs')",Mammals,7.907894736842105,0.0
298,Mammals,General,"('Mice', 'Hamsters')",Mammals,8.142543859649123,0.0
267,Mammals,General,"('Mice', 'Squirrels')",Mammals,8.31140350877193,0.0
249,Mammals,General,"('Squirrels', 'Hedgehogs')",Mammals,8.317982456140351,0.0
286,Mammals,General,"('Hedgehogs', 'Beavers')",Mammals,8.410087719298247,0.0
231,Mammals,General,"('Hamsters', 'Hedgehogs')",Mammals,8.482456140350877,0.0
260,Mammals,General,"('Hamsters', 'Squirrels')",Mammals,8.491228070175438,0.0
291,Mammals,General,"('Beavers', 'Mice')",Mammals,8.521929824561402,0.0
256,Mammals,General,"('Squirrels', 'Beavers')",Mammals,8.567982456140351,0.0
214,Mammals,General,"('Mice', 'Rabbits')",Mammals,8.646929824561404,0.0
241,Mammals,General,"('Rabbits', 'Squirrels')",Mammals,8.664473684210527,0.0
263,Mammals,General,"('Rabbits', 'Hedgehogs')",Mammals,8.692982456140351,0.0
228,Mammals,General,"('Rabbits', 'Hamsters')",Mammals,8.714912280701755,0.0
294,Mammals,General,"('Beavers', 'Rabbits')",Mammals,8.81140350877193,0.0
246,Mammals,General,"('Elephants', 'Rhinos')",Mammals,8.817982456140351,0.0
247,Mammals,General,"('Hamsters', 'Beavers')",Mammals,8.820175438596491,0.0
235,Mammals,General,"('Rhinos', 'Hippos')",Mammals,8.837719298245615,0.0
244,Mammals,General,"('Hippos', 'Elephants')",Mammals,8.896929824561404,0.0
252,Mammals,General,"('Elephants', 'Giraffes')",Mammals,9.015350877192983,0.0
274,Mammals,General,"('Camels', 'Giraffes')",Mammals,9.133771929824562,0.0
211,Mammals,General,"('Rhinos', 'Giraffes')",Mammals,9.140350877192981,0.0
208,Mammals,General,"('Elephants', 'Camels')",Mammals,9.206140350877194,0.0
225,Mammals,General,"('Sheep', 'Beavers')",Mammals,9.217105263157896,0.0
250,Mammals,General,"('Hedgehogs', 'Sheep')",Mammals,9.219298245614034,0.0
272,Mammals,General,"('Giraffes', 'Hippos')",Mammals,9.228070175438596,0.0
242,Mammals,General,"('Cows', 'Elephants')",Mammals,9.307017543859649,0.0
275,Mammals,General,"('Beavers', 'Cats')",Mammals,9.31140350877193,0.0
259,Mammals,General,"('Foxes', 'Wolves')",Mammals,9.322368421052632,0.0
264,Mammals,General,"('Hedgehogs', 'Cats')",Mammals,9.324561403508772,0.0
245,Mammals,General,"('Cows', 'Giraffes')",Mammals,9.328947368421053,0.0
261,Mammals,General,"('Dogs', 'Foxes')",Mammals,9.394736842105264,0.0
223,Mammals,General,"('Camels', 'Cows')",Mammals,9.414473684210527,0.0
207,Mammals,General,"('Dogs', 'Wolves')",Mammals,9.445175438596491,0.0
257,Mammals,General,"('Squirrels', 'Sheep')",Mammals,9.491228070175438,0.0
299,Mammals,General,"('Cats', 'Squirrels')",Mammals,9.50438596491228,0.0
210,Mammals,General,"('Foxes', 'Beavers')",Mammals,9.526315789473685,0.0
295,Mammals,General,"('Elephants', 'Hedgehogs')",Mammals,9.587719298245615,0.0
218,Mammals,General,"('Sheep', 'Camels')",Mammals,9.605263157894736,0.0
287,Mammals,General,"('Zebras', 'Giraffes')",Mammals,9.633771929824562,0.0
271,Mammals,General,"('Llamas', 'Camels')",Mammals,9.68421052631579,0.0
279,Mammals,General,"('Donkeys', 'Horses')",Mammals,9.710526315789474,0.0
288,Mammals,General,"('Elephants', 'Zebras')",Mammals,9.710526315789474,0.0
290,Mammals,General,"('Dogs', 'Hedgehogs')",Mammals,9.730263157894736,0.0
237,Mammals,General,"('Donkeys', 'Giraffes')",Mammals,9.74561403508772,0.0
215,Mammals,General,"('Camels', 'Donkeys')",Mammals,9.780701754385964,0.0
282,Mammals,General,"('Deer', 'Rhinos')",Mammals,9.780701754385966,0.0
200,Mammals,General,"('Rhinos', 'Beavers')",Mammals,9.80921052631579,0.0
238,Mammals,General,"('Hippos', 'Hedgehogs')",Mammals,9.817982456140351,0.0
201,Mammals,General,"('Wolves', 'Beavers')",Mammals,9.828947368421053,0.0
284,Mammals,General,"('Mice', 'Dogs')",Mammals,9.846491228070176,0.0
243,Mammals,General,"('Horses', 'Cows')",Mammals,9.923245614035087,0.0
296,Mammals,General,"('Lions', 'Camels')",Mammals,9.956140350877194,0.0
285,Mammals,General,"('Elephants', 'Llamas')",Mammals,9.962719298245615,0.0
268,Mammals,General,"('Mice', 'Wolves')",Mammals,9.973684210526317,0.0
236,Mammals,General,"('Zebras', 'Llamas')",Mammals,10.028508771929824,0.0
278,Mammals,General,"('Wolves', 'Elephants')",Mammals,10.028508771929825,0.0
221,Mammals,General,"('Tigers', 'Cats')",Mammals,10.030701754385964,0.0
258,Mammals,General,"('Foxes', 'Lions')",Mammals,10.032894736842104,0.0
270,Mammals,General,"('Rhinos', 'Donkeys')",Mammals,10.041666666666666,0.0
213,Mammals,General,"('Foxes', 'Hamsters')",Mammals,10.083333333333334,0.0
224,Mammals,General,"('Foxes', 'Elephants')",Mammals,10.116228070175438,0.0
240,Mammals,General,"('Deer', 'Squirrels')",Mammals,10.203947368421053,0.0
206,Mammals,General,"('Dogs', 'Hamsters')",Mammals,10.232456140350877,0.0
226,Mammals,General,"('Tigers', 'Hedgehogs')",Mammals,10.258771929824562,0.0
281,Mammals,General,"('Cows', 'Squirrels')",Mammals,10.285087719298245,0.0
204,Mammals,General,"('Donkeys', 'Beavers')",Mammals,10.328947368421053,0.0
216,Mammals,General,"('Lions', 'Zebras')",Mammals,10.390350877192983,0.0
230,Mammals,General,"('Rabbits', 'Lions')",Mammals,10.427631578947368,0.0
289,Mammals,General,"('Llamas', 'Lions')",Mammals,10.432017543859649,0.0
251,Mammals,General,"('Donkeys', 'Lions')",Mammals,10.49780701754386,0.0
219,Mammals,General,"('Hamsters', 'Deer')",Mammals,10.506578947368421,0.0
297,Mammals,General,"('Wolves', 'Llamas')",Mammals,10.508771929824562,0.0
202,Mammals,General,"('Mice', 'Llamas')",Mammals,10.510964912280702,0.0
222,Mammals,General,"('Deer', 'Cats')",Mammals,10.530701754385964,0.0
292,Mammals,General,"('Zebras', 'Mice')",Mammals,10.554824561403509,0.0
227,Mammals,General,"('Llamas', 'Dogs')",Mammals,10.56140350877193,0.0
254,Mammals,General,"('Wolves', 'Zebras')",Mammals,10.62719298245614,0.0
205,Mammals,General,"('Tigers', 'Donkeys')",Mammals,10.63377192982456,0.0
269,Mammals,General,"('Foxes', 'Donkeys')",Mammals,10.646929824561402,0.0
239,Mammals,General,"('Lions', 'Hamsters')",Mammals,10.677631578947368,0.0
265,Mammals,General,"('Zebras', 'Dogs')",Mammals,10.695175438596493,0.0
293,Mammals,General,"('Llamas', 'Squirrels')",Mammals,10.708333333333334,0.0
209,Mammals,General,"('Tigers', 'Horses')",Mammals,10.723684210526315,0.0
248,Mammals,General,"('Rabbits', 'Llamas')",Mammals,10.75,0.0
262,Mammals,General,"('Squirrels', 'Zebras')",Mammals,10.758771929824562,0.0
203,Mammals,General,"('Cats', 'Cows')",Mammals,10.7609649122807,0.0
212,Mammals,General,"('Mice', 'Horses')",Mammals,10.780701754385964,0.0
232,Mammals,General,"('Tigers', 'Hamsters')",Mammals,10.791666666666666,0.0
280,Mammals,General,"('Donkeys', 'Hamsters')",Mammals,10.861842105263158,0.0
217,Mammals,General,"('Wolves', 'Horses')",Mammals,10.875,0.0
233,Mammals,General,"('Dogs', 'Horses')",Mammals,10.918859649122808,0.0
283,Mammals,General,"('Horses', 'Foxes')",Mammals,10.962719298245611,0.0
220,Mammals,General,"('Horses', 'Squirrels')",Mammals,10.984649122807019,0.0
277,Mammals,General,"('Hamsters', 'Llamas')",Mammals,10.984649122807019,0.0
229,Mammals,General,"('Cats', 'Donkeys')",Mammals,11.002192982456142,0.0
255,Mammals,General,"('Rabbits', 'Horses')",Mammals,11.019736842105265,0.0
253,Mammals,General,"('Zebras', 'Hamsters')",Mammals,11.032894736842104,0.0
276,Mammals,General,"('Zebras', 'Cats')",Mammals,11.052631578947368,0.0
266,Mammals,General,"('Horses', 'Hamsters')",Mammals,11.25438596491228,0.0
234,Mammals,General,"('Horses', 'Cats')",Mammals,11.31578947368421,0.0
400,Mammals,Specific,"('Dolphins', 'Seals')",Horses,0.06,1.0
415,Mammals,Specific,"('Mice', 'Squirrels')",Horses,0.17,1.0
376,Mammals,Specific,"('Chimps', 'Gorillas')",Horses,0.23,1.0
330,Mammals,Specific,"('Mice', 'Seals')",Horses,0.25,1.0
418,Mammals,Specific,"('Squirrels', 'Seals')",Horses,0.26,1.0
379,Mammals,Specific,"('Mice', 'Dolphins')",Horses,0.28,1.0
381,Mammals,Specific,"('Squirrels', 'Dolphins')",Horses,0.32,1.0
405,Mammals,Specific,"('Gorillas', 'Dolphins')",Horses,0.38,1.0
323,Mammals,Specific,"('Chimps', 'Squirrels')",Horses,0.4,1.0
370,Mammals,Specific,"('Chimps', 'Dolphins')",Horses,0.4,1.0
410,Mammals,Specific,"('Gorillas', 'Seals')",Horses,0.41,1.0
324,Mammals,Specific,"('Chimps', 'Mice')",Horses,0.42,1.0
422,Mammals,Specific,"('Chimps', 'Seals')",Horses,0.43,1.0
333,Mammals,Specific,"('Gorillas', 'Squirrels')",Horses,0.47,1.0
351,Mammals,Specific,"('Gorillas', 'Mice')",Horses,0.48,1.0
354,Mammals,Specific,"('Seals', 'Elephants')",Horses,0.51,1.0
396,Mammals,Specific,"('Dolphins', 'Elephants')",Horses,0.51,1.0
368,Mammals,Specific,"('Squirrels', 'Elephants')",Horses,0.54,1.0
426,Mammals,Specific,"('Dolphins', 'Rhinos')",Horses,0.54,1.0
313,Mammals,Specific,"('Seals', 'Rhinos')",Horses,0.56,1.0
425,Mammals,Specific,"('Elephants', 'Rhinos')",Horses,0.57,1.0
361,Mammals,Specific,"('Mice', 'Elephants')",Horses,0.58,1.0
399,Mammals,Specific,"('Chimps', 'Elephants')",Horses,0.59,1.0
340,Mammals,Specific,"('Squirrels', 'Rhinos')",Horses,0.61,1.0
362,Mammals,Specific,"('Gorillas', 'Elephants')",Horses,0.61,1.0
428,Mammals,Specific,"('Mice', 'Rhinos')",Horses,0.62,1.0
430,Mammals,Specific,"('Gorillas', 'Rhinos')",Horses,0.63,1.0
435,Mammals,Specific,"('Chimps', 'Rhinos')",Horses,0.64,1.0
377,Mammals,Specific,"('Cows', 'Squirrels')",Horses,0.72,1.0
308,Mammals,Specific,"('Cows', 'Dolphins')",Horses,0.73,1.0
347,Mammals,Specific,"('Cows', 'Seals')",Horses,0.73,1.0
358,Mammals,Specific,"('Cows', 'Mice')",Horses,0.74,1.0
311,Mammals,Specific,"('Cows', 'Elephants')",Horses,0.75,1.0
387,Mammals,Specific,"('Cows', 'Gorillas')",Horses,0.75,1.0
374,Mammals,Specific,"('Cows', 'Rhinos')",Horses,0.77,1.0
302,Mammals,Specific,"('Cows', 'Chimps')",Horses,0.79,1.0
411,Mammals,Specific,"('Mice', 'Hedgehogs')",Wolves,6.717105263157895,0.0
409,Mammals,Specific,"('Hedgehogs', 'Mice')",Elephants,6.927631578947368,0.0
312,Mammals,Specific,"('Rhinos', 'Camels')",Mice,6.946271929824562,0.0
328,Mammals,Specific,"('Rhinos', 'Elephants')",Squirrels,6.987938596491228,0.0
406,Mammals,Specific,"('Giraffes', 'Elephants')",Hamsters,7.0339912280701755,0.0
