,batch_num,domain,argtype,is_osherson,is_single_premise,argument
114,0,Mammals,General,0.0,False,"[['Beavers', 'Camels'], 'Mammals']"
115,0,Mammals,General,0.0,False,"[['Cows', 'Hedgehogs'], 'Mammals']"
116,0,Mammals,General,0.0,False,"[['Tigers', 'Cows'], 'Mammals']"
117,0,Mammals,General,0.0,False,"[['Squirrels', 'Tigers'], 'Mammals']"
118,0,Mammals,General,0.0,False,"[['Rabbits', 'Llamas'], 'Mammals']"
119,0,Mammals,General,0.0,False,"[['Horses', 'Cats'], 'Mammals']"
0,0,Mammals,General,0.0,True,"[['Hippos'], 'Mammals']"
1,0,Mammals,General,0.0,True,"[['Giraffes'], 'Mammals']"
2,0,Mammals,General,0.0,True,"[['Lions'], 'Mammals']"
3,0,Mammals,General,0.0,True,"[['Mice'], 'Mammals']"
4,0,Mammals,General,0.0,True,"[['Squirrels'], 'Mammals']"
5,0,Mammals,General,0.0,True,"[['Cats'], 'Mammals']"
6,0,Mammals,General,0.0,True,"[['Tigers'], 'Mammals']"
7,0,Mammals,General,0.0,True,"[['Elephants'], 'Mammals']"
8,0,Mammals,General,0.0,True,"[['Hamsters'], 'Mammals']"
9,0,Mammals,General,0.0,True,"[['Hedgehogs'], 'Mammals']"
10,0,Mammals,General,0.0,True,"[['Cows'], 'Mammals']"
11,0,Mammals,General,0.0,True,"[['Dogs'], 'Mammals']"
12,0,Mammals,General,0.0,True,"[['Llamas'], 'Mammals']"
13,0,Mammals,General,0.0,True,"[['Zebras'], 'Mammals']"
14,0,Mammals,General,0.0,True,"[['Foxes'], 'Mammals']"
15,0,Mammals,General,0.0,True,"[['Sheep'], 'Mammals']"
16,0,Mammals,General,0.0,True,"[['Horses'], 'Mammals']"
17,0,Mammals,General,0.0,True,"[['Donkeys'], 'Mammals']"
18,0,Mammals,General,0.0,True,"[['Deer'], 'Mammals']"
19,0,Mammals,General,0.0,True,"[['Wolves'], 'Mammals']"
20,0,Mammals,General,0.0,True,"[['Rhinos'], 'Mammals']"
21,0,Mammals,General,0.0,True,"[['Rabbits'], 'Mammals']"
22,0,Mammals,General,0.0,True,"[['Camels'], 'Mammals']"
23,0,Mammals,General,0.0,True,"[['Beavers'], 'Mammals']"
410,0,Mammals,Specific,0.0,False,"[['Beavers', 'Mice'], 'Elephants']"
411,0,Mammals,Specific,0.0,False,"[['Elephants', 'Cows'], 'Squirrels']"
412,0,Mammals,Specific,0.0,False,"[['Sheep', 'Hippos'], 'Squirrels']"
413,0,Mammals,Specific,0.0,False,"[['Camels', 'Deer'], 'Cats']"
414,0,Mammals,Specific,0.0,False,"[['Cats', 'Elephants'], 'Beavers']"
415,0,Mammals,Specific,0.0,False,"[['Squirrels', 'Horses'], 'Rhinos']"
416,0,Mammals,Specific,0.0,False,"[['Camels', 'Rhinos'], 'Llamas']"
417,0,Mammals,Specific,0.0,False,"[['Dogs', 'Deer'], 'Wolves']"
418,0,Mammals,Specific,0.0,False,"[['Zebras', 'Tigers'], 'Cats']"
419,0,Mammals,Specific,0.0,False,"[['Zebras', 'Horses'], 'Donkeys']"
0,0,Mammals,Specific,0.0,True,"[['Zebras'], 'Cats']"
1,0,Mammals,Specific,0.0,True,"[['Hippos'], 'Squirrels']"
2,0,Mammals,Specific,0.0,True,"[['Beavers'], 'Horses']"
3,0,Mammals,Specific,0.0,True,"[['Camels'], 'Cats']"
4,0,Mammals,Specific,0.0,True,"[['Tigers'], 'Cats']"
5,0,Mammals,Specific,0.0,True,"[['Squirrels'], 'Rabbits']"
6,0,Mammals,Specific,0.0,True,"[['Mice'], 'Elephants']"
7,0,Mammals,Specific,0.0,True,"[['Camels'], 'Llamas']"
8,0,Mammals,Specific,0.0,True,"[['Sheep'], 'Squirrels']"
9,0,Mammals,Specific,0.0,True,"[['Horses'], 'Hedgehogs']"
10,0,Mammals,Specific,0.0,True,"[['Deer'], 'Wolves']"
11,0,Mammals,Specific,0.0,True,"[['Cows'], 'Squirrels']"
12,0,Mammals,Specific,0.0,True,"[['Elephants'], 'Beavers']"
13,0,Mammals,Specific,0.0,True,"[['Horses'], 'Donkeys']"
14,0,Mammals,Specific,0.0,True,"[['Rhinos'], 'Llamas']"
15,0,Mammals,Specific,0.0,True,"[['Cats'], 'Beavers']"
16,0,Mammals,Specific,0.0,True,"[['Deer'], 'Cats']"
17,0,Mammals,Specific,0.0,True,"[['Mice'], 'Hamsters']"
18,0,Mammals,Specific,0.0,True,"[['Beavers'], 'Elephants']"
19,0,Mammals,Specific,0.0,True,"[['Squirrels'], 'Rhinos']"
20,0,Mammals,Specific,0.0,True,"[['Dogs'], 'Wolves']"
21,0,Mammals,Specific,0.0,True,"[['Horses'], 'Rhinos']"
22,0,Mammals,Specific,0.0,True,"[['Zebras'], 'Donkeys']"
23,0,Mammals,Specific,0.0,True,"[['Elephants'], 'Squirrels']"
510,0,Mammals,Specific,1.0,False,"[['Mice', 'Squirrels'], 'Horses']"
511,0,Mammals,Specific,1.0,False,"[['Gorillas', 'Dolphins'], 'Horses']"
512,0,Mammals,Specific,1.0,False,"[['Gorillas', 'Seals'], 'Horses']"
513,0,Mammals,Specific,1.0,False,"[['Chimps', 'Mice'], 'Horses']"
514,0,Mammals,Specific,1.0,False,"[['Dolphins', 'Rhinos'], 'Horses']"
515,0,Mammals,Specific,1.0,False,"[['Seals', 'Rhinos'], 'Horses']"
516,0,Mammals,Specific,1.0,False,"[['Squirrels', 'Rhinos'], 'Horses']"
517,0,Mammals,Specific,1.0,False,"[['Mice', 'Rhinos'], 'Horses']"
518,0,Mammals,Specific,1.0,False,"[['Cows', 'Mice'], 'Horses']"
519,0,Mammals,Specific,1.0,False,"[['Cows', 'Gorillas'], 'Horses']"
0,0,Mammals,Specific,1.0,True,"[['Squirrels'], 'Horses']"
1,0,Mammals,Specific,1.0,True,"[['Rhinos'], 'Horses']"
2,0,Mammals,Specific,1.0,True,"[['Gorillas'], 'Horses']"
3,0,Mammals,Specific,1.0,True,"[['Elephants'], 'Horses']"
4,0,Mammals,Specific,1.0,True,"[['Dolphins'], 'Horses']"
5,0,Mammals,Specific,1.0,True,"[['Seals'], 'Horses']"
6,0,Mammals,Specific,1.0,True,"[['Cows'], 'Horses']"
7,0,Mammals,Specific,1.0,True,"[['Mice'], 'Horses']"
8,0,Mammals,Specific,1.0,True,"[['Chimps'], 'Horses']"
210,0,Vehicles,General,0.0,False,"[['Helicopters', 'Rockets'], 'Vehicles']"
211,0,Vehicles,General,0.0,False,"[['Helicopters', 'Skateboards'], 'Vehicles']"
212,0,Vehicles,General,0.0,False,"[['Skateboards', 'Zeppelins'], 'Vehicles']"
213,0,Vehicles,General,0.0,False,"[['Hovercraft', 'Sleds'], 'Vehicles']"
214,0,Vehicles,General,0.0,False,"[['Mopeds', 'Helicopters'], 'Vehicles']"
215,0,Vehicles,General,0.0,False,"[['Caravans', 'Boats'], 'Vehicles']"
216,0,Vehicles,General,0.0,False,"[['Rockets', 'Jeeps'], 'Vehicles']"
217,0,Vehicles,General,0.0,False,"[['Buses', 'Submarines'], 'Vehicles']"
218,0,Vehicles,General,0.0,False,"[['Cars', 'Skateboards'], 'Vehicles']"
219,0,Vehicles,General,0.0,False,"[['Buses', 'Cars'], 'Vehicles']"
0,0,Vehicles,General,0.0,True,"[['Carriages'], 'Vehicles']"
1,0,Vehicles,General,0.0,True,"[['Skateboards'], 'Vehicles']"
2,0,Vehicles,General,0.0,True,"[['Taxis'], 'Vehicles']"
3,0,Vehicles,General,0.0,True,"[['Tractors'], 'Vehicles']"
4,0,Vehicles,General,0.0,True,"[['Submarines'], 'Vehicles']"
5,0,Vehicles,General,0.0,True,"[['Caravans'], 'Vehicles']"
6,0,Vehicles,General,0.0,True,"[['Helicopters'], 'Vehicles']"
7,0,Vehicles,General,0.0,True,"[['Vans'], 'Vehicles']"
8,0,Vehicles,General,0.0,True,"[['Motorbikes'], 'Vehicles']"
9,0,Vehicles,General,0.0,True,"[['Boats'], 'Vehicles']"
10,0,Vehicles,General,0.0,True,"[['Zeppelins'], 'Vehicles']"
11,0,Vehicles,General,0.0,True,"[['Bicycles'], 'Vehicles']"
12,0,Vehicles,General,0.0,True,"[['Trams'], 'Vehicles']"
13,0,Vehicles,General,0.0,True,"[['Cars'], 'Vehicles']"
14,0,Vehicles,General,0.0,True,"[['Airplanes'], 'Vehicles']"
15,0,Vehicles,General,0.0,True,"[['Rockets'], 'Vehicles']"
16,0,Vehicles,General,0.0,True,"[['Carts'], 'Vehicles']"
17,0,Vehicles,General,0.0,True,"[['Hovercraft'], 'Vehicles']"
18,0,Vehicles,General,0.0,True,"[['Sleds'], 'Vehicles']"
19,0,Vehicles,General,0.0,True,"[['Jeeps'], 'Vehicles']"
20,0,Vehicles,General,0.0,True,"[['Trucks'], 'Vehicles']"
21,0,Vehicles,General,0.0,True,"[['Trains'], 'Vehicles']"
22,0,Vehicles,General,0.0,True,"[['Buses'], 'Vehicles']"
23,0,Vehicles,General,0.0,True,"[['Mopeds'], 'Vehicles']"
550,0,Vehicles,Specific,0.0,False,"[['Skateboards', 'Bicycles'], 'Airplanes']"
551,0,Vehicles,Specific,0.0,False,"[['Zeppelins', 'Airplanes'], 'Trams']"
552,0,Vehicles,Specific,0.0,False,"[['Skateboards', 'Carriages'], 'Hovercraft']"
553,0,Vehicles,Specific,0.0,False,"[['Motorbikes', 'Bicycles'], 'Carriages']"
554,0,Vehicles,Specific,0.0,False,"[['Rockets', 'Mopeds'], 'Cars']"
555,0,Vehicles,Specific,0.0,False,"[['Zeppelins', 'Tractors'], 'Jeeps']"
556,0,Vehicles,Specific,0.0,False,"[['Boats', 'Buses'], 'Trains']"
557,0,Vehicles,Specific,0.0,False,"[['Boats', 'Vans'], 'Hovercraft']"
558,0,Vehicles,Specific,0.0,False,"[['Vans', 'Tractors'], 'Trucks']"
559,0,Vehicles,Specific,0.0,False,"[['Taxis', 'Vans'], 'Cars']"
0,0,Vehicles,Specific,0.0,True,"[['Skateboards'], 'Hovercraft']"
1,0,Vehicles,Specific,0.0,True,"[['Taxis'], 'Cars']"
2,0,Vehicles,Specific,0.0,True,"[['Skateboards'], 'Airplanes']"
3,0,Vehicles,Specific,0.0,True,"[['Boats'], 'Hovercraft']"
4,0,Vehicles,Specific,0.0,True,"[['Vans'], 'Cars']"
5,0,Vehicles,Specific,0.0,True,"[['Carriages'], 'Hovercraft']"
6,0,Vehicles,Specific,0.0,True,"[['Zeppelins'], 'Trams']"
7,0,Vehicles,Specific,0.0,True,"[['Tractors'], 'Trucks']"
8,0,Vehicles,Specific,0.0,True,"[['Bicycles'], 'Airplanes']"
9,0,Vehicles,Specific,0.0,True,"[['Airplanes'], 'Trams']"
10,0,Vehicles,Specific,0.0,True,"[['Bicycles'], 'Carriages']"
11,0,Vehicles,Specific,0.0,True,"[['Buses'], 'Trains']"
12,0,Vehicles,Specific,0.0,True,"[['Rockets'], 'Cars']"
13,0,Vehicles,Specific,0.0,True,"[['Bicycles'], 'Zeppelins']"
14,0,Vehicles,Specific,0.0,True,"[['Buses'], 'Mopeds']"
15,0,Vehicles,Specific,0.0,True,"[['Vans'], 'Hovercraft']"
16,0,Vehicles,Specific,0.0,True,"[['Rockets'], 'Trams']"
17,0,Vehicles,Specific,0.0,True,"[['Mopeds'], 'Cars']"
18,0,Vehicles,Specific,0.0,True,"[['Boats'], 'Trains']"
19,0,Vehicles,Specific,0.0,True,"[['Tractors'], 'Jeeps']"
20,0,Vehicles,Specific,0.0,True,"[['Buses'], 'Taxis']"
21,0,Vehicles,Specific,0.0,True,"[['Zeppelins'], 'Jeeps']"
22,0,Vehicles,Specific,0.0,True,"[['Motorbikes'], 'Carriages']"
23,0,Vehicles,Specific,0.0,True,"[['Vans'], 'Trucks']"
10,1,Birds,General,0.0,False,"[['Pelicans', 'Swans'], 'Birds']"
11,1,Birds,General,0.0,False,"[['Robins', 'Blackbirds'], 'Birds']"
12,1,Birds,General,0.0,False,"[['Ducks', 'Turkeys'], 'Birds']"
13,1,Birds,General,0.0,False,"[['Seagulls', 'Ostriches'], 'Birds']"
14,1,Birds,General,0.0,False,"[['Seagulls', 'Pelicans'], 'Birds']"
15,1,Birds,General,0.0,False,"[['Falcons', 'Peacocks'], 'Birds']"
16,1,Birds,General,0.0,False,"[['Peacocks', 'Woodpeckers'], 'Birds']"
17,1,Birds,General,0.0,False,"[['Peacocks', 'Blackbirds'], 'Birds']"
18,1,Birds,General,0.0,False,"[['Chickens', 'Swallows'], 'Birds']"
19,1,Birds,General,0.0,False,"[['Crows', 'Turkeys'], 'Birds']"
0,1,Birds,General,0.0,True,"[['Chickens'], 'Birds']"
1,1,Birds,General,0.0,True,"[['Seagulls'], 'Birds']"
2,1,Birds,General,0.0,True,"[['Woodpeckers'], 'Birds']"
3,1,Birds,General,0.0,True,"[['Ostriches'], 'Birds']"
4,1,Birds,General,0.0,True,"[['Roosters'], 'Birds']"
5,1,Birds,General,0.0,True,"[['Swans'], 'Birds']"
6,1,Birds,General,0.0,True,"[['Falcons'], 'Birds']"
7,1,Birds,General,0.0,True,"[['Peacocks'], 'Birds']"
8,1,Birds,General,0.0,True,"[['Vultures'], 'Birds']"
9,1,Birds,General,0.0,True,"[['Robins'], 'Birds']"
10,1,Birds,General,0.0,True,"[['Blackbirds'], 'Birds']"
11,1,Birds,General,0.0,True,"[['Sparrows'], 'Birds']"
12,1,Birds,General,0.0,True,"[['Parrots'], 'Birds']"
13,1,Birds,General,0.0,True,"[['Ducks'], 'Birds']"
14,1,Birds,General,0.0,True,"[['Doves'], 'Birds']"
15,1,Birds,General,0.0,True,"[['Eagles'], 'Birds']"
16,1,Birds,General,0.0,True,"[['Swallows'], 'Birds']"
17,1,Birds,General,0.0,True,"[['Canaries'], 'Birds']"
18,1,Birds,General,0.0,True,"[['Storks'], 'Birds']"
19,1,Birds,General,0.0,True,"[['Magpies'], 'Birds']"
20,1,Birds,General,0.0,True,"[['Turkeys'], 'Birds']"
21,1,Birds,General,0.0,True,"[['Pelicans'], 'Birds']"
22,1,Birds,General,0.0,True,"[['Herons'], 'Birds']"
23,1,Birds,General,0.0,True,"[['Crows'], 'Birds']"
320,1,Birds,Specific,0.0,False,"[['Storks', 'Pelicans'], 'Sparrows']"
321,1,Birds,Specific,0.0,False,"[['Swallows', 'Robins'], 'Ostriches']"
322,1,Birds,Specific,0.0,False,"[['Roosters', 'Turkeys'], 'Crows']"
323,1,Birds,Specific,0.0,False,"[['Magpies', 'Ostriches'], 'Parrots']"
324,1,Birds,Specific,0.0,False,"[['Magpies', 'Turkeys'], 'Falcons']"
325,1,Birds,Specific,0.0,False,"[['Swans', 'Swallows'], 'Storks']"
326,1,Birds,Specific,0.0,False,"[['Woodpeckers', 'Falcons'], 'Magpies']"
327,1,Birds,Specific,0.0,False,"[['Crows', 'Ostriches'], 'Magpies']"
328,1,Birds,Specific,0.0,False,"[['Eagles', 'Ducks'], 'Falcons']"
329,1,Birds,Specific,0.0,False,"[['Crows', 'Turkeys'], 'Chickens']"
0,1,Birds,Specific,0.0,True,"[['Ducks'], 'Falcons']"
1,1,Birds,Specific,0.0,True,"[['Turkeys'], 'Crows']"
2,1,Birds,Specific,0.0,True,"[['Turkeys'], 'Chickens']"
3,1,Birds,Specific,0.0,True,"[['Crows'], 'Chickens']"
4,1,Birds,Specific,0.0,True,"[['Canaries'], 'Herons']"
5,1,Birds,Specific,0.0,True,"[['Swallows'], 'Storks']"
6,1,Birds,Specific,0.0,True,"[['Storks'], 'Sparrows']"
7,1,Birds,Specific,0.0,True,"[['Falcons'], 'Eagles']"
8,1,Birds,Specific,0.0,True,"[['Falcons'], 'Blackbirds']"
9,1,Birds,Specific,0.0,True,"[['Ostriches'], 'Magpies']"
10,1,Birds,Specific,0.0,True,"[['Robins'], 'Ostriches']"
11,1,Birds,Specific,0.0,True,"[['Woodpeckers'], 'Magpies']"
12,1,Birds,Specific,0.0,True,"[['Magpies'], 'Parrots']"
13,1,Birds,Specific,0.0,True,"[['Turkeys'], 'Falcons']"
14,1,Birds,Specific,0.0,True,"[['Crows'], 'Magpies']"
15,1,Birds,Specific,0.0,True,"[['Falcons'], 'Magpies']"
16,1,Birds,Specific,0.0,True,"[['Eagles'], 'Falcons']"
17,1,Birds,Specific,0.0,True,"[['Roosters'], 'Crows']"
18,1,Birds,Specific,0.0,True,"[['Robins'], 'Sparrows']"
19,1,Birds,Specific,0.0,True,"[['Swallows'], 'Ostriches']"
20,1,Birds,Specific,0.0,True,"[['Swans'], 'Storks']"
21,1,Birds,Specific,0.0,True,"[['Pelicans'], 'Sparrows']"
22,1,Birds,Specific,0.0,True,"[['Magpies'], 'Falcons']"
23,1,Birds,Specific,0.0,True,"[['Ostriches'], 'Parrots']"
120,1,Mammals,General,0.0,False,"[['Mice', 'Squirrels'], 'Mammals']"
121,1,Mammals,General,0.0,False,"[['Hedgehogs', 'Rabbits'], 'Mammals']"
122,1,Mammals,General,0.0,False,"[['Hippos', 'Giraffes'], 'Mammals']"
123,1,Mammals,General,0.0,False,"[['Sheep', 'Elephants'], 'Mammals']"
124,1,Mammals,General,0.0,False,"[['Hamsters', 'Sheep'], 'Mammals']"
125,1,Mammals,General,0.0,False,"[['Mice', 'Deer'], 'Mammals']"
126,1,Mammals,General,0.0,False,"[['Zebras', 'Lions'], 'Mammals']"
127,1,Mammals,General,0.0,False,"[['Cats', 'Giraffes'], 'Mammals']"
128,1,Mammals,General,0.0,False,"[['Cows', 'Cats'], 'Mammals']"
129,1,Mammals,General,0.0,False,"[['Hamsters', 'Horses'], 'Mammals']"
0,1,Mammals,General,0.0,True,"[['Mice'], 'Mammals']"
1,1,Mammals,General,0.0,True,"[['Deer'], 'Mammals']"
2,1,Mammals,General,0.0,True,"[['Donkeys'], 'Mammals']"
3,1,Mammals,General,0.0,True,"[['Hippos'], 'Mammals']"
4,1,Mammals,General,0.0,True,"[['Hedgehogs'], 'Mammals']"
5,1,Mammals,General,0.0,True,"[['Wolves'], 'Mammals']"
6,1,Mammals,General,0.0,True,"[['Cows'], 'Mammals']"
7,1,Mammals,General,0.0,True,"[['Zebras'], 'Mammals']"
8,1,Mammals,General,0.0,True,"[['Hamsters'], 'Mammals']"
9,1,Mammals,General,0.0,True,"[['Giraffes'], 'Mammals']"
10,1,Mammals,General,0.0,True,"[['Camels'], 'Mammals']"
11,1,Mammals,General,0.0,True,"[['Rhinos'], 'Mammals']"
12,1,Mammals,General,0.0,True,"[['Sheep'], 'Mammals']"
13,1,Mammals,General,0.0,True,"[['Tigers'], 'Mammals']"
14,1,Mammals,General,0.0,True,"[['Rabbits'], 'Mammals']"
15,1,Mammals,General,0.0,True,"[['Cats'], 'Mammals']"
16,1,Mammals,General,0.0,True,"[['Horses'], 'Mammals']"
17,1,Mammals,General,0.0,True,"[['Elephants'], 'Mammals']"
18,1,Mammals,General,0.0,True,"[['Squirrels'], 'Mammals']"
19,1,Mammals,General,0.0,True,"[['Beavers'], 'Mammals']"
20,1,Mammals,General,0.0,True,"[['Lions'], 'Mammals']"
21,1,Mammals,General,0.0,True,"[['Dogs'], 'Mammals']"
22,1,Mammals,General,0.0,True,"[['Foxes'], 'Mammals']"
23,1,Mammals,General,0.0,True,"[['Llamas'], 'Mammals']"
420,1,Mammals,Specific,0.0,False,"[['Beavers', 'Hedgehogs'], 'Giraffes']"
421,1,Mammals,Specific,0.0,False,"[['Donkeys', 'Giraffes'], 'Hamsters']"
422,1,Mammals,Specific,0.0,False,"[['Giraffes', 'Zebras'], 'Cats']"
423,1,Mammals,Specific,0.0,False,"[['Sheep', 'Cows'], 'Giraffes']"
424,1,Mammals,Specific,0.0,False,"[['Elephants', 'Wolves'], 'Zebras']"
425,1,Mammals,Specific,0.0,False,"[['Tigers', 'Hamsters'], 'Llamas']"
426,1,Mammals,Specific,0.0,False,"[['Foxes', 'Lions'], 'Cats']"
427,1,Mammals,Specific,0.0,False,"[['Squirrels', 'Dogs'], 'Wolves']"
428,1,Mammals,Specific,0.0,False,"[['Mice', 'Donkeys'], 'Hamsters']"
429,1,Mammals,Specific,0.0,False,"[['Tigers', 'Rabbits'], 'Lions']"
0,1,Mammals,Specific,0.0,True,"[['Giraffes'], 'Cats']"
1,1,Mammals,Specific,0.0,True,"[['Squirrels'], 'Elephants']"
2,1,Mammals,Specific,0.0,True,"[['Rabbits'], 'Lions']"
3,1,Mammals,Specific,0.0,True,"[['Mice'], 'Hamsters']"
4,1,Mammals,Specific,0.0,True,"[['Hippos'], 'Donkeys']"
5,1,Mammals,Specific,0.0,True,"[['Lions'], 'Cats']"
6,1,Mammals,Specific,0.0,True,"[['Elephants'], 'Zebras']"
7,1,Mammals,Specific,0.0,True,"[['Donkeys'], 'Hamsters']"
8,1,Mammals,Specific,0.0,True,"[['Squirrels'], 'Wolves']"
9,1,Mammals,Specific,0.0,True,"[['Tigers'], 'Lions']"
10,1,Mammals,Specific,0.0,True,"[['Zebras'], 'Cats']"
11,1,Mammals,Specific,0.0,True,"[['Llamas'], 'Camels']"
12,1,Mammals,Specific,0.0,True,"[['Dogs'], 'Wolves']"
13,1,Mammals,Specific,0.0,True,"[['Dogs'], 'Beavers']"
14,1,Mammals,Specific,0.0,True,"[['Tigers'], 'Llamas']"
15,1,Mammals,Specific,0.0,True,"[['Giraffes'], 'Hamsters']"
16,1,Mammals,Specific,0.0,True,"[['Wolves'], 'Zebras']"
17,1,Mammals,Specific,0.0,True,"[['Foxes'], 'Cats']"
18,1,Mammals,Specific,0.0,True,"[['Cows'], 'Mice']"
19,1,Mammals,Specific,0.0,True,"[['Cows'], 'Giraffes']"
20,1,Mammals,Specific,0.0,True,"[['Sheep'], 'Giraffes']"
21,1,Mammals,Specific,0.0,True,"[['Hamsters'], 'Llamas']"
22,1,Mammals,Specific,0.0,True,"[['Hedgehogs'], 'Giraffes']"
23,1,Mammals,Specific,0.0,True,"[['Beavers'], 'Giraffes']"
520,1,Mammals,Specific,1.0,False,"[['Dolphins', 'Seals'], 'Horses']"
521,1,Mammals,Specific,1.0,False,"[['Mice', 'Dolphins'], 'Horses']"
522,1,Mammals,Specific,1.0,False,"[['Chimps', 'Squirrels'], 'Horses']"
523,1,Mammals,Specific,1.0,False,"[['Gorillas', 'Squirrels'], 'Horses']"
524,1,Mammals,Specific,1.0,False,"[['Squirrels', 'Elephants'], 'Horses']"
