,i,domain,model,spearmanr,pval
71,1,Professions,GPT-4,0.7075973063377451,1.140842121615471e-107
72,1,Reptiles,GPT-3 Embeddings,0.5977109898758795,1.2298083402227264e-24
73,1,Reptiles,GPT-3.5,0.4352616149494794,1.6279658650587328e-12
74,1,Reptiles,GPT-4,0.5597456419191703,3.431314486341588e-21
75,1,Sports,GPT-3 Embeddings,0.2643193906705101,4.757850709565083e-11
76,1,Sports,GPT-3.5,0.5655623355625838,5.0833996009757996e-52
77,1,Sports,GPT-4,0.7020299418556574,3.185057199636653e-90
78,1,Tools,GPT-3 Embeddings,0.19863080650667142,4.140301090998232e-05
79,1,Tools,GPT-3.5,0.5721515030457872,6.893225800978181e-38
80,1,Tools,GPT-4,0.696235415802614,3.6316679277924465e-62
81,1,Vegetables,GPT-3 Embeddings,0.2293559033768133,1.329326967503453e-08
82,1,Vegetables,GPT-3.5,0.39835505986982317,2.963066311325709e-24
83,1,Vegetables,GPT-4,0.5248623551980955,8.840038346607964e-44
84,1,Vehicles,GPT-3 Embeddings,0.5351799028085485,3.149710462148221e-42
85,1,Vehicles,GPT-3.5,0.8199336817631812,2.3801972258961735e-135
86,1,Vehicles,GPT-4,0.8548321166087646,7.898739727938876e-159
87,1,Weapons,GPT-3 Embeddings,0.34550760250196005,4.820324028955734e-09
88,1,Weapons,GPT-3.5,0.8005649308804369,5.432027640009097e-62
89,1,Weapons,GPT-4,0.897291723423949,7.036822574913982e-98
90,2,Birds,GPT-3 Embeddings,0.22555562672315294,8.483866057713124e-08
91,2,Birds,GPT-3.5,0.5067628005038535,2.3834428657469834e-37
92,2,Birds,GPT-4,0.6745156258963736,1.6479825750371859e-74
93,2,Clothing,GPT-3 Embeddings,0.2171016678835879,1.6243163442157558e-09
94,2,Clothing,GPT-3.5,0.5439580620050718,1.934527445706843e-59
95,2,Clothing,GPT-4,0.6461025375621069,1.524243954982806e-90
96,2,Fish,GPT-3 Embeddings,-0.07360054629292868,0.11414317498156187
97,2,Fish,GPT-3.5,0.591444052276605,6.259667591914705e-45
98,2,Fish,GPT-4,0.7607221633563327,1.2501116289386719e-71
99,2,Fruit,GPT-3 Embeddings,0.22415295165740512,4.591556819899898e-10
100,2,Fruit,GPT-3.5,0.5492726262457421,8.428584864620423e-61
101,2,Fruit,GPT-4,0.7026340160666743,1.51126877734406e-113
102,2,Insects,GPT-3 Embeddings,0.3600030879473345,2.468937173569062e-18
103,2,Insects,GPT-3.5,0.5495044886680486,7.206082017484538e-45
104,2,Insects,GPT-4,0.5710122148418627,4.416099268426066e-49
105,2,KitchenUtensils,GPT-3 Embeddings,0.4563709599523874,5.116492559208597e-43
106,2,KitchenUtensils,GPT-3.5,0.604009055745571,6.868821577005716e-82
107,2,KitchenUtensils,GPT-4,0.7533148838133862,1.4169065788623557e-149
108,2,Mammals,GPT-3 Embeddings,0.6172110269685315,2.9143338596601674e-59
109,2,Mammals,GPT-3.5,0.6950738761542162,7.397589318953024e-81
110,2,Mammals,GPT-4,0.7801901152638706,3.802748303364812e-114
111,2,MusicalInstruments,GPT-3 Embeddings,0.2012803300878853,1.3046048514059439e-05
112,2,MusicalInstruments,GPT-3.5,0.6451450011762487,9.954840557698024e-56
113,2,MusicalInstruments,GPT-4,0.7245481079917739,2.2659918531613594e-76
114,2,Professions,GPT-3 Embeddings,0.451502275975546,1.4776967394750567e-36
115,2,Professions,GPT-3.5,0.5880953533776299,1.5641162036743717e-66
116,2,Professions,GPT-4,0.7430026265870046,3.444286288903668e-124
117,2,Reptiles,GPT-3 Embeddings,0.6240343438137875,2.6221455998828233e-27
118,2,Reptiles,GPT-3.5,0.4613997952088891,4.687018345892234e-14
119,2,Reptiles,GPT-4,0.4546590295822522,1.2047906544846398e-13
120,2,Sports,GPT-3 Embeddings,0.25089649113410956,4.5807172334109847e-10
121,2,Sports,GPT-3.5,0.6023229322037238,1.6301013293116426e-60
122,2,Sports,GPT-4,0.6678238966739456,9.997843232508371e-79
123,2,Tools,GPT-3 Embeddings,0.10620269997418562,0.029541885289591667
124,2,Tools,GPT-3.5,0.5500602366226519,1.3818053683071127e-34
125,2,Tools,GPT-4,0.6919189646621667,4.094715260990102e-61
126,2,Vegetables,GPT-3 Embeddings,0.2637256564377074,5.2736030210826676e-11
127,2,Vegetables,GPT-3.5,0.4011145878943275,1.342277493013661e-24
128,2,Vegetables,GPT-4,0.512043775093239,2.0783092142978553e-41
129,2,Vehicles,GPT-3 Embeddings,0.5096892930101309,7.86599996064138e-38
130,2,Vehicles,GPT-3.5,0.8033583515741854,6.449777313403307e-126
131,2,Vehicles,GPT-4,0.8520070773307544,1.0442597249412882e-156
132,2,Weapons,GPT-3 Embeddings,0.3025865935075106,3.634736796306173e-07
133,2,Weapons,GPT-3.5,0.7639392443329648,2.7237449691303995e-53
134,2,Weapons,GPT-4,0.8861607308130798,3.471089114391598e-92
135,3,Birds,GPT-3 Embeddings,0.21535812305418045,3.2496422154706637e-07
136,3,Birds,GPT-3.5,0.584054633549198,8.617357181585794e-52
137,3,Birds,GPT-4,0.628294433364249,5.800974257665139e-62
138,3,Clothing,GPT-3 Embeddings,0.3060664250117085,7.373222664940749e-18
139,3,Clothing,GPT-3.5,0.5134062624812322,4.529691527830717e-52
140,3,Clothing,GPT-4,0.6629577494469353,7.081278045743421e-97
141,3,Fish,GPT-3 Embeddings,-0.1559948124113679,0.000766776327553397
142,3,Fish,GPT-3.5,0.5675986587896804,9.383577919986527e-41
143,3,Fish,GPT-4,0.734046525575091,2.4972714247873072e-64
144,3,Fruit,GPT-3 Embeddings,0.19876398858446032,3.5651232194754706e-08
145,3,Fruit,GPT-3.5,0.5391074875162918,3.217419095564816e-58
146,3,Fruit,GPT-4,0.6785157211625231,4.2362589886840796e-103
147,3,Insects,GPT-3 Embeddings,0.34460595217406775,7.76966567569384e-17
148,3,Insects,GPT-3.5,0.5960680043711816,2.131828371494258e-54
149,3,Insects,GPT-4,0.6047019778787027,2.434437578669978e-56
150,3,KitchenUtensils,GPT-3 Embeddings,0.4299295139213444,7.333807059081477e-38
151,3,KitchenUtensils,GPT-3.5,0.6182246097564295,8.881434674654256e-87
152,3,KitchenUtensils,GPT-4,0.7709247256238743,7.454278456327909e-161
153,3,Mammals,GPT-3 Embeddings,0.6275780647235056,8.73752027313874e-62
154,3,Mammals,GPT-3.5,0.7345757461902696,1.063338483490838e-94
155,3,Mammals,GPT-4,0.7261128347620363,1.5706949485610556e-91
156,3,MusicalInstruments,GPT-3 Embeddings,0.23571428095277366,2.972952090269953e-07
157,3,MusicalInstruments,GPT-3.5,0.6086692106195589,3.6044383430947324e-48
158,3,MusicalInstruments,GPT-4,0.7168417197819513,4.663452697725442e-74
159,3,Professions,GPT-3 Embeddings,0.4146226116252568,1.532641894582859e-30
160,3,Professions,GPT-3.5,0.605104680300001,2.4615725062652735e-71
161,3,Professions,GPT-4,0.723696092524621,7.342133588461914e-115
162,3,Reptiles,GPT-3 Embeddings,0.5566842284055183,6.22840221295025e-21
163,3,Reptiles,GPT-3.5,0.46475256983178903,2.9078980990726045e-14
164,3,Reptiles,GPT-4,0.6010823874625232,5.773629210120034e-25
165,3,Sports,GPT-3 Embeddings,0.2788320726991271,3.5480756241979154e-12
166,3,Sports,GPT-3.5,0.6502707976944719,2.1094913016419687e-73
167,3,Sports,GPT-4,0.7420430752592988,5.910280413836637e-106
168,3,Tools,GPT-3 Embeddings,0.1801365655009068,0.00020636027674509808
169,3,Tools,GPT-3.5,0.5114769767158364,2.245372368538215e-29
170,3,Tools,GPT-4,0.7435669780429431,4.520330954993481e-75
171,3,Vegetables,GPT-3 Embeddings,0.20024685823586968,7.615597570968602e-07
172,3,Vegetables,GPT-3.5,0.37820683201373906,7.701723625768576e-22
173,3,Vegetables,GPT-4,0.5658085458331448,4.495456080679428e-52
174,3,Vehicles,GPT-3 Embeddings,0.4780026211149239,7.395771804605163e-33
175,3,Vehicles,GPT-3.5,0.779645817041039,6.906357950093783e-114
176,3,Vehicles,GPT-4,0.8471177534665434,3.8682009021534585e-153
177,3,Weapons,GPT-3 Embeddings,0.31425300308845466,1.1990738204800644e-07
178,3,Weapons,GPT-3.5,0.7610756453858533,1.1180581111741055e-52
179,3,Weapons,GPT-4,0.9134390634920404,2.033755418189706e-107
180,4,Birds,GPT-3 Embeddings,0.28162958895416174,1.5984523396979805e-11
181,4,Birds,GPT-3.5,0.5257456120834261,1.4772664606231794e-40
182,4,Birds,GPT-4,0.6036089697436413,4.32090606417849e-56
183,4,Clothing,GPT-3 Embeddings,0.29716763839118526,7.030872095855032e-17
184,4,Clothing,GPT-3.5,0.5691112723083951,4.205698126926119e-66
185,4,Clothing,GPT-4,0.7022997452771522,2.1445948274189392e-113
186,4,Fish,GPT-3 Embeddings,-0.0025691472376630766,0.956080926359713
187,4,Fish,GPT-3.5,0.6440866668752897,1.7057946824306212e-55
188,4,Fish,GPT-4,0.7697894067542441,2.4745184724121385e-74
189,4,Fruit,GPT-3 Embeddings,0.15201136737615276,2.7033080242127254e-05
190,4,Fruit,GPT-3.5,0.5244595189062808,1.1919966710495622e-54
191,4,Fruit,GPT-4,0.6672924828994349,1.42604184164873e-98
192,4,Insects,GPT-3 Embeddings,0.3694141419110408,2.7285924946844133e-19
193,4,Insects,GPT-3.5,0.5306667881937915,2.015070644661134e-41
194,4,Insects,GPT-4,0.6063498326018621,1.020710900306891e-56
195,4,KitchenUtensils,GPT-3 Embeddings,0.46323341884273883,1.9722189506877798e-44
196,4,KitchenUtensils,GPT-3.5,0.5590645618509233,6.036294013318593e-68
197,4,KitchenUtensils,GPT-4,0.7690103209458311,1.402988575575583e-159
198,4,Mammals,GPT-3 Embeddings,0.594222744631218,5.448477804622583e-54
199,4,Mammals,GPT-3.5,0.7761961388552638,2.9151358300135475e-112
200,4,Mammals,GPT-4,0.7602032203579144,4.332635995552411e-105
201,4,MusicalInstruments,GPT-3 Embeddings,0.23914735599123393,1.9712948605895975e-07
202,4,MusicalInstruments,GPT-3.5,0.6294643649137275,2.3504349709830322e-52
203,4,MusicalInstruments,GPT-4,0.7103362646860732,3.6503803674443876e-72
204,4,Professions,GPT-3 Embeddings,0.41482404801222383,1.4274498314993251e-30
205,4,Professions,GPT-3.5,0.6561673565982701,1.1731976268896603e-87
206,4,Professions,GPT-4,0.7115772935281894,2.1159247753709148e-109
207,4,Reptiles,GPT-3 Embeddings,0.5914791806815064,4.861371129774193e-24
208,4,Reptiles,GPT-3.5,0.514881569328066,1.195517767569004e-17
209,4,Reptiles,GPT-4,0.5144126792590689,1.2938057114428105e-17
210,4,Sports,GPT-3 Embeddings,0.19293545089518507,1.927497925867565e-06
211,4,Sports,GPT-3.5,0.6605987752469454,1.7178992161100563e-76
212,4,Sports,GPT-4,0.7538791938095621,3.505997731371246e-111
213,4,Tools,GPT-3 Embeddings,0.14676562471435917,0.002568272081938491
214,4,Tools,GPT-3.5,0.6014824093260454,1.1187280846819542e-42
215,4,Tools,GPT-4,0.6891058781231809,1.9407580795676965e-60
216,4,Vegetables,GPT-3 Embeddings,0.19473746621185442,1.538151702597252e-06
217,4,Vegetables,GPT-3.5,0.4235129139290559,1.638466411962548e-27
218,4,Vegetables,GPT-4,0.5524188098032293,3.1034364100463005e-49
219,4,Vehicles,GPT-3 Embeddings,0.5063143020210555,2.8221361718837906e-37
220,4,Vehicles,GPT-3.5,0.7730717684208063,8.163857101157223e-111
221,4,Vehicles,GPT-4,0.842902235722291,3.6757584799569484e-150
222,4,Weapons,GPT-3 Embeddings,0.37484263588455047,1.6805411218372524e-10
223,4,Weapons,GPT-3.5,0.7536965336630945,3.8888783968945345e-51
224,4,Weapons,GPT-4,0.916884217977648,1.0738791390575936e-109
225,5,Birds,GPT-3 Embeddings,0.2293991455502842,5.028784170948448e-08
226,5,Birds,GPT-3.5,0.4593777344412812,3.617845753446979e-30
227,5,Birds,GPT-4,0.5471996805687598,1.9552122247137156e-44
228,5,Clothing,GPT-3 Embeddings,0.25417394480434224,1.3039576898598808e-12
229,5,Clothing,GPT-3.5,0.5155860948892133,1.428190654814198e-52
230,5,Clothing,GPT-4,0.6253730487956399,2.7682962341497047e-83
231,5,Fish,GPT-3 Embeddings,-0.10064486430661641,0.03054782988405025
232,5,Fish,GPT-3.5,0.6033429481756964,3.7992951426567793e-47
233,5,Fish,GPT-4,0.7149842414652942,1.2444814192148506e-59
234,5,Fruit,GPT-3 Embeddings,0.21527315926975243,2.238465412592327e-09
235,5,Fruit,GPT-3.5,0.5484238449043495,1.3955000761419422e-60
236,5,Fruit,GPT-4,0.6506571036844164,3.247805156393653e-92
237,5,Insects,GPT-3 Embeddings,0.33974282929529015,2.221176808598552e-16
238,5,Insects,GPT-3.5,0.5754480422562472,5.458669004653675e-50
239,5,Insects,GPT-4,0.5902044834438417,4.1176329856424664e-53
240,5,KitchenUtensils,GPT-3 Embeddings,0.48349515599184417,8.461567572700098e-49
241,5,KitchenUtensils,GPT-3.5,0.5522248793566054,5.249885189557093e-66
242,5,KitchenUtensils,GPT-4,0.7557151892966161,4.6856453235503325e-151
243,5,Mammals,GPT-3 Embeddings,0.5631622954423406,1.6534895440527206e-47
244,5,Mammals,GPT-3.5,0.7360246055770271,2.96360282416617e-95
245,5,Mammals,GPT-4,0.7653640007231762,2.427109020034804e-107
246,5,MusicalInstruments,GPT-3 Embeddings,0.2115397873979609,4.505988509887729e-06
247,5,MusicalInstruments,GPT-3.5,0.6430693220880201,2.856866288556039e-55
248,5,MusicalInstruments,GPT-4,0.6692398994344121,2.575862675717812e-61
249,5,Professions,GPT-3 Embeddings,0.34489894570557966,4.856905697292628e-21
250,5,Professions,GPT-3.5,0.6352168371626622,1.3770550278545893e-80
251,5,Professions,GPT-4,0.6948865649656488,2.496611261682735e-102
252,5,Reptiles,GPT-3 Embeddings,0.5031623159350609,8.308667115955888e-17
253,5,Reptiles,GPT-3.5,0.5744477025434483,1.7947544469317e-22
254,5,Reptiles,GPT-4,0.5538480639189741,1.076155396034568e-20
255,5,Sports,GPT-3 Embeddings,0.3321375711891793,6.427273155714407e-17
256,5,Sports,GPT-3.5,0.5781602321414088,8.245474805260774e-55
257,5,Sports,GPT-4,0.6794173379813598,1.9007781200581936e-82
258,5,Tools,GPT-3 Embeddings,0.0828087586852862,0.09008891576518606
259,5,Tools,GPT-3.5,0.5959055299516518,9.942252572114537e-42
260,5,Tools,GPT-4,0.7255277641885023,7.804954207312932e-70
261,5,Vegetables,GPT-3 Embeddings,0.13919571738140202,0.0006282091824283114
262,5,Vegetables,GPT-3.5,0.34507519590869934,3.2118665763753096e-18
263,5,Vegetables,GPT-4,0.5147483634762299,6.695304153512823e-42
264,5,Vehicles,GPT-3 Embeddings,0.5908529290843647,2.9766906670857503e-53
265,5,Vehicles,GPT-3.5,0.8204349147413539,1.1921347733724073e-135
266,5,Vehicles,GPT-4,0.8555059434828398,2.4262873125020975e-159
267,5,Weapons,GPT-3 Embeddings,0.37485306700611715,1.6784336582088405e-10
268,5,Weapons,GPT-3.5,0.8087214807398357,3.526408871385091e-64
269,5,Weapons,GPT-4,0.8782876621661172,1.6588351231974062e-88
270,6,Birds,GPT-3 Embeddings,0.22513273824655147,8.98129110803429e-08
271,6,Birds,GPT-3.5,0.5660231774006192,4.465521089177365e-48
272,6,Birds,GPT-4,0.6275676847657629,8.78946233218546e-62
273,6,Clothing,GPT-3 Embeddings,0.27585553970540194,1.1402114055108351e-14
274,6,Clothing,GPT-3.5,0.6269563812390433,8.073902044760065e-84
275,6,Clothing,GPT-4,0.6820364813520527,1.461620608887401e-104
276,6,Fish,GPT-3 Embeddings,-0.07057499062571901,0.12984035265028418
277,6,Fish,GPT-3.5,0.5882034910963765,2.4236162711519393e-44
278,6,Fish,GPT-4,0.7317821134678406,9.474305342914725e-64
279,6,Fruit,GPT-3 Embeddings,0.22238933735001565,6.323159745795943e-10
280,6,Fruit,GPT-3.5,0.5771774146661004,2.3081208877764084e-68
281,6,Fruit,GPT-4,0.6488188232003742,1.5476442485723556e-91
282,6,Insects,GPT-3 Embeddings,0.3496287341959557,2.5750392393057384e-17
283,6,Insects,GPT-3.5,0.5898934350186658,4.809817692721898e-53
284,6,Insects,GPT-4,0.5834726755793725,1.1452463940076662e-51
285,6,KitchenUtensils,GPT-3 Embeddings,0.4552365007662698,8.702498240860484e-43
286,6,KitchenUtensils,GPT-3.5,0.6261376629599609,1.3092523481266401e-89
287,6,KitchenUtensils,GPT-4,0.7060629683641728,1.5818841656379633e-123
288,6,Mammals,GPT-3 Embeddings,0.6310122497446489,1.2144076689589752e-62
289,6,Mammals,GPT-3.5,0.7285739748333322,1.9352881498333986e-92
290,6,Mammals,GPT-4,0.765071890678722,3.266507008262959e-107
291,6,MusicalInstruments,GPT-3 Embeddings,0.24474446554859777,9.953698391436806e-08
292,6,MusicalInstruments,GPT-3.5,0.580228063553558,6.3609621053248476e-43
293,6,MusicalInstruments,GPT-4,0.7699164137980292,8.832200116948709e-92
294,6,Professions,GPT-3 Embeddings,0.42020477888037866,2.09844005237112e-31
295,6,Professions,GPT-3.5,0.634983959339214,1.6385829048856517e-80
296,6,Professions,GPT-4,0.6841390784208535,5.003100479117279e-98
297,6,Reptiles,GPT-3 Embeddings,0.5170343672608539,8.304919677462286e-18
298,6,Reptiles,GPT-3.5,0.49480223166803045,3.1675519167724393e-16
299,6,Reptiles,GPT-4,0.6268657417709601,1.3063887782822496e-27
300,6,Sports,GPT-3 Embeddings,0.2763272379195107,5.615713790925641e-12
301,6,Sports,GPT-3.5,0.5676301367920847,1.804843973569344e-52
302,6,Sports,GPT-4,0.6816875854411789,3.388927719126363e-83
303,6,Tools,GPT-3 Embeddings,0.13702983585893685,0.0049052936985359025
304,6,Tools,GPT-3.5,0.5758808137484998,1.8032628198319267e-38
305,6,Tools,GPT-4,0.678599097346303,5.559527935732714e-58
306,6,Vegetables,GPT-3 Embeddings,0.17121956513718775,2.481947934862022e-05
307,6,Vegetables,GPT-3.5,0.40163912071199115,1.153739773001134e-24
308,6,Vegetables,GPT-4,0.5636822015672456,1.2951145570920048e-51
309,6,Vehicles,GPT-3 Embeddings,0.4352835391428944,6.3201529129128775e-27
310,6,Vehicles,GPT-3.5,0.807128682155863,5.556463813016079e-128
311,6,Vehicles,GPT-4,0.8263461748967766,2.901244442206908e-139
312,6,Weapons,GPT-3 Embeddings,0.3555416923581214,1.5888875335127553e-09
313,6,Weapons,GPT-3.5,0.7915222233644864,1.1079283947499723e-59
314,6,Weapons,GPT-4,0.8891216499866592,1.218637668576436e-93
315,7,Birds,GPT-3 Embeddings,0.1350021433893017,0.001476781789150738
316,7,Birds,GPT-3.5,0.5023397858373402,1.2475644744908346e-36
317,7,Birds,GPT-4,0.6282927591636338,5.806537234084847e-62
318,7,Clothing,GPT-3 Embeddings,0.4029891408262311,6.913192172248374e-31
319,7,Clothing,GPT-3.5,0.54336175264176,2.7399804105413904e-59
320,7,Clothing,GPT-4,0.6590902826197205,2.185066260943254e-95
321,7,Fish,GPT-3 Embeddings,-0.1175178449701305,0.011475608593250532
322,7,Fish,GPT-3.5,0.5602330485814213,1.5656663243943672e-39
323,7,Fish,GPT-4,0.7221010728770731,2.438888364603473e-61
324,7,Fruit,GPT-3 Embeddings,0.20920782250940864,6.355464852568379e-09
325,7,Fruit,GPT-3.5,0.538421103587919,4.7717169552546196e-58
326,7,Fruit,GPT-4,0.6983689799823205,1.2675340896683818e-111
327,7,Insects,GPT-3 Embeddings,0.3244117747066286,5.406529537373736e-15
328,7,Insects,GPT-3.5,0.6006037131300583,2.068934773431534e-55
329,7,Insects,GPT-4,0.61983300944534,6.844050704388263e-60
330,7,KitchenUtensils,GPT-3 Embeddings,0.4216181275990328,2.4788077359867292e-36
331,7,KitchenUtensils,GPT-3.5,0.6157280730053069,6.685121087100599e-86
332,7,KitchenUtensils,GPT-4,0.7495763328337561,2.652646549387341e-147
333,7,Mammals,GPT-3 Embeddings,0.6047150242273851,2.4177901229705054e-56
334,7,Mammals,GPT-3.5,0.7357613229936195,3.7404033751568046e-95
335,7,Mammals,GPT-4,0.7699217170472987,2.2270988785045837e-109
336,7,MusicalInstruments,GPT-3 Embeddings,0.21586722091075003,2.8320045743682565e-06
337,7,MusicalInstruments,GPT-3.5,0.6547111341995865,6.936284004105648e-58
338,7,MusicalInstruments,GPT-4,0.769069580422608,1.8437679104270896e-91
339,7,Professions,GPT-3 Embeddings,0.3764841222004861,4.638458884195945e-25
340,7,Professions,GPT-3.5,0.6194337711979432,1.3000390197924902e-75
341,7,Professions,GPT-4,0.697801557823207,1.57600172570312e-103
342,7,Reptiles,GPT-3 Embeddings,0.5960841903822957,1.765691981276302e-24
343,7,Reptiles,GPT-3.5,0.3933862711393444,2.630654021812252e-10
344,7,Reptiles,GPT-4,0.43678371878283223,1.3350231460891429e-12
345,7,Sports,GPT-3 Embeddings,0.297155223804024,1.0685797945462617e-13
346,7,Sports,GPT-3.5,0.5403492794794433,8.771922383242746e-47
347,7,Sports,GPT-4,0.7380803726951753,2.869679448251785e-104
348,7,Tools,GPT-3 Embeddings,0.15742193151812361,0.0012088709727439068
349,7,Tools,GPT-3.5,0.5494373441782291,1.6983216372419772e-34
350,7,Tools,GPT-4,0.7535594958023575,3.6341545260780125e-78
351,7,Vegetables,GPT-3 Embeddings,0.13953765292969664,0.0006089070682706631
352,7,Vegetables,GPT-3.5,0.3749529532456537,1.8242176601190348e-21
353,7,Vegetables,GPT-4,0.5851820835448498,2.031418886538191e-56
354,7,Vehicles,GPT-3 Embeddings,0.5110714652377677,4.6423604665682056e-38
355,7,Vehicles,GPT-3.5,0.8025323459129357,1.8025995395337194e-125
356,7,Vehicles,GPT-4,0.8560899612357276,8.680333932306693e-160
357,7,Weapons,GPT-3 Embeddings,0.37430286047360056,1.7931751693151024e-10
358,7,Weapons,GPT-3.5,0.7430722669274948,5.195178319029263e-49
359,7,Weapons,GPT-4,0.8953417356060451,7.775267555681134e-97
360,8,Birds,GPT-3 Embeddings,0.25357777712853147,1.5101771217985149e-09
361,8,Birds,GPT-3.5,0.48602857856910636,4.550701320210315e-34
362,8,Birds,GPT-4,0.597712282939592,9.191476572070108e-55
363,8,Clothing,GPT-3 Embeddings,0.28330247718566093,2.023903391964282e-15
364,8,Clothing,GPT-3.5,0.5708258669804038,1.4078062421209644e-66
