,argument_id,domain,conclusion_type,is_single_premise,premises,conclusion,human_raw_rating,gpt3_raw_rating,prompt_generator,gpt4_raw_rating,human_ranking,gpt3_ranking,gpt4_ranking,human_normalised_rating,gpt3_normalised_rating,gpt4_normalised_rating,drop,human_maxsim,gpt3_maxsim,gpt4_maxsim,human_meansim,gpt3_meansim,gpt4_meansim,human_scm,gpt3_scm,gpt4_scm
16,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"('Airplanes', 'Trams')",Trains,4.3,90.72923974067945,S3-C1-A1-Q1-O1,75.0,42.0,12.0,2.0,0.084,0.976,0.996,False,0.9818840579710145,0.9855072463768116,0.9855072463768116,0.8333333333333334,0.8894927536231885,0.7916666666666667,0.8165006038647342,0.8194444444444444,0.8187650966183575
17,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"('Airplanes', 'Trams')",Trains,4.3,90.72923974067945,S3-C1-A1-Q3-O1,85.0,42.0,12.0,2.0,0.084,0.976,0.996,False,0.9818840579710145,0.9855072463768116,0.9855072463768116,0.8333333333333334,0.8894927536231885,0.7916666666666667,0.8165006038647342,0.8194444444444444,0.8187650966183575
18,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"('Airplanes', 'Trams')",Trains,4.3,90.72923974067945,S3-C1-A1-Q4-O1,95.0,42.0,12.0,1.0,0.084,0.976,0.998,False,0.9818840579710145,0.9855072463768116,0.9855072463768116,0.8333333333333334,0.8894927536231885,0.7916666666666667,0.8165006038647342,0.8194444444444444,0.8187650966183575
19,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"('Airplanes', 'Trams')",Trains,4.3,90.72923974067945,S3-C1-A1-Q1-O1-T,85.0,42.0,12.0,2.0,0.084,0.976,0.996,False,0.9818840579710145,0.9855072463768116,0.9855072463768116,0.8333333333333334,0.8894927536231885,0.7916666666666667,0.8165006038647342,0.8194444444444444,0.8187650966183575
20,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Zeppelins')",All vehicles,7.0,30.386648999432783,S1-C1-A1-Q1-O1,50.0,3.0,100.0,3.0,0.006,0.8,0.994,False,,,,,,,0.5341183574879227,0.5634057971014493,0.5104166666666667
21,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Zeppelins')",All vehicles,7.0,30.386648999432783,S3-C1-A1-Q1-O1,60.0,3.0,100.0,2.0,0.006,0.8,0.996,False,,,,,,,0.5341183574879227,0.5634057971014493,0.5104166666666667
22,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Zeppelins')",All vehicles,7.0,30.386648999432783,S3-C1-A1-Q3-O1,40.0,3.0,100.0,3.0,0.006,0.8,0.994,False,,,,,,,0.5341183574879227,0.5634057971014493,0.5104166666666667
23,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Zeppelins')",All vehicles,7.0,30.386648999432783,S3-C1-A1-Q4-O1,40.0,3.0,100.0,8.0,0.006,0.8,0.984,False,,,,,,,0.5341183574879227,0.5634057971014493,0.5104166666666667
24,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Zeppelins')",All vehicles,7.0,30.386648999432783,S3-C1-A1-Q1-O1-T,50.0,3.0,100.0,4.0,0.006,0.8,0.992,False,,,,,,,0.5341183574879227,0.5634057971014493,0.5104166666666667
25,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,"('Airplanes',)",All vehicles,8.878787878787879,45.63985095398367,S1-C1-A1-Q1-O1,50.0,11.0,15.0,1.0,0.0916666666666666,0.875,0.9916666666666668,False,,,,,,,0.4587862318840579,0.3677536231884058,0.4729770531400967
26,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,"('Airplanes',)",All vehicles,8.878787878787879,45.63985095398367,S3-C1-A1-Q1-O1,50.0,11.0,15.0,2.0,0.0916666666666666,0.875,0.9833333333333332,False,,,,,,,0.4587862318840579,0.3677536231884058,0.4729770531400967
27,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,"('Airplanes',)",All vehicles,8.878787878787879,45.63985095398367,S3-C1-A1-Q3-O1,50.0,11.0,15.0,1.0,0.0916666666666666,0.875,0.9916666666666668,False,,,,,,,0.4587862318840579,0.3677536231884058,0.4729770531400967
28,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,"('Airplanes',)",All vehicles,8.878787878787879,45.63985095398367,S3-C1-A1-Q4-O1,70.0,11.0,15.0,4.0,0.0916666666666666,0.875,0.9666666666666668,False,,,,,,,0.4587862318840579,0.3677536231884058,0.4729770531400967
29,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,"('Airplanes',)",All vehicles,8.878787878787879,45.63985095398367,S3-C1-A1-Q1-O1-T,35.0,11.0,15.0,2.0,0.0916666666666666,0.875,0.9833333333333332,False,,,,,,,0.4587862318840579,0.3677536231884058,0.4729770531400967
30,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,"('Airplanes',)",Bicycles,13.6,41.253418972117736,S1-C1-A1-Q1-O1,50.0,36.0,138.0,5.0,0.0431137724550898,0.8347305389221557,0.994011976047904,False,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.2873641304347826,0.1875,0.3995320048309179
31,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,"('Airplanes',)",Bicycles,13.6,41.253418972117736,S3-C1-A1-Q1-O1,50.0,36.0,138.0,9.0,0.0431137724550898,0.8347305389221557,0.9892215568862276,False,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.2873641304347826,0.1875,0.3995320048309179
32,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,"('Airplanes',)",Bicycles,13.6,41.253418972117736,S3-C1-A1-Q3-O1,50.0,36.0,138.0,10.0,0.0431137724550898,0.8347305389221557,0.9880239520958084,False,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.2873641304347826,0.1875,0.3995320048309179
33,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,"('Airplanes',)",Bicycles,13.6,41.253418972117736,S3-C1-A1-Q4-O1,85.0,36.0,138.0,4.0,0.0431137724550898,0.8347305389221557,0.9952095808383232,False,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.2873641304347826,0.1875,0.3995320048309179
34,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,"('Airplanes',)",Bicycles,13.6,41.253418972117736,S3-C1-A1-Q1-O1-T,40.0,36.0,138.0,9.0,0.0431137724550898,0.8347305389221557,0.9892215568862276,False,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.11594202898550725,0.007246376811594203,0.32608695652173914,0.2873641304347826,0.1875,0.3995320048309179
35,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,"('Airplanes',)",Helicopters,4.444444444444445,91.81597499359236,S1-C1-A1-Q1-O1,50.0,121.0,19.0,5.0,0.1449101796407185,0.977245508982036,0.994011976047904,False,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.7167119565217391,0.6639492753623188,0.7219957729468599
36,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,"('Airplanes',)",Helicopters,4.444444444444445,91.81597499359236,S3-C1-A1-Q1-O1,70.0,121.0,19.0,7.0,0.1449101796407185,0.977245508982036,0.991616766467066,False,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.7167119565217391,0.6639492753623188,0.7219957729468599
37,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,"('Airplanes',)",Helicopters,4.444444444444445,91.81597499359236,S3-C1-A1-Q3-O1,75.0,121.0,19.0,6.0,0.1449101796407185,0.977245508982036,0.9928143712574852,False,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.7167119565217391,0.6639492753623188,0.7219957729468599
38,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,"('Airplanes',)",Helicopters,4.444444444444445,91.81597499359236,S3-C1-A1-Q4-O1,90.0,121.0,19.0,3.0,0.1449101796407185,0.977245508982036,0.9964071856287424,False,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.7167119565217391,0.6639492753623188,0.7219957729468599
39,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,"('Airplanes',)",Helicopters,4.444444444444445,91.81597499359236,S3-C1-A1-Q1-O1-T,70.0,121.0,19.0,6.0,0.1449101796407185,0.977245508982036,0.9928143712574852,False,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.9746376811594203,0.9601449275362319,0.9710144927536232,0.7167119565217391,0.6639492753623188,0.7219957729468599
40,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,"('Airplanes',)",Jeeps,13.4,82.59092705350538,S1-C1-A1-Q1-O1,50.0,41.0,70.0,5.0,0.0491017964071856,0.9161676646706588,0.994011976047904,False,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.44497282608695654,0.3161231884057971,0.3397493961352657
41,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,"('Airplanes',)",Jeeps,13.4,82.59092705350538,S3-C1-A1-Q1-O1,50.0,41.0,70.0,9.0,0.0491017964071856,0.9161676646706588,0.9892215568862276,False,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.44497282608695654,0.3161231884057971,0.3397493961352657
42,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,"('Airplanes',)",Jeeps,13.4,82.59092705350538,S3-C1-A1-Q3-O1,50.0,41.0,70.0,10.0,0.0491017964071856,0.9161676646706588,0.9880239520958084,False,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.44497282608695654,0.3161231884057971,0.3397493961352657
43,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,"('Airplanes',)",Jeeps,13.4,82.59092705350538,S3-C1-A1-Q4-O1,85.0,41.0,70.0,4.0,0.0491017964071856,0.9161676646706588,0.9952095808383232,False,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.44497282608695654,0.3161231884057971,0.3397493961352657
44,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,"('Airplanes',)",Jeeps,13.4,82.59092705350538,S3-C1-A1-Q1-O1-T,40.0,41.0,70.0,9.0,0.0491017964071856,0.9161676646706588,0.9892215568862276,False,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.4311594202898551,0.2644927536231884,0.20652173913043478,0.44497282608695654,0.3161231884057971,0.3397493961352657
45,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,"('Airplanes',)",Skateboards,13.35,42.85051872532385,S1-C1-A1-Q1-O1,50.0,42.0,136.0,5.0,0.0502994011976047,0.837125748502994,0.994011976047904,False,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.30548007246376807,0.20742753623188406,0.26547403381642515
46,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,"('Airplanes',)",Skateboards,13.35,42.85051872532385,S3-C1-A1-Q1-O1,50.0,42.0,136.0,9.0,0.0502994011976047,0.837125748502994,0.9892215568862276,False,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.30548007246376807,0.20742753623188406,0.26547403381642515
47,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,"('Airplanes',)",Skateboards,13.35,42.85051872532385,S3-C1-A1-Q3-O1,50.0,42.0,136.0,10.0,0.0502994011976047,0.837125748502994,0.9880239520958084,False,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.30548007246376807,0.20742753623188406,0.26547403381642515
48,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,"('Airplanes',)",Skateboards,13.35,42.85051872532385,S3-C1-A1-Q4-O1,80.0,42.0,136.0,5.0,0.0502994011976047,0.837125748502994,0.994011976047904,False,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.30548007246376807,0.20742753623188406,0.26547403381642515
49,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,"('Airplanes',)",Skateboards,13.35,42.85051872532385,S3-C1-A1-Q1-O1-T,30.0,42.0,136.0,11.0,0.0502994011976047,0.837125748502994,0.9868263473053892,False,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.15217391304347827,0.04710144927536232,0.057971014492753624,0.30548007246376807,0.20742753623188406,0.26547403381642515
50,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,"('Airplanes',)",Tractors,9.666666666666666,76.31330891409291,S1-C1-A1-Q1-O1,50.0,83.0,95.0,5.0,0.0994011976047904,0.8862275449101796,0.994011976047904,False,0.2318840579710145,0.07608695652173914,0.213768115942029,0.2318840579710145,0.07608695652173914,0.213768115942029,0.3453351449275362,0.22192028985507248,0.34337258454106284
51,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,"('Airplanes',)",Tractors,9.666666666666666,76.31330891409291,S3-C1-A1-Q1-O1,50.0,83.0,95.0,9.0,0.0994011976047904,0.8862275449101796,0.9892215568862276,False,0.2318840579710145,0.07608695652173914,0.213768115942029,0.2318840579710145,0.07608695652173914,0.213768115942029,0.3453351449275362,0.22192028985507248,0.34337258454106284
52,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,"('Airplanes',)",Tractors,9.666666666666666,76.31330891409291,S3-C1-A1-Q3-O1,50.0,83.0,95.0,10.0,0.0994011976047904,0.8862275449101796,0.9880239520958084,False,0.2318840579710145,0.07608695652173914,0.213768115942029,0.2318840579710145,0.07608695652173914,0.213768115942029,0.3453351449275362,0.22192028985507248,0.34337258454106284
53,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,"('Airplanes',)",Tractors,9.666666666666666,76.31330891409291,S3-C1-A1-Q4-O1,80.0,83.0,95.0,5.0,0.0994011976047904,0.8862275449101796,0.994011976047904,False,0.2318840579710145,0.07608695652173914,0.213768115942029,0.2318840579710145,0.07608695652173914,0.213768115942029,0.3453351449275362,0.22192028985507248,0.34337258454106284
54,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,"('Airplanes',)",Tractors,9.666666666666666,76.31330891409291,S3-C1-A1-Q1-O1-T,40.0,83.0,95.0,9.0,0.0994011976047904,0.8862275449101796,0.9892215568862276,False,0.2318840579710145,0.07608695652173914,0.213768115942029,0.2318840579710145,0.07608695652173914,0.213768115942029,0.3453351449275362,0.22192028985507248,0.34337258454106284
55,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,"('Airplanes',)",Trains,11.9,89.25434083805177,S1-C1-A1-Q1-O1,50.0,55.0,36.0,5.0,0.0658682634730539,0.9568862275449102,0.994011976047904,False,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.5717844202898551,0.5806159420289855,0.5354015700483092
56,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,"('Airplanes',)",Trains,11.9,89.25434083805177,S3-C1-A1-Q1-O1,50.0,55.0,36.0,9.0,0.0658682634730539,0.9568862275449102,0.9892215568862276,False,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.5717844202898551,0.5806159420289855,0.5354015700483092
57,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,"('Airplanes',)",Trains,11.9,89.25434083805177,S3-C1-A1-Q3-O1,50.0,55.0,36.0,10.0,0.0658682634730539,0.9568862275449102,0.9880239520958084,False,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.5717844202898551,0.5806159420289855,0.5354015700483092
58,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,"('Airplanes',)",Trains,11.9,89.25434083805177,S3-C1-A1-Q4-O1,90.0,55.0,36.0,3.0,0.0658682634730539,0.9568862275449102,0.9964071856287424,False,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.5717844202898551,0.5806159420289855,0.5354015700483092
59,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,"('Airplanes',)",Trains,11.9,89.25434083805177,S3-C1-A1-Q1-O1-T,60.0,55.0,36.0,8.0,0.0658682634730539,0.9568862275449102,0.9904191616766468,False,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.6847826086956522,0.7934782608695652,0.5978260869565217,0.5717844202898551,0.5806159420289855,0.5354015700483092
60,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"('Beavers', 'Camels')",Tigers,5.9,88.91248133918717,S1-C1-A1-Q1-O1,50.0,44.0,87.0,4.0,0.0752136752136752,0.8512820512820513,0.9931623931623932,False,0.4673913043478261,0.2210144927536232,0.2536231884057971,0.4003623188405797,0.16666666666666669,0.24818840579710144,0.559405193236715,0.4138737922705314,0.43674516908212563
61,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"('Beavers', 'Camels')",Tigers,5.9,88.91248133918717,S3-C1-A1-Q1-O1,60.0,44.0,87.0,5.0,0.0752136752136752,0.8512820512820513,0.9914529914529916,False,0.4673913043478261,0.2210144927536232,0.2536231884057971,0.4003623188405797,0.16666666666666669,0.24818840579710144,0.559405193236715,0.4138737922705314,0.43674516908212563
62,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"('Beavers', 'Camels')",Tigers,5.9,88.91248133918717,S3-C1-A1-Q3-O1,60.0,44.0,87.0,7.0,0.0752136752136752,0.8512820512820513,0.988034188034188,False,0.4673913043478261,0.2210144927536232,0.2536231884057971,0.4003623188405797,0.16666666666666669,0.24818840579710144,0.559405193236715,0.4138737922705314,0.43674516908212563
63,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"('Beavers', 'Camels')",Tigers,5.9,88.91248133918717,S3-C1-A1-Q4-O1,70.0,44.0,87.0,7.0,0.0752136752136752,0.8512820512820513,0.988034188034188,False,0.4673913043478261,0.2210144927536232,0.2536231884057971,0.4003623188405797,0.16666666666666669,0.24818840579710144,0.559405193236715,0.4138737922705314,0.43674516908212563
64,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"('Beavers', 'Camels')",Tigers,5.9,88.91248133918717,S3-C1-A1-Q1-O1-T,65.0,44.0,87.0,4.0,0.0752136752136752,0.8512820512820513,0.9931623931623932,False,0.4673913043478261,0.2210144927536232,0.2536231884057971,0.4003623188405797,0.16666666666666669,0.24818840579710144,0.559405193236715,0.4138737922705314,0.43674516908212563
65,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"('Beavers', 'Cats')",All mammals,4.9,88.82915732810068,S1-C1-A1-Q1-O1,60.0,15.0,22.0,2.0,0.03,0.956,0.996,False,,,,,,,0.5514794685990339,0.5593297101449276,0.655042270531401
66,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"('Beavers', 'Cats')",All mammals,4.9,88.82915732810068,S3-C1-A1-Q1-O1,60.0,15.0,22.0,2.0,0.03,0.956,0.996,False,,,,,,,0.5514794685990339,0.5593297101449276,0.655042270531401
67,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"('Beavers', 'Cats')",All mammals,4.9,88.82915732810068,S3-C1-A1-Q3-O1,40.0,15.0,22.0,4.0,0.03,0.956,0.992,False,,,,,,,0.5514794685990339,0.5593297101449276,0.655042270531401
68,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"('Beavers', 'Cats')",All mammals,4.9,88.82915732810068,S3-C1-A1-Q4-O1,70.0,15.0,22.0,4.0,0.03,0.956,0.992,False,,,,,,,0.5514794685990339,0.5593297101449276,0.655042270531401
69,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"('Beavers', 'Cats')",All mammals,4.9,88.82915732810068,S3-C1-A1-Q1-O1-T,55.0,15.0,22.0,3.0,0.03,0.956,0.994,False,,,,,,,0.5514794685990339,0.5593297101449276,0.655042270531401
70,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,"('Beavers', 'Hedgehogs')",Elephants,7.4,94.71150433372055,S1-C1-A1-Q1-O1,50.0,31.0,26.0,4.0,0.0529914529914529,0.9555555555555556,0.9931623931623932,False,0.18115942028985507,0.21739130434782608,0.2391304347826087,0.12862318840579712,0.1503623188405797,0.1322463768115942,0.31219806763285024,0.362469806763285,0.3526570048309179
71,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,"('Beavers', 'Hedgehogs')",Elephants,7.4,94.71150433372055,S3-C1-A1-Q1-O1,60.0,31.0,26.0,5.0,0.0529914529914529,0.9555555555555556,0.9914529914529916,False,0.18115942028985507,0.21739130434782608,0.2391304347826087,0.12862318840579712,0.1503623188405797,0.1322463768115942,0.31219806763285024,0.362469806763285,0.3526570048309179
72,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,"('Beavers', 'Hedgehogs')",Elephants,7.4,94.71150433372055,S3-C1-A1-Q3-O1,75.0,31.0,26.0,4.0,0.0529914529914529,0.9555555555555556,0.9931623931623932,False,0.18115942028985507,0.21739130434782608,0.2391304347826087,0.12862318840579712,0.1503623188405797,0.1322463768115942,0.31219806763285024,0.362469806763285,0.3526570048309179
73,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,"('Beavers', 'Hedgehogs')",Elephants,7.4,94.71150433372055,S3-C1-A1-Q4-O1,75.0,31.0,26.0,5.0,0.0529914529914529,0.9555555555555556,0.9914529914529916,False,0.18115942028985507,0.21739130434782608,0.2391304347826087,0.12862318840579712,0.1503623188405797,0.1322463768115942,0.31219806763285024,0.362469806763285,0.3526570048309179
