,pid,tid,domain,conclusion_type,is_osherson,premises,conclusion,rating,argument,is_single_premise,is_control,cut_participant
23,101,3,Mammals,General,False,"('Hamsters',)",All mammals,40,"(('Hamsters',), 'All mammals')",True,False,False
24,101,30,Mammals,General,False,"('Donkeys', 'Horses')",All mammals,54,"(('Donkeys', 'Horses'), 'All mammals')",False,False,False
25,101,31,Mammals,General,False,"('Dogs', 'Foxes')",All mammals,60,"(('Dogs', 'Foxes'), 'All mammals')",False,False,False
26,101,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
27,101,33,Mammals,General,False,"('Hamsters', 'Hedgehogs')",All mammals,53,"(('Hamsters', 'Hedgehogs'), 'All mammals')",False,False,False
28,101,34,Mammals,General,False,"('Zebras', 'Llamas')",All mammals,45,"(('Zebras', 'Llamas'), 'All mammals')",False,False,False
29,101,35,Mammals,General,False,"('Foxes', 'Donkeys')",All mammals,69,"(('Foxes', 'Donkeys'), 'All mammals')",False,False,False
30,101,36,Mammals,General,False,"('Cats', 'Donkeys')",All mammals,71,"(('Cats', 'Donkeys'), 'All mammals')",False,False,False
31,101,37,Mammals,General,False,"('Squirrels', 'Zebras')",All mammals,79,"(('Squirrels', 'Zebras'), 'All mammals')",False,False,False
32,101,4,Mammals,General,False,"('Lions',)",All mammals,28,"(('Lions',), 'All mammals')",True,False,False
33,101,5,Mammals,General,False,"('Rabbits',)",All mammals,36,"(('Rabbits',), 'All mammals')",True,False,False
34,101,6,Mammals,General,False,"('Mice',)",All mammals,33,"(('Mice',), 'All mammals')",True,False,False
35,101,7,Mammals,General,False,"('Wolves',)",All mammals,40,"(('Wolves',), 'All mammals')",True,False,False
36,101,8,Mammals,General,False,"('All animals',)",All mammals,100,"(('All animals',), 'All mammals')",True,True,False
37,101,9,Mammals,General,False,"('Foxes',)",All mammals,40,"(('Foxes',), 'All mammals')",True,False,False
38,102,0,Mammals,General,False,"('Cats',)",All mammals,30,"(('Cats',), 'All mammals')",True,False,False
39,102,1,Mammals,General,False,"('Donkeys',)",All mammals,30,"(('Donkeys',), 'All mammals')",True,False,False
40,102,10,Mammals,General,False,"('Squirrels',)",All mammals,75,"(('Squirrels',), 'All mammals')",True,False,False
41,102,11,Mammals,General,False,"('Horses',)",All mammals,89,"(('Horses',), 'All mammals')",True,False,False
42,102,12,Mammals,General,False,"('Lions',)",All mammals,81,"(('Lions',), 'All mammals')",True,False,False
43,102,13,Mammals,General,False,"('Beavers',)",All mammals,86,"(('Beavers',), 'All mammals')",True,False,False
44,102,14,Mammals,General,False,"('Zebras',)",All mammals,85,"(('Zebras',), 'All mammals')",True,False,False
45,102,15,Mammals,General,False,"('Sheep',)",All mammals,77,"(('Sheep',), 'All mammals')",True,False,False
46,102,16,Mammals,General,False,"('All living things',)",All mammals,61,"(('All living things',), 'All mammals')",True,True,False
47,102,17,Mammals,General,False,"('Rhinos',)",All mammals,79,"(('Rhinos',), 'All mammals')",True,False,False
48,102,18,Mammals,General,False,"('Mice',)",All mammals,74,"(('Mice',), 'All mammals')",True,False,False
49,102,19,Mammals,General,False,"('Rabbits',)",All mammals,86,"(('Rabbits',), 'All mammals')",True,False,False
50,102,2,Mammals,General,False,"('Hamsters',)",All mammals,28,"(('Hamsters',), 'All mammals')",True,False,False
51,102,20,Mammals,General,False,"('Cows',)",All mammals,85,"(('Cows',), 'All mammals')",True,False,False
52,102,21,Mammals,General,False,"('Giraffes',)",All mammals,89,"(('Giraffes',), 'All mammals')",True,False,False
53,102,22,Mammals,General,False,"('Wolves',)",All mammals,87,"(('Wolves',), 'All mammals')",True,False,False
54,102,23,Mammals,General,False,"('Elephants',)",All mammals,97,"(('Elephants',), 'All mammals')",True,False,False
55,102,24,Mammals,General,False,"('All plants and animals',)",All mammals,50,"(('All plants and animals',), 'All mammals')",True,True,False
56,102,25,Mammals,General,False,"('Hedgehogs',)",All mammals,79,"(('Hedgehogs',), 'All mammals')",True,False,False
57,102,26,Mammals,General,False,"('Foxes',)",All mammals,86,"(('Foxes',), 'All mammals')",True,False,False
58,102,27,Mammals,General,False,"('Cats', 'Donkeys')",All mammals,80,"(('Cats', 'Donkeys'), 'All mammals')",False,False,False
59,102,28,Mammals,General,False,"('Sheep', 'Beavers')",All mammals,82,"(('Sheep', 'Beavers'), 'All mammals')",False,False,False
60,102,29,Mammals,General,False,"('Camels', 'Giraffes')",All mammals,87,"(('Camels', 'Giraffes'), 'All mammals')",False,False,False
61,102,3,Mammals,General,False,"('Hippos',)",All mammals,37,"(('Hippos',), 'All mammals')",True,False,False
62,102,30,Mammals,General,False,"('Foxes', 'Donkeys')",All mammals,89,"(('Foxes', 'Donkeys'), 'All mammals')",False,False,False
63,102,31,Mammals,General,False,"('Squirrels', 'Zebras')",All mammals,89,"(('Squirrels', 'Zebras'), 'All mammals')",False,False,False
64,102,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
65,102,33,Mammals,General,False,"('Dogs', 'Foxes')",All mammals,83,"(('Dogs', 'Foxes'), 'All mammals')",False,False,False
66,102,34,Mammals,General,False,"('Donkeys', 'Horses')",All mammals,84,"(('Donkeys', 'Horses'), 'All mammals')",False,False,False
67,102,35,Mammals,General,False,"('Tigers', 'Hedgehogs')",All mammals,91,"(('Tigers', 'Hedgehogs'), 'All mammals')",False,False,False
68,102,36,Mammals,General,False,"('Zebras', 'Llamas')",All mammals,84,"(('Zebras', 'Llamas'), 'All mammals')",False,False,False
69,102,37,Mammals,General,False,"('Hamsters', 'Hedgehogs')",All mammals,88,"(('Hamsters', 'Hedgehogs'), 'All mammals')",False,False,False
70,102,4,Mammals,General,False,"('Tigers',)",All mammals,50,"(('Tigers',), 'All mammals')",True,False,False
71,102,5,Mammals,General,False,"('Llamas',)",All mammals,59,"(('Llamas',), 'All mammals')",True,False,False
72,102,6,Mammals,General,False,"('Deer',)",All mammals,68,"(('Deer',), 'All mammals')",True,False,False
73,102,7,Mammals,General,False,"('Camels',)",All mammals,76,"(('Camels',), 'All mammals')",True,False,False
74,102,8,Mammals,General,False,"('All animals',)",All mammals,100,"(('All animals',), 'All mammals')",True,True,False
75,102,9,Mammals,General,False,"('Dogs',)",All mammals,70,"(('Dogs',), 'All mammals')",True,False,False
76,104,0,Mammals,General,False,"('Llamas',)",All mammals,67,"(('Llamas',), 'All mammals')",True,False,False
77,104,1,Mammals,General,False,"('Hedgehogs',)",All mammals,56,"(('Hedgehogs',), 'All mammals')",True,False,False
78,104,10,Mammals,General,False,"('Squirrels',)",All mammals,58,"(('Squirrels',), 'All mammals')",True,False,False
79,104,11,Mammals,General,False,"('Mice',)",All mammals,61,"(('Mice',), 'All mammals')",True,False,False
80,104,12,Mammals,General,False,"('Tigers',)",All mammals,55,"(('Tigers',), 'All mammals')",True,False,False
81,104,13,Mammals,General,False,"('Rabbits',)",All mammals,56,"(('Rabbits',), 'All mammals')",True,False,False
82,104,14,Mammals,General,False,"('Dogs',)",All mammals,59,"(('Dogs',), 'All mammals')",True,False,False
83,104,15,Mammals,General,False,"('Zebras',)",All mammals,60,"(('Zebras',), 'All mammals')",True,False,False
84,104,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
85,104,17,Mammals,General,False,"('Deer',)",All mammals,57,"(('Deer',), 'All mammals')",True,False,False
86,104,18,Mammals,General,False,"('Foxes',)",All mammals,59,"(('Foxes',), 'All mammals')",True,False,False
87,104,19,Mammals,General,False,"('Lions',)",All mammals,58,"(('Lions',), 'All mammals')",True,False,False
88,104,2,Mammals,General,False,"('Horses',)",All mammals,55,"(('Horses',), 'All mammals')",True,False,False
89,104,20,Mammals,General,False,"('Cows',)",All mammals,58,"(('Cows',), 'All mammals')",True,False,False
90,104,21,Mammals,General,False,"('Hamsters',)",All mammals,61,"(('Hamsters',), 'All mammals')",True,False,False
91,104,22,Mammals,General,False,"('Sheep',)",All mammals,54,"(('Sheep',), 'All mammals')",True,False,False
92,104,23,Mammals,General,False,"('Hippos',)",All mammals,49,"(('Hippos',), 'All mammals')",True,False,False
93,104,24,Mammals,General,False,"('All plants and animals',)",All mammals,100,"(('All plants and animals',), 'All mammals')",True,True,False
94,104,25,Mammals,General,False,"('Beavers',)",All mammals,53,"(('Beavers',), 'All mammals')",True,False,False
95,104,26,Mammals,General,False,"('Elephants',)",All mammals,52,"(('Elephants',), 'All mammals')",True,False,False
96,104,27,Mammals,General,False,"('Tigers', 'Hedgehogs')",All mammals,64,"(('Tigers', 'Hedgehogs'), 'All mammals')",False,False,False
97,104,28,Mammals,General,False,"('Foxes', 'Donkeys')",All mammals,63,"(('Foxes', 'Donkeys'), 'All mammals')",False,False,False
98,104,29,Mammals,General,False,"('Hamsters', 'Hedgehogs')",All mammals,45,"(('Hamsters', 'Hedgehogs'), 'All mammals')",False,False,False
99,104,3,Mammals,General,False,"('Cats',)",All mammals,59,"(('Cats',), 'All mammals')",True,False,False
100,104,30,Mammals,General,False,"('Camels', 'Giraffes')",All mammals,55,"(('Camels', 'Giraffes'), 'All mammals')",False,False,False
101,104,31,Mammals,General,False,"('Cats', 'Donkeys')",All mammals,71,"(('Cats', 'Donkeys'), 'All mammals')",False,False,False
102,104,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
103,104,33,Mammals,General,False,"('Squirrels', 'Zebras')",All mammals,61,"(('Squirrels', 'Zebras'), 'All mammals')",False,False,False
104,104,34,Mammals,General,False,"('Sheep', 'Beavers')",All mammals,59,"(('Sheep', 'Beavers'), 'All mammals')",False,False,False
105,104,35,Mammals,General,False,"('Dogs', 'Foxes')",All mammals,56,"(('Dogs', 'Foxes'), 'All mammals')",False,False,False
106,104,36,Mammals,General,False,"('Zebras', 'Llamas')",All mammals,61,"(('Zebras', 'Llamas'), 'All mammals')",False,False,False
107,104,37,Mammals,General,False,"('Donkeys', 'Horses')",All mammals,52,"(('Donkeys', 'Horses'), 'All mammals')",False,False,False
108,104,4,Mammals,General,False,"('Giraffes',)",All mammals,57,"(('Giraffes',), 'All mammals')",True,False,False
109,104,5,Mammals,General,False,"('Wolves',)",All mammals,57,"(('Wolves',), 'All mammals')",True,False,False
110,104,6,Mammals,General,False,"('Rhinos',)",All mammals,60,"(('Rhinos',), 'All mammals')",True,False,False
111,104,7,Mammals,General,False,"('Donkeys',)",All mammals,55,"(('Donkeys',), 'All mammals')",True,False,False
112,104,8,Mammals,General,False,"('All animals',)",All mammals,80,"(('All animals',), 'All mammals')",True,True,False
113,104,9,Mammals,General,False,"('Camels',)",All mammals,59,"(('Camels',), 'All mammals')",True,False,False
114,11,0,Mammals,General,False,"('Zebras',)",All mammals,17,"(('Zebras',), 'All mammals')",True,False,False
115,11,1,Mammals,General,False,"('Llamas',)",All mammals,21,"(('Llamas',), 'All mammals')",True,False,False
116,11,10,Mammals,General,False,"('Squirrels',)",All mammals,13,"(('Squirrels',), 'All mammals')",True,False,False
117,11,11,Mammals,General,False,"('Hippos',)",All mammals,17,"(('Hippos',), 'All mammals')",True,False,False
118,11,12,Mammals,General,False,"('Deer',)",All mammals,8,"(('Deer',), 'All mammals')",True,False,False
119,11,13,Mammals,General,False,"('Cows',)",All mammals,17,"(('Cows',), 'All mammals')",True,False,False
120,11,14,Mammals,General,False,"('Wolves',)",All mammals,15,"(('Wolves',), 'All mammals')",True,False,False
121,11,15,Mammals,General,False,"('Lions',)",All mammals,17,"(('Lions',), 'All mammals')",True,False,False
122,11,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
123,11,17,Mammals,General,False,"('Foxes',)",All mammals,13,"(('Foxes',), 'All mammals')",True,False,False
124,11,18,Mammals,General,False,"('Tigers',)",All mammals,15,"(('Tigers',), 'All mammals')",True,False,False
125,11,19,Mammals,General,False,"('Sheep',)",All mammals,17,"(('Sheep',), 'All mammals')",True,False,False
126,11,2,Mammals,General,False,"('Mice',)",All mammals,3,"(('Mice',), 'All mammals')",True,False,False
127,11,20,Mammals,General,False,"('Horses',)",All mammals,14,"(('Horses',), 'All mammals')",True,False,False
128,11,21,Mammals,General,False,"('Camels',)",All mammals,14,"(('Camels',), 'All mammals')",True,False,False
129,11,22,Mammals,General,False,"('Elephants',)",All mammals,11,"(('Elephants',), 'All mammals')",True,False,False
130,11,23,Mammals,General,False,"('Beavers',)",All mammals,14,"(('Beavers',), 'All mammals')",True,False,False
131,11,24,Mammals,General,False,"('All plants and animals',)",All mammals,100,"(('All plants and animals',), 'All mammals')",True,True,False
132,11,25,Mammals,General,False,"('Giraffes',)",All mammals,12,"(('Giraffes',), 'All mammals')",True,False,False
133,11,26,Mammals,General,False,"('Rhinos',)",All mammals,11,"(('Rhinos',), 'All mammals')",True,False,False
134,11,27,Mammals,General,False,"('Hippos', 'Hedgehogs')",All mammals,25,"(('Hippos', 'Hedgehogs'), 'All mammals')",False,False,False
135,11,28,Mammals,General,False,"('Horses', 'Cows')",All mammals,28,"(('Horses', 'Cows'), 'All mammals')",False,False,False
136,11,29,Mammals,General,False,"('Rabbits', 'Llamas')",All mammals,27,"(('Rabbits', 'Llamas'), 'All mammals')",False,False,False
137,11,3,Mammals,General,False,"('Hedgehogs',)",All mammals,16,"(('Hedgehogs',), 'All mammals')",True,False,False
138,11,30,Mammals,General,False,"('Deer', 'Squirrels')",All mammals,42,"(('Deer', 'Squirrels'), 'All mammals')",False,False,False
139,11,31,Mammals,General,False,"('Wolves', 'Llamas')",All mammals,23,"(('Wolves', 'Llamas'), 'All mammals')",False,False,False
140,11,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
141,11,33,Mammals,General,False,"('Hamsters', 'Squirrels')",All mammals,25,"(('Hamsters', 'Squirrels'), 'All mammals')",False,False,False
142,11,34,Mammals,General,False,"('Horses', 'Cats')",All mammals,42,"(('Horses', 'Cats'), 'All mammals')",False,False,False
143,11,35,Mammals,General,False,"('Cows', 'Giraffes')",All mammals,31,"(('Cows', 'Giraffes'), 'All mammals')",False,False,False
144,11,36,Mammals,General,False,"('Beavers', 'Rabbits')",All mammals,40,"(('Beavers', 'Rabbits'), 'All mammals')",False,False,False
145,11,37,Mammals,General,False,"('Camels', 'Cows')",All mammals,34,"(('Camels', 'Cows'), 'All mammals')",False,False,False
146,11,4,Mammals,General,False,"('Cats',)",All mammals,21,"(('Cats',), 'All mammals')",True,False,False
147,11,5,Mammals,General,False,"('Rabbits',)",All mammals,20,"(('Rabbits',), 'All mammals')",True,False,False
148,11,6,Mammals,General,False,"('Donkeys',)",All mammals,15,"(('Donkeys',), 'All mammals')",True,False,False
149,11,7,Mammals,General,False,"('Dogs',)",All mammals,16,"(('Dogs',), 'All mammals')",True,False,False
150,11,8,Mammals,General,False,"('All animals',)",All mammals,100,"(('All animals',), 'All mammals')",True,True,False
151,11,9,Mammals,General,False,"('Hamsters',)",All mammals,19,"(('Hamsters',), 'All mammals')",True,False,False
152,130,0,Mammals,General,False,"('Rhinos',)",All mammals,0,"(('Rhinos',), 'All mammals')",True,False,False
153,130,1,Mammals,General,False,"('Elephants',)",All mammals,0,"(('Elephants',), 'All mammals')",True,False,False
154,130,10,Mammals,General,False,"('Camels',)",All mammals,85,"(('Camels',), 'All mammals')",True,False,False
155,130,11,Mammals,General,False,"('Cats',)",All mammals,89,"(('Cats',), 'All mammals')",True,False,False
156,130,12,Mammals,General,False,"('Tigers',)",All mammals,85,"(('Tigers',), 'All mammals')",True,False,False
157,130,13,Mammals,General,False,"('Squirrels',)",All mammals,80,"(('Squirrels',), 'All mammals')",True,False,False
158,130,14,Mammals,General,False,"('Lions',)",All mammals,85,"(('Lions',), 'All mammals')",True,False,False
159,130,15,Mammals,General,False,"('Hippos',)",All mammals,94,"(('Hippos',), 'All mammals')",True,False,False
160,130,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
161,130,17,Mammals,General,False,"('Horses',)",All mammals,70,"(('Horses',), 'All mammals')",True,False,False
162,130,18,Mammals,General,False,"('Wolves',)",All mammals,77,"(('Wolves',), 'All mammals')",True,False,False
163,130,19,Mammals,General,False,"('Donkeys',)",All mammals,73,"(('Donkeys',), 'All mammals')",True,False,False
164,130,2,Mammals,General,False,"('Hamsters',)",All mammals,14,"(('Hamsters',), 'All mammals')",True,False,False
165,130,20,Mammals,General,False,"('Hedgehogs',)",All mammals,81,"(('Hedgehogs',), 'All mammals')",True,False,False
166,130,21,Mammals,General,False,"('Sheep',)",All mammals,89,"(('Sheep',), 'All mammals')",True,False,False
167,130,22,Mammals,General,False,"('Cows',)",All mammals,89,"(('Cows',), 'All mammals')",True,False,False
168,130,23,Mammals,General,False,"('Foxes',)",All mammals,69,"(('Foxes',), 'All mammals')",True,False,False
169,130,24,Mammals,General,False,"('All plants and animals',)",All mammals,100,"(('All plants and animals',), 'All mammals')",True,True,False
170,130,25,Mammals,General,False,"('Deer',)",All mammals,63,"(('Deer',), 'All mammals')",True,False,False
171,130,26,Mammals,General,False,"('Mice',)",All mammals,28,"(('Mice',), 'All mammals')",True,False,False
172,130,27,Mammals,General,False,"('Wolves', 'Elephants')",All mammals,70,"(('Wolves', 'Elephants'), 'All mammals')",False,False,False
173,130,28,Mammals,General,False,"('Llamas', 'Squirrels')",All mammals,83,"(('Llamas', 'Squirrels'), 'All mammals')",False,False,False
174,130,29,Mammals,General,False,"('Wolves', 'Zebras')",All mammals,79,"(('Wolves', 'Zebras'), 'All mammals')",False,False,False
175,130,3,Mammals,General,False,"('Giraffes',)",All mammals,18,"(('Giraffes',), 'All mammals')",True,False,False
176,130,30,Mammals,General,False,"('Llamas', 'Camels')",All mammals,25,"(('Llamas', 'Camels'), 'All mammals')",False,False,False
177,130,31,Mammals,General,False,"('Dogs', 'Horses')",All mammals,76,"(('Dogs', 'Horses'), 'All mammals')",False,False,False
178,130,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
179,130,33,Mammals,General,False,"('Mice', 'Dogs')",All mammals,59,"(('Mice', 'Dogs'), 'All mammals')",False,False,False
180,130,34,Mammals,General,False,"('Squirrels', 'Beavers')",All mammals,27,"(('Squirrels', 'Beavers'), 'All mammals')",False,False,False
181,130,35,Mammals,General,False,"('Elephants', 'Giraffes')",All mammals,42,"(('Elephants', 'Giraffes'), 'All mammals')",False,False,False
182,130,36,Mammals,General,False,"('Dogs', 'Hamsters')",All mammals,72,"(('Dogs', 'Hamsters'), 'All mammals')",False,False,False
183,130,37,Mammals,General,False,"('Rhinos', 'Giraffes')",All mammals,67,"(('Rhinos', 'Giraffes'), 'All mammals')",False,False,False
184,130,4,Mammals,General,False,"('Dogs',)",All mammals,54,"(('Dogs',), 'All mammals')",True,False,False
185,130,5,Mammals,General,False,"('Rabbits',)",All mammals,64,"(('Rabbits',), 'All mammals')",True,False,False
186,130,6,Mammals,General,False,"('Llamas',)",All mammals,73,"(('Llamas',), 'All mammals')",True,False,False
187,130,7,Mammals,General,False,"('Beavers',)",All mammals,76,"(('Beavers',), 'All mammals')",True,False,False
188,130,8,Mammals,General,False,"('All animals',)",All mammals,100,"(('All animals',), 'All mammals')",True,True,False
189,130,9,Mammals,General,False,"('Zebras',)",All mammals,100,"(('Zebras',), 'All mammals')",True,False,False
190,132,0,Mammals,General,False,"('Mice',)",All mammals,14,"(('Mice',), 'All mammals')",True,False,False
191,132,1,Mammals,General,False,"('Giraffes',)",All mammals,33,"(('Giraffes',), 'All mammals')",True,False,False
192,132,10,Mammals,General,False,"('Squirrels',)",All mammals,53,"(('Squirrels',), 'All mammals')",True,False,False
193,132,11,Mammals,General,False,"('Zebras',)",All mammals,50,"(('Zebras',), 'All mammals')",True,False,False
194,132,12,Mammals,General,False,"('Horses',)",All mammals,59,"(('Horses',), 'All mammals')",True,False,False
195,132,13,Mammals,General,False,"('Tigers',)",All mammals,16,"(('Tigers',), 'All mammals')",True,False,False
196,132,14,Mammals,General,False,"('Wolves',)",All mammals,28,"(('Wolves',), 'All mammals')",True,False,False
197,132,15,Mammals,General,False,"('Hamsters',)",All mammals,40,"(('Hamsters',), 'All mammals')",True,False,False
198,132,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
199,132,17,Mammals,General,False,"('Deer',)",All mammals,33,"(('Deer',), 'All mammals')",True,False,False
200,132,18,Mammals,General,False,"('Cows',)",All mammals,40,"(('Cows',), 'All mammals')",True,False,False
201,132,19,Mammals,General,False,"('Beavers',)",All mammals,36,"(('Beavers',), 'All mammals')",True,False,False
202,132,2,Mammals,General,False,"('Camels',)",All mammals,21,"(('Camels',), 'All mammals')",True,False,False
203,132,20,Mammals,General,False,"('Dogs',)",All mammals,29,"(('Dogs',), 'All mammals')",True,False,False
204,132,21,Mammals,General,False,"('Rhinos',)",All mammals,11,"(('Rhinos',), 'All mammals')",True,False,False
205,132,22,Mammals,General,False,"('Llamas',)",All mammals,20,"(('Llamas',), 'All mammals')",True,False,False
206,132,23,Mammals,General,False,"('Hedgehogs',)",All mammals,23,"(('Hedgehogs',), 'All mammals')",True,False,False
207,132,24,Mammals,General,False,"('All plants and animals',)",All mammals,100,"(('All plants and animals',), 'All mammals')",True,True,False
208,132,25,Mammals,General,False,"('Donkeys',)",All mammals,31,"(('Donkeys',), 'All mammals')",True,False,False
209,132,26,Mammals,General,False,"('Hippos',)",All mammals,35,"(('Hippos',), 'All mammals')",True,False,False
210,132,27,Mammals,General,False,"('Elephants', 'Giraffes')",All mammals,18,"(('Elephants', 'Giraffes'), 'All mammals')",False,False,False
211,132,28,Mammals,General,False,"('Dogs', 'Horses')",All mammals,25,"(('Dogs', 'Horses'), 'All mammals')",False,False,False
212,132,29,Mammals,General,False,"('Rhinos', 'Giraffes')",All mammals,34,"(('Rhinos', 'Giraffes'), 'All mammals')",False,False,False
213,132,3,Mammals,General,False,"('Rabbits',)",All mammals,18,"(('Rabbits',), 'All mammals')",True,False,False
214,132,30,Mammals,General,False,"('Mice', 'Dogs')",All mammals,36,"(('Mice', 'Dogs'), 'All mammals')",False,False,False
215,132,31,Mammals,General,False,"('Dogs', 'Hamsters')",All mammals,46,"(('Dogs', 'Hamsters'), 'All mammals')",False,False,False
216,132,32,Mammals,General,False,"('All animals', 'All organisms')",All mammals,100,"(('All animals', 'All organisms'), 'All mammals')",False,True,False
217,132,33,Mammals,General,False,"('Wolves', 'Elephants')",All mammals,48,"(('Wolves', 'Elephants'), 'All mammals')",False,False,False
218,132,34,Mammals,General,False,"('Llamas', 'Squirrels')",All mammals,63,"(('Llamas', 'Squirrels'), 'All mammals')",False,False,False
219,132,35,Mammals,General,False,"('Wolves', 'Zebras')",All mammals,57,"(('Wolves', 'Zebras'), 'All mammals')",False,False,False
220,132,36,Mammals,General,False,"('Squirrels', 'Beavers')",All mammals,67,"(('Squirrels', 'Beavers'), 'All mammals')",False,False,False
221,132,37,Mammals,General,False,"('Llamas', 'Camels')",All mammals,20,"(('Llamas', 'Camels'), 'All mammals')",False,False,False
222,132,4,Mammals,General,False,"('Cats',)",All mammals,29,"(('Cats',), 'All mammals')",True,False,False
223,132,5,Mammals,General,False,"('Elephants',)",All mammals,30,"(('Elephants',), 'All mammals')",True,False,False
224,132,6,Mammals,General,False,"('Lions',)",All mammals,13,"(('Lions',), 'All mammals')",True,False,False
225,132,7,Mammals,General,False,"('Foxes',)",All mammals,37,"(('Foxes',), 'All mammals')",True,False,False
226,132,8,Mammals,General,False,"('All animals',)",All mammals,100,"(('All animals',), 'All mammals')",True,True,False
227,132,9,Mammals,General,False,"('Sheep',)",All mammals,20,"(('Sheep',), 'All mammals')",True,False,False
228,133,0,Mammals,General,False,"('Dogs',)",All mammals,40,"(('Dogs',), 'All mammals')",True,False,False
229,133,1,Mammals,General,False,"('Camels',)",All mammals,35,"(('Camels',), 'All mammals')",True,False,False
230,133,10,Mammals,General,False,"('Deer',)",All mammals,71,"(('Deer',), 'All mammals')",True,False,False
231,133,11,Mammals,General,False,"('Hippos',)",All mammals,72,"(('Hippos',), 'All mammals')",True,False,False
232,133,12,Mammals,General,False,"('Cats',)",All mammals,80,"(('Cats',), 'All mammals')",True,False,False
233,133,13,Mammals,General,False,"('Horses',)",All mammals,80,"(('Horses',), 'All mammals')",True,False,False
234,133,14,Mammals,General,False,"('Rhinos',)",All mammals,70,"(('Rhinos',), 'All mammals')",True,False,False
235,133,15,Mammals,General,False,"('Elephants',)",All mammals,71,"(('Elephants',), 'All mammals')",True,False,False
236,133,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
237,133,17,Mammals,General,False,"('Hedgehogs',)",All mammals,80,"(('Hedgehogs',), 'All mammals')",True,False,False
238,133,18,Mammals,General,False,"('Mice',)",All mammals,75,"(('Mice',), 'All mammals')",True,False,False
239,133,19,Mammals,General,False,"('Lions',)",All mammals,70,"(('Lions',), 'All mammals')",True,False,False
