,domain,conclusion_type,argument,premises,conclusion,avg_ranking,avg_rating,is_osherson,is_single_premise,is_control,num_ratings
93,Mammals,General,"(('Rabbits', 'Llamas'), 'All mammals')","('Rabbits', 'Llamas')",All mammals,4.666666666666667,66.0,False,False,False,3
94,Mammals,General,"(('Rabbits', 'Squirrels'), 'All mammals')","('Rabbits', 'Squirrels')",All mammals,7.6,50.4,False,False,False,5
95,Mammals,General,"(('Rabbits',), 'All mammals')","('Rabbits',)",All mammals,9.954545454545455,41.70454545454545,False,True,False,44
96,Mammals,General,"(('Rhinos', 'Beavers'), 'All mammals')","('Rhinos', 'Beavers')",All mammals,3.8,61.8,False,False,False,5
97,Mammals,General,"(('Rhinos', 'Donkeys'), 'All mammals')","('Rhinos', 'Donkeys')",All mammals,4.333333333333333,64.0,False,False,False,6
98,Mammals,General,"(('Rhinos', 'Giraffes'), 'All mammals')","('Rhinos', 'Giraffes')",All mammals,5.5,61.75,False,False,False,4
99,Mammals,General,"(('Rhinos', 'Hippos'), 'All mammals')","('Rhinos', 'Hippos')",All mammals,5.0,62.142857142857146,False,False,False,7
100,Mammals,General,"(('Rhinos',), 'All mammals')","('Rhinos',)",All mammals,11.136363636363637,40.86363636363637,False,True,False,44
101,Mammals,General,"(('Sheep', 'Beavers'), 'All mammals')","('Sheep', 'Beavers')",All mammals,4.4,77.8,False,False,False,5
102,Mammals,General,"(('Sheep', 'Camels'), 'All mammals')","('Sheep', 'Camels')",All mammals,6.2,43.0,False,False,False,5
103,Mammals,General,"(('Sheep',), 'All mammals')","('Sheep',)",All mammals,8.977272727272727,47.68181818181818,False,True,False,44
104,Mammals,General,"(('Squirrels', 'Beavers'), 'All mammals')","('Squirrels', 'Beavers')",All mammals,4.5,56.5,False,False,False,4
105,Mammals,General,"(('Squirrels', 'Hedgehogs'), 'All mammals')","('Squirrels', 'Hedgehogs')",All mammals,5.857142857142857,49.285714285714285,False,False,False,7
106,Mammals,General,"(('Squirrels', 'Sheep'), 'All mammals')","('Squirrels', 'Sheep')",All mammals,5.5,59.166666666666664,False,False,False,6
107,Mammals,General,"(('Squirrels', 'Zebras'), 'All mammals')","('Squirrels', 'Zebras')",All mammals,3.8,78.6,False,False,False,5
108,Mammals,General,"(('Squirrels',), 'All mammals')","('Squirrels',)",All mammals,10.477272727272727,39.97727272727273,False,True,False,44
109,Mammals,General,"(('Tigers', 'Cats'), 'All mammals')","('Tigers', 'Cats')",All mammals,6.8,40.2,False,False,False,5
110,Mammals,General,"(('Tigers', 'Donkeys'), 'All mammals')","('Tigers', 'Donkeys')",All mammals,4.571428571428571,63.142857142857146,False,False,False,7
111,Mammals,General,"(('Tigers', 'Hamsters'), 'All mammals')","('Tigers', 'Hamsters')",All mammals,6.8,46.0,False,False,False,5
112,Mammals,General,"(('Tigers', 'Hedgehogs'), 'All mammals')","('Tigers', 'Hedgehogs')",All mammals,3.8,76.0,False,False,False,5
113,Mammals,General,"(('Tigers', 'Horses'), 'All mammals')","('Tigers', 'Horses')",All mammals,4.4,59.4,False,False,False,5
114,Mammals,General,"(('Tigers',), 'All mammals')","('Tigers',)",All mammals,9.227272727272727,46.59090909090909,False,True,False,44
115,Mammals,General,"(('Wolves', 'Beavers'), 'All mammals')","('Wolves', 'Beavers')",All mammals,6.4,51.8,False,False,False,5
116,Mammals,General,"(('Wolves', 'Elephants'), 'All mammals')","('Wolves', 'Elephants')",All mammals,4.75,61.75,False,False,False,4
117,Mammals,General,"(('Wolves', 'Horses'), 'All mammals')","('Wolves', 'Horses')",All mammals,4.333333333333333,65.33333333333333,False,False,False,6
118,Mammals,General,"(('Wolves', 'Llamas'), 'All mammals')","('Wolves', 'Llamas')",All mammals,6.333333333333333,53.333333333333336,False,False,False,3
119,Mammals,General,"(('Wolves', 'Zebras'), 'All mammals')","('Wolves', 'Zebras')",All mammals,4.5,57.75,False,False,False,4
120,Mammals,General,"(('Wolves',), 'All mammals')","('Wolves',)",All mammals,6.9772727272727275,51.79545454545455,False,True,False,44
121,Mammals,General,"(('Zebras', 'Cats'), 'All mammals')","('Zebras', 'Cats')",All mammals,4.5,61.666666666666664,False,False,False,6
122,Mammals,General,"(('Zebras', 'Dogs'), 'All mammals')","('Zebras', 'Dogs')",All mammals,4.0,55.0,False,False,False,2
123,Mammals,General,"(('Zebras', 'Giraffes'), 'All mammals')","('Zebras', 'Giraffes')",All mammals,8.5,35.0,False,False,False,2
124,Mammals,General,"(('Zebras', 'Hamsters'), 'All mammals')","('Zebras', 'Hamsters')",All mammals,2.0,73.5,False,False,False,2
125,Mammals,General,"(('Zebras', 'Llamas'), 'All mammals')","('Zebras', 'Llamas')",All mammals,7.0,65.6,False,False,False,5
126,Mammals,General,"(('Zebras', 'Mice'), 'All mammals')","('Zebras', 'Mice')",All mammals,4.2,60.2,False,False,False,5
127,Mammals,General,"(('Zebras',), 'All mammals')","('Zebras',)",All mammals,9.931818181818182,44.63636363636363,False,True,False,44
