,uid,tid,trialId,premises0,conclusion0,premises1,conclusion1,rating
34,118,tid_experiment1_1,tc40,Skateboards,All vehicles,Vans,All vehicles,3
35,118,tid_experiment1_1,tc41,Hamsters,Cats,Cats,Hamsters,2
36,118,tid_experiment1_1,tc42,Kangaroos:Elephants,Rhinos,Kangaroos:Elephants:Hedgehogs,Rhinos,4
37,118,tid_experiment1_1,tc43,Taxis,All vehicles,Taxis,Zeppelins,3
38,118,tid_experiment1_1,tc44,Cats:Tigers,All mammals,Cats:Elephants,All mammals,2
39,118,tid_experiment1_1,tc45,Roosters,Storks,Ostriches,Storks,3
40,118,tid_experiment1_1,tc46,Turkeys:Chickens,Storks,Turkeys:Penguins,Storks,4
41,118,tid_experiment1_1,tc47,Trucks:Skateboards,All vehicles,Trucks:Tractors,All vehicles,2
42,118,tid_experiment1_1,tc48,Mopeds,Motorbikes,Mopeds,Screwdrivers,2
43,118,tid_experiment1_1,tc49,Owls:Swans,Robins,Owls:Eagles,Robins,2
44,118,tid_experiment1_1,tc4,Magpies:Falcons,All animals,Magpies:Falcons,All birds,4
45,118,tid_experiment1_1,tc50,Caravans,Motorbikes,Motorbikes,Caravans,3
46,118,tid_experiment1_1,tc51,Airplanes:Bicycles,Jeeps,Airplanes:Zeppelins,Jeeps,2
47,118,tid_experiment1_1,tc52,Blackbirds:Storks,All birds,Blackbirds:Magpies,All birds,1
48,118,tid_experiment1_1,tc53,Kangaroos,Rabbits,Rabbits,Kangaroos,3
49,118,tid_experiment1_1,tc54,Carts:Tractors:Zeppelins,All vehicles,Carts:Tractors,All vehicles,1
50,118,tid_experiment1_1,tc55,Mice,Deer,Llamas,Deer,3
51,118,tid_experiment1_1,tc56,Sparrows,Penguins,Penguins,Sparrows,1
52,118,tid_experiment1_1,tc57,Beavers,All mammals,Cows,All mammals,3
53,118,tid_experiment1_1,tc58,Lions,All mammals,Lions,Camels,3
54,118,tid_experiment1_1,tc59,Boats:Submarines,Trucks,Boats:Mopeds,Trucks,2
55,118,tid_experiment1_1,tc5,Caravans:Ploughs,Vans,Caravans,Vans,1
56,118,tid_experiment1_1,tc60,Tractors:Knives,Bicycles,Tractors,Bicycles,3
57,118,tid_experiment1_1,tc61,Tigers:Bats:Cobras,All mammals,Tigers:Bats,All mammals,1
58,118,tid_experiment1_1,tc62,Sparrows:Swallows,All birds,Sparrows:Swallows:Centipedes,All birds,4
59,118,tid_experiment1_1,tc63,Tractors:Caravans:Zeppelins,Motorbikes,Tractors:Caravans,Motorbikes,1
60,118,tid_experiment1_1,tc64,Robins,Sparrows,Robins,Gorillas,3
61,118,tid_experiment1_1,tc65,Magpies:Herons:Roosters,Storks,Magpies:Herons,Storks,1
62,118,tid_experiment1_1,tc66,Turkeys,Canaries,Canaries,Turkeys,3
63,118,tid_experiment1_1,tc67,Peacocks,Doves,Peacocks:Moths,Doves,3
64,118,tid_experiment1_1,tc68,Sleds,All vehicles,Jeeps,All vehicles,3
65,118,tid_experiment1_1,tc69,Pigs:Bats,Cats,Pigs:Cows,Cats,2
66,118,tid_experiment1_1,tc6,Rhinos:Tortoises,Elephants,Rhinos,Elephants,1
67,118,tid_experiment1_1,tc7,Herons:Doves,All birds,Herons:Doves:Grasshoppers,All birds,4
68,118,tid_experiment1_1,tc8,Sheep,All mammals,Sheep,Camels,2
69,118,tid_experiment1_1,tc9,Deer:Elephants,All mammals,Deer:Elephants,All animals,2
70,32,tid_experiment1_23,tc0,Elephants:Rabbits:Cobras,All mammals,Elephants:Rabbits,All mammals,4
71,32,tid_experiment1_23,tc10,Boats:Cars:Sleds,Vans,Boats:Cars,Vans,4
72,32,tid_experiment1_23,tc11,Rabbits:Hamsters,Pigs,Rabbits:Elephants,Pigs,2
73,32,tid_experiment1_23,tc12,Jeeps:Bicycles:Carriages,All vehicles,Jeeps:Bicycles,All vehicles,1
74,32,tid_experiment1_23,tc13,Crows,All birds,Chickens,All birds,2
75,32,tid_experiment1_23,tc14,Peacocks:Canaries,All birds,Peacocks:Canaries,All animals,1
76,32,tid_experiment1_23,tc15,Jeeps:Taxis,All vehicles,Jeeps:Rockets,All vehicles,4
77,32,tid_experiment1_23,tc16,Hippos,Rhinos,Hippos,Chickens,1
78,32,tid_experiment1_23,tc17,Trucks,Rockets,Trucks,All vehicles,2
79,32,tid_experiment1_23,tc18,Tigers,All mammals,Tigers,Kangaroos,3
80,32,tid_experiment1_23,tc19,Pigs:Rhinos,Deer,Pigs:Rhinos:Bats,Deer,2
81,32,tid_experiment1_23,tc1,Crows:Swans,Robins,Crows:Vultures,Robins,2
82,32,tid_experiment1_23,tc20,Carts,Helicopters,Carts:Ploughs,Helicopters,2
83,32,tid_experiment1_23,tc21,Robins,All birds,Roosters,All birds,1
84,32,tid_experiment1_23,tc22,Trains,All vehicles,Sleds,All vehicles,3
85,32,tid_experiment1_23,tc23,Cats:Camels:Bats,All mammals,Cats:Camels,All mammals,1
86,32,tid_experiment1_23,tc24,Peacocks:Ducks,All birds,Peacocks:Ducks:Penguins,All birds,1
87,32,tid_experiment1_23,tc25,Boats:Helicopters,Motorbikes,Boats:Submarines,Motorbikes,2
88,32,tid_experiment1_23,tc26,Elephants:Kangaroos,All mammals,Elephants:Kangaroos,All animals,1
89,32,tid_experiment1_23,tc27,Hedgehogs,Mice,Llamas,Mice,2
90,32,tid_experiment1_23,tc28,Hedgehogs:Tigers,All animals,Hedgehogs:Tigers,All mammals,4
91,32,tid_experiment1_23,tc29,Dogs,All mammals,Camels,All mammals,3
92,32,tid_experiment1_23,tc2,Jeeps:Skateboards,All things,Jeeps:Skateboards,All vehicles,4
93,32,tid_experiment1_23,tc30,Eagles:Storks:Ducks,Parrots,Eagles:Storks,Parrots,1
94,32,tid_experiment1_23,tc31,Chickens:Penguins:Leeches,All birds,Chickens:Penguins,All birds,4
95,32,tid_experiment1_23,tc32,Lions,Tigers,Lions,Penguins,2
96,32,tid_experiment1_23,tc33,Eagles:Owls,All birds,Eagles:Chickens,All birds,3
97,32,tid_experiment1_23,tc34,Magpies:Blackbirds,All animals,Magpies:Blackbirds,All birds,4
98,32,tid_experiment1_23,tc35,Sheep:Rhinos,Kangaroos,Sheep:Rhinos:Squirrels,Kangaroos,2
99,32,tid_experiment1_23,tc36,Chickens:Vultures,Owls,Chickens:Vultures:Penguins,Owls,2
100,32,tid_experiment1_23,tc37,Sleds,Carriages,Submarines,Carriages,2
101,32,tid_experiment1_23,tc38,Bicycles,Caravans,Caravans,Bicycles,2
102,32,tid_experiment1_23,tc39,Sparrows,All birds,Sparrows,Swans,3
103,32,tid_experiment1_23,tc3,Hedgehogs,All mammals,Horses,All mammals,3
104,32,tid_experiment1_23,tc40,Rabbits,Lions,Tigers,Lions,4
105,32,tid_experiment1_23,tc41,Canaries,Ducks,Canaries,All birds,1
106,32,tid_experiment1_23,tc42,Rockets:Zeppelins,All vehicles,Rockets:Zeppelins,All things,1
107,32,tid_experiment1_23,tc43,Mice,Cows,Cows,Mice,0
108,32,tid_experiment1_23,tc44,Penguins,Swallows,Falcons,Swallows,4
109,32,tid_experiment1_23,tc45,Penguins,Crows,Crows,Penguins,3
110,32,tid_experiment1_23,tc46,Vultures:Flees,Storks,Vultures,Storks,3
111,32,tid_experiment1_23,tc47,Deer:Llamas,All mammals,Deer:Llamas:Hamsters,All mammals,4
112,32,tid_experiment1_23,tc48,Mopeds,Motorbikes,Mopeds,Screwdrivers,1
113,32,tid_experiment1_23,tc49,Trains:Mopeds:Hovercraft,Motorbikes,Trains:Mopeds,Motorbikes,1
114,32,tid_experiment1_23,tc4,Elephants:Deer:Cobras,All mammals,Elephants:Deer,All mammals,4
115,32,tid_experiment1_23,tc50,Vultures:Ducks,All birds,Vultures:Ostriches,All birds,4
116,32,tid_experiment1_23,tc51,Storks,Swallows,Swallows,Storks,2
117,32,tid_experiment1_23,tc52,Trucks,Skateboards,Skateboards,Trucks,2
118,32,tid_experiment1_23,tc53,Buses:Skateboards,All vehicles,Buses:Trams,All vehicles,1
119,32,tid_experiment1_23,tc54,Tigers:Dinosaurs,Lions,Tigers,Lions,4
120,32,tid_experiment1_23,tc55,Canaries:Storks,All birds,Canaries:Storks:Peacocks,All birds,4
121,32,tid_experiment1_23,tc56,Eagles:Ducks,Seagulls,Eagles:Owls,Seagulls,2
122,32,tid_experiment1_23,tc57,Swans,Eagles,Swans:Spiders,Eagles,2
123,32,tid_experiment1_23,tc58,Horses:Hedgehogs,All mammals,Horses:Giraffes,All mammals,2
124,32,tid_experiment1_23,tc59,Vultures:Eagles:Centipedes,All birds,Vultures:Eagles,All birds,4
125,32,tid_experiment1_23,tc5,Helicopters:Boats,Trams,Helicopters:Zeppelins,Trams,2
126,32,tid_experiment1_23,tc60,Trams:Hovercraft,All vehicles,Trams:Hovercraft:Screwdrivers,All vehicles,0
127,32,tid_experiment1_23,tc61,Canaries,Blackbirds,Herons,Blackbirds,2
128,32,tid_experiment1_23,tc62,Airplanes:Ropes,Trucks,Airplanes,Trucks,5
129,32,tid_experiment1_23,tc63,Tractors,Trucks,Skateboards,Trucks,1
130,32,tid_experiment1_23,tc64,Robins,Sparrows,Robins,Gorillas,1
131,32,tid_experiment1_23,tc65,Motorbikes,All vehicles,Motorbikes,Skateboards,3
132,32,tid_experiment1_23,tc66,Lions,Hamsters,Hamsters,Lions,2
133,32,tid_experiment1_23,tc67,Taxis:Skateboards,All vehicles,Taxis:Skateboards:Rockets,All vehicles,4
134,32,tid_experiment1_23,tc68,Hedgehogs,Cats,Hedgehogs:Crocodiles,Cats,1
135,32,tid_experiment1_23,tc69,Llamas:Bats,Rabbits,Llamas:Camels,Rabbits,2
136,32,tid_experiment1_23,tc6,Donkeys,Llamas,Donkeys,All mammals,4
137,32,tid_experiment1_23,tc7,Llamas:Camels,All mammals,Llamas:Hedgehogs,All mammals,4
138,32,tid_experiment1_23,tc8,Rockets,All vehicles,Cars,All vehicles,2
139,32,tid_experiment1_23,tc9,Sleds:Cars,All vehicles,Sleds:Cars:Wrenches,All vehicles,1
140,20,tid_experiment1_36,tc0,Owls:Bees,Canaries,Owls,Canaries,3
141,20,tid_experiment1_36,tc10,Penguins:Parrots:Moths,All birds,Penguins:Parrots,All birds,4
142,20,tid_experiment1_36,tc11,Sleds:Skateboards,Caravans,Sleds:Submarines,Caravans,4
143,20,tid_experiment1_36,tc12,Pigs,All mammals,Pigs,Hedgehogs,4
144,20,tid_experiment1_36,tc13,Cows:Dogs,Llamas,Cows:Dogs:Bats,Llamas,2
145,20,tid_experiment1_36,tc14,Lions,All mammals,Bats,All mammals,1
146,20,tid_experiment1_36,tc15,Submarines:Ropes,Sleds,Submarines,Sleds,3
147,20,tid_experiment1_36,tc16,Hippos,Rhinos,Hippos,Chickens,1
148,20,tid_experiment1_36,tc17,Taxis,Hovercraft,Hovercraft,Taxis,3
149,20,tid_experiment1_36,tc18,Skateboards:Sleds,All vehicles,Skateboards:Rockets,All vehicles,2
150,20,tid_experiment1_36,tc19,Carts:Motorbikes,Submarines,Carts:Motorbikes:Skateboards,Submarines,3
151,20,tid_experiment1_36,tc1,Beavers:Iguanas,Zebras,Beavers,Zebras,3
152,20,tid_experiment1_36,tc20,Lions:Giraffes,Elephants,Lions:Giraffes:Llamas,Elephants,4
153,20,tid_experiment1_36,tc21,Sparrows:Ducks:Leeches,All birds,Sparrows:Ducks,All birds,4
154,20,tid_experiment1_36,tc22,Swans,Herons,Penguins,Herons,1
155,20,tid_experiment1_36,tc23,Hovercraft:Submarines:Crowbars,All vehicles,Hovercraft:Submarines,All vehicles,4
156,20,tid_experiment1_36,tc24,Herons:Sparrows,All animals,Herons:Sparrows,All birds,4
157,20,tid_experiment1_36,tc25,Elephants:Hedgehogs,Sheep,Elephants:Giraffes,Sheep,2
158,20,tid_experiment1_36,tc26,Caravans:Tractors:Carts,All vehicles,Caravans:Tractors,All vehicles,1
159,20,tid_experiment1_36,tc27,Horses:Bats,Cats,Horses:Llamas,Cats,3
160,20,tid_experiment1_36,tc28,Hamsters:Squirrels,All mammals,Hamsters:Camels,All mammals,3
161,20,tid_experiment1_36,tc29,Mopeds:Boats,All vehicles,Mopeds:Boats:Tractors,All vehicles,4
162,20,tid_experiment1_36,tc2,Giraffes:Camels,All mammals,Giraffes:Bats,All mammals,0
163,20,tid_experiment1_36,tc30,Carts:Sleds:Wheelbarrows,All vehicles,Carts:Sleds,All vehicles,1
164,20,tid_experiment1_36,tc31,Rockets,Trucks,Tractors,Trucks,5
165,20,tid_experiment1_36,tc32,Lions,Tigers,Lions,Penguins,0
166,20,tid_experiment1_36,tc33,Blackbirds,All birds,Blackbirds,Swans,4
167,20,tid_experiment1_36,tc34,Cows:Donkeys:Snakes,All mammals,Cows:Donkeys,All mammals,4
168,20,tid_experiment1_36,tc35,Ostriches,All birds,Doves,All birds,3
169,20,tid_experiment1_36,tc36,Elephants:Beavers,All animals,Elephants:Beavers,All mammals,5
170,20,tid_experiment1_36,tc37,Trains,All vehicles,Trains,Carts,4
171,20,tid_experiment1_36,tc38,Blackbirds:Eagles,All birds,Blackbirds:Swallows,All birds,1
172,20,tid_experiment1_36,tc39,Rockets,Cars,Caravans,Cars,4
173,20,tid_experiment1_36,tc3,Cats:Hedgehogs:Pythons,All mammals,Cats:Hedgehogs,All mammals,4
174,20,tid_experiment1_36,tc40,Kangaroos,Sheep,Sheep,Kangaroos,3
175,20,tid_experiment1_36,tc41,Trams,Cars,Trams:Crowbars,Cars,2
176,20,tid_experiment1_36,tc42,Buses,All vehicles,Zeppelins,All vehicles,2
177,20,tid_experiment1_36,tc43,Squirrels,Zebras,Llamas,Zebras,3
178,20,tid_experiment1_36,tc44,Cows,Dogs,Cats,Dogs,4
179,20,tid_experiment1_36,tc45,Sparrows:Robins,All birds,Sparrows:Parrots,All birds,2
180,20,tid_experiment1_36,tc46,Vultures:Robins:Swans,All birds,Vultures:Robins,All birds,0
181,20,tid_experiment1_36,tc47,Horses,All mammals,Beavers,All mammals,2
182,20,tid_experiment1_36,tc48,Mopeds,Motorbikes,Mopeds,Screwdrivers,0
183,20,tid_experiment1_36,tc49,Crows:Herons,Blackbirds,Crows:Swans,Blackbirds,2
184,20,tid_experiment1_36,tc4,Trucks:Skateboards,All things,Trucks:Skateboards,All vehicles,5
185,20,tid_experiment1_36,tc50,Peacocks:Turkeys,All birds,Peacocks:Turkeys,All animals,0
186,20,tid_experiment1_36,tc51,Ostriches,Seagulls,Swallows,Seagulls,5
187,20,tid_experiment1_36,tc52,Robins,Turkeys,Robins,All birds,1
188,20,tid_experiment1_36,tc53,Cars,All vehicles,Cars,Carriages,3
189,20,tid_experiment1_36,tc54,Giraffes:Elephants:Hedgehogs,All mammals,Giraffes:Elephants,All mammals,0
190,20,tid_experiment1_36,tc55,Vans:Zeppelins,All things,Vans:Zeppelins,All vehicles,5
191,20,tid_experiment1_36,tc56,Ducks,Vultures,Ducks:Ants,Vultures,1
192,20,tid_experiment1_36,tc57,Ducks,Magpies,Magpies,Ducks,3
193,20,tid_experiment1_36,tc58,Carriages:Trams,Carts,Carriages:Trams:Rockets,Carts,2
194,20,tid_experiment1_36,tc59,Eagles:Parrots,All birds,Eagles:Parrots:Ostriches,All birds,5
195,20,tid_experiment1_36,tc5,Ostriches,All birds,Sparrows,All birds,3
196,20,tid_experiment1_36,tc60,Dogs:Rhinos,All mammals,Dogs:Rhinos:Beavers,All mammals,4
197,20,tid_experiment1_36,tc61,Taxis,Zeppelins,Zeppelins,Taxis,3
198,20,tid_experiment1_36,tc62,Donkeys,All mammals,Donkeys,Hamsters,2
199,20,tid_experiment1_36,tc63,Kangaroos:Cows,All mammals,Kangaroos:Cows,All animals,1
200,20,tid_experiment1_36,tc64,Robins,Sparrows,Robins,Gorillas,0
201,20,tid_experiment1_36,tc65,Sparrows:Seagulls:Falcons,Blackbirds,Sparrows:Seagulls,Blackbirds,0
202,20,tid_experiment1_36,tc66,Rhinos,Rabbits,Rabbits,Rhinos,3
203,20,tid_experiment1_36,tc67,Robins,Turkeys,Turkeys,Robins,2
204,20,tid_experiment1_36,tc68,Mopeds:Bicycles,Vans,Mopeds:Airplanes,Vans,4
205,20,tid_experiment1_36,tc69,Storks:Doves,Eagles,Storks:Doves:Ducks,Eagles,4
206,20,tid_experiment1_36,tc6,Buses,All vehicles,Submarines,All vehicles,2
207,20,tid_experiment1_36,tc7,Vultures:Ostriches,Seagulls,Vultures:Chickens,Seagulls,2
208,20,tid_experiment1_36,tc8,Tigers:Crocodiles,Cats,Tigers,Cats,4
209,20,tid_experiment1_36,tc9,Skateboards:Sleds,All vehicles,Skateboards:Zeppelins,All vehicles,4
210,40,tid_experiment1_68,tc0,Turkeys:Ostriches,Blackbirds,Turkeys:Penguins,Blackbirds,4
211,40,tid_experiment1_68,tc10,Chickens:Falcons,All animals,Chickens:Falcons,All birds,1
212,40,tid_experiment1_68,tc11,Elephants:Bats:Alligators,All mammals,Elephants:Bats,All mammals,5
213,40,tid_experiment1_68,tc12,Crows:Herons,Roosters,Crows:Herons:Ostriches,Roosters,4
214,40,tid_experiment1_68,tc13,Tractors,Jeeps,Jeeps,Tractors,2
215,40,tid_experiment1_68,tc14,Taxis:Bicycles,Motorbikes,Taxis:Bicycles:Hovercraft,Motorbikes,2
216,40,tid_experiment1_68,tc15,Cats:Donkeys:Squirrels,All mammals,Cats:Donkeys,All mammals,5
217,40,tid_experiment1_68,tc16,Hippos,Rhinos,Hippos,Chickens,1
218,40,tid_experiment1_68,tc17,Zeppelins:Helicopters,All vehicles,Zeppelins:Helicopters:Tong,All vehicles,3
219,40,tid_experiment1_68,tc18,Penguins,Turkeys,Chickens,Turkeys,2
220,40,tid_experiment1_68,tc19,Carts:Hovercraft,Tractors,Carts:Sleds,Tractors,5
221,40,tid_experiment1_68,tc1,Chickens,All birds,Blackbirds,All birds,2
222,40,tid_experiment1_68,tc20,Swallows,All birds,Swallows,Chickens,4
223,40,tid_experiment1_68,tc21,Owls:Herons:Roosters,Magpies,Owls:Herons,Magpies,4
224,40,tid_experiment1_68,tc22,Cats:Pigs,Rhinos,Cats:Pigs:Mice,Rhinos,2
225,40,tid_experiment1_68,tc23,Pigs,Bats,Pigs,All mammals,5
226,40,tid_experiment1_68,tc24,Hedgehogs,All mammals,Cows,All mammals,5
227,40,tid_experiment1_68,tc25,Cats:Cows,All mammals,Cats:Cows,All animals,1
228,40,tid_experiment1_68,tc26,Ostriches,Doves,Doves,Ostriches,4
229,40,tid_experiment1_68,tc27,Pigs:Bats,All animals,Pigs:Bats,All mammals,3
230,40,tid_experiment1_68,tc28,Zeppelins:Submarines,All things,Zeppelins:Submarines,All vehicles,4
231,40,tid_experiment1_68,tc29,Seagulls:Turkeys:Roosters,All birds,Seagulls:Turkeys,All birds,2
232,40,tid_experiment1_68,tc2,Seagulls:Magpies,All birds,Seagulls:Ostriches,All birds,5
233,40,tid_experiment1_68,tc30,Jeeps,All vehicles,Submarines,All vehicles,1
234,40,tid_experiment1_68,tc31,Hamsters,Mice,Camels,Mice,5
235,40,tid_experiment1_68,tc32,Lions,Tigers,Lions,Penguins,4
236,40,tid_experiment1_68,tc33,Submarines,Cars,Submarines:Nails,Cars,4
237,40,tid_experiment1_68,tc34,Taxis,Tractors,Taxis,All vehicles,3
238,40,tid_experiment1_68,tc35,Crows,All birds,Crows,Vultures,1
239,40,tid_experiment1_68,tc36,Carts,Carriages,Submarines,Carriages,3
240,40,tid_experiment1_68,tc37,Squirrels,Elephants,Giraffes,Elephants,4
241,40,tid_experiment1_68,tc38,Tigers,Mice,Mice,Tigers,1
242,40,tid_experiment1_68,tc39,Zeppelins:Tractors,All vehicles,Zeppelins:Tractors:Levels,All vehicles,4
243,40,tid_experiment1_68,tc3,Tractors:Cars,All vehicles,Tractors:Cars:Zeppelins,All vehicles,2
244,40,tid_experiment1_68,tc40,Carriages:Carts,All vehicles,Carriages:Carts:Submarines,All vehicles,3
245,40,tid_experiment1_68,tc41,Magpies:Swallows,All birds,Magpies:Swallows:Penguins,All birds,5
246,40,tid_experiment1_68,tc42,Storks:Robins:Ants,All birds,Storks:Robins,All birds,3
247,40,tid_experiment1_68,tc43,Hedgehogs,Sheep,Sheep,Hedgehogs,2
248,40,tid_experiment1_68,tc44,Trucks:Rockets,All vehicles,Trucks:Tractors,All vehicles,2
249,40,tid_experiment1_68,tc45,Vans,Cars,Rockets,Cars,4
250,40,tid_experiment1_68,tc46,Eagles:Ducks,All birds,Eagles:Falcons,All birds,1
251,40,tid_experiment1_68,tc47,Airplanes:Caravans,Rockets,Airplanes:Caravans:Carts,Rockets,2
252,40,tid_experiment1_68,tc48,Mopeds,Motorbikes,Mopeds,Screwdrivers,5
253,40,tid_experiment1_68,tc49,Sparrows,All birds,Chickens,All birds,4
254,40,tid_experiment1_68,tc4,Kangaroos:Cobras,Giraffes,Kangaroos,Giraffes,4
255,40,tid_experiment1_68,tc50,Camels:Tigers:Beavers,All mammals,Camels:Tigers,All mammals,2
256,40,tid_experiment1_68,tc51,Cats,All mammals,Squirrels,All mammals,2
257,40,tid_experiment1_68,tc52,Llamas:Bats,Rabbits,Llamas:Zebras,Rabbits,3
258,40,tid_experiment1_68,tc53,Crows:Swallows,All birds,Crows:Swallows,All animals,2
259,40,tid_experiment1_68,tc54,Rabbits,Hedgehogs,Rabbits,All mammals,5
260,40,tid_experiment1_68,tc55,Zebras:Mice,All mammals,Zebras:Llamas,All mammals,4
261,40,tid_experiment1_68,tc56,Trucks:Helicopters,All things,Trucks:Helicopters,All vehicles,0
262,40,tid_experiment1_68,tc57,Bats,Elephants,Bats:Pythons,Elephants,4
263,40,tid_experiment1_68,tc58,Rockets,All vehicles,Buses,All vehicles,5
264,40,tid_experiment1_68,tc59,Giraffes:Zebras,Rabbits,Giraffes:Bats,Rabbits,3
265,40,tid_experiment1_68,tc5,Kangaroos:Rhinos:Tortoises,All mammals,Kangaroos:Rhinos,All mammals,5
266,40,tid_experiment1_68,tc60,Herons,Seagulls,Herons:Lice,Seagulls,4
267,40,tid_experiment1_68,tc61,Carriages:Rockets,Boats,Carriages:Sleds,Boats,5
268,40,tid_experiment1_68,tc62,Sleds:Spanners,Zeppelins,Sleds,Zeppelins,3
269,40,tid_experiment1_68,tc63,Mice:Lions:Rhinos,Dogs,Mice:Lions,Dogs,3
270,40,tid_experiment1_68,tc64,Robins,Sparrows,Robins,Gorillas,1
271,40,tid_experiment1_68,tc65,Ducks,Eagles,Eagles,Ducks,5
272,40,tid_experiment1_68,tc66,Peacocks:Blackbirds:Cockroaches,All birds,Peacocks:Blackbirds,All birds,4
273,40,tid_experiment1_68,tc67,Penguins,Peacocks,Roosters,Peacocks,2
274,40,tid_experiment1_68,tc68,Roosters:Storks,Crows,Roosters:Peacocks,Crows,3
275,40,tid_experiment1_68,tc69,Roosters,Crows,Roosters:Moths,Crows,1
276,40,tid_experiment1_68,tc6,Helicopters:Carts,All vehicles,Helicopters:Zeppelins,All vehicles,3
277,40,tid_experiment1_68,tc7,Bicycles,Rockets,Bicycles,All vehicles,4
278,40,tid_experiment1_68,tc8,Deer:Bats,All mammals,Deer:Llamas,All mammals,5
279,40,tid_experiment1_68,tc9,Motorbikes,Hovercraft,Hovercraft,Motorbikes,2
280,13,tid_experiment1_10,tc0,Peacocks:Chickens,Storks,Peacocks:Penguins,Storks,1
281,13,tid_experiment1_10,tc10,Sleds,Boats,Hovercraft,Boats,4
282,13,tid_experiment1_10,tc11,Bats,Mice,Mice,Bats,3
283,13,tid_experiment1_10,tc12,Lions:Squirrels,All mammals,Lions:Zebras,All mammals,4
284,13,tid_experiment1_10,tc13,Taxis:Hovercraft,All vehicles,Taxis:Hovercraft:Skateboards,All vehicles,4
285,13,tid_experiment1_10,tc14,Canaries:Storks,All birds,Canaries:Parrots,All birds,4
286,13,tid_experiment1_10,tc15,Robins,All birds,Robins,Ostriches,4
287,13,tid_experiment1_10,tc16,Hippos,Rhinos,Hippos,Chickens,0
288,13,tid_experiment1_10,tc17,Crows:Swallows:Turkeys,Seagulls,Crows:Swallows,Seagulls,0
289,13,tid_experiment1_10,tc18,Skateboards:Caravans,All vehicles,Skateboards:Caravans:Nails,All vehicles,1
290,13,tid_experiment1_10,tc19,Storks,Eagles,Eagles,Storks,3
291,13,tid_experiment1_10,tc1,Rabbits:Cows,All mammals,Rabbits:Cows,All animals,0
