,argpair,phenomenon,conclusion_type,domain,stronger_arg_premises,stronger_arg_conclusion,weaker_arg_premises,weaker_arg_conclusion,average_human_rating,osherson_rating,stronger_arg_scm,weaker_arg_scm,is_control,is_osherson,is_weaker_arg_shown_first
10,"['Bats', 'Squirrels', 'All mammals', 'Bats', 'Squirrels', 'All animals']",Specificity,General,Mammals,"['Bats', 'Squirrels']",All mammals,"['Bats', 'Squirrels']",All animals,1.75,,,,False,False,False
11,"['Bats', 'Tigers', 'Bats', 'Toads', 'Tigers']",Nonmonotonicity (Specific),Mixed,Mammals,['Bats'],Tigers,"['Bats', 'Toads']",Tigers,2.7,,,,False,False,True
12,"['Beavers', 'Bats', 'Donkeys', 'Beavers', 'Hamsters', 'Donkeys']",Diversity (Specific),Specific,Mammals,"['Beavers', 'Bats']",Donkeys,"['Beavers', 'Hamsters']",Donkeys,2.875,,7.173245614035087,7.673245614035087,False,False,True
13,"['Beavers', 'Camels', 'Beavers', 'Vipers', 'Camels']",Nonmonotonicity (Specific),Mixed,Mammals,['Beavers'],Camels,"['Beavers', 'Vipers']",Camels,1.6666666666666667,,,,False,False,False
14,"['Beavers', 'Giraffes', 'Beavers', 'Lizards', 'Giraffes']",Nonmonotonicity (Specific),Mixed,Mammals,['Beavers'],Giraffes,"['Beavers', 'Lizards']",Giraffes,3.6,,,,False,False,True
15,"['Beavers', 'Lions', 'Beavers', 'Toads', 'Lions']",Nonmonotonicity (Specific),Mixed,Mammals,['Beavers'],Lions,"['Beavers', 'Toads']",Lions,2.625,,,,False,False,True
16,"['Beavers', 'Mice', 'Beavers', 'Frogs', 'Mice']",Nonmonotonicity (Specific),Mixed,Mammals,['Beavers'],Mice,"['Beavers', 'Frogs']",Mice,2.625,,,,False,False,False
17,"['Beavers', 'Rhinos', 'All mammals', 'Beavers', 'Rhinos', 'All animals']",Specificity,General,Mammals,"['Beavers', 'Rhinos']",All mammals,"['Beavers', 'Rhinos']",All animals,2.125,,,,False,False,False
18,"['Beavers', 'Zebras', 'Beavers', 'Iguanas', 'Zebras']",Nonmonotonicity (Specific),Mixed,Mammals,['Beavers'],Zebras,"['Beavers', 'Iguanas']",Zebras,3.333333333333333,,,,False,False,True
19,"['Bicycles', 'All vehicles', 'Bicycles', 'Rockets']",Inclusion Fallacy,General,Vehicles,['Bicycles'],All vehicles,['Bicycles'],Rockets,1.6666666666666667,,7.433333333333333,7.433333333333333,False,False,True
20,"['Bicycles', 'Caravans', 'All vehicles', 'Bicycles', 'Caravans', 'Drills', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Bicycles', 'Caravans']",All vehicles,"['Bicycles', 'Caravans', 'Drills']",All vehicles,1.4,,,,False,False,True
21,"['Bicycles', 'Caravans', 'Caravans', 'Bicycles']",Asymmetry,Specific,Vehicles,['Bicycles'],Caravans,['Caravans'],Bicycles,2.5,,6.916666666666666,7.313888888888889,False,False,False
22,"['Bicycles', 'Carts', 'All vehicles', 'Bicycles', 'Carts', 'All things']",Specificity,General,Vehicles,"['Bicycles', 'Carts']",All vehicles,"['Bicycles', 'Carts']",All things,0.5,,,,False,False,False
23,"['Bicycles', 'Rockets', 'Rockets', 'Bicycles']",Asymmetry,Specific,Vehicles,['Bicycles'],Rockets,['Rockets'],Bicycles,2.2222222222222223,,5.9833333333333325,5.427777777777778,False,False,False
24,"['Bicycles', 'Skateboards', 'All vehicles', 'Bicycles', 'Skateboards', 'Saws', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Bicycles', 'Skateboards']",All vehicles,"['Bicycles', 'Skateboards', 'Saws']",All vehicles,0.625,,,,False,False,False
25,"['Bicycles', 'Submarines', 'All vehicles', 'Bicycles', 'Mopeds', 'All vehicles']",Diversity (General),General,Vehicles,"['Bicycles', 'Submarines']",All vehicles,"['Bicycles', 'Mopeds']",All vehicles,3.0,,9.072222222222225,8.408333333333333,False,False,False
26,"['Bicycles', 'Vans', 'All vehicles', 'Bicycles', 'Vans', 'All things']",Specificity,General,Vehicles,"['Bicycles', 'Vans']",All vehicles,"['Bicycles', 'Vans']",All things,0.5,,,,False,False,True
27,"['Bicycles', 'Zeppelins', 'All vehicles', 'Bicycles', 'Mopeds', 'All vehicles']",Diversity (General),General,Vehicles,"['Bicycles', 'Zeppelins']",All vehicles,"['Bicycles', 'Mopeds']",All vehicles,2.4,,9.313888888888888,8.408333333333333,False,False,True
28,"['Blackbirds', 'All birds', 'Blackbirds', 'Penguins']",Inclusion Fallacy,General,Birds,['Blackbirds'],All birds,['Blackbirds'],Penguins,2.75,,9.519607843137257,9.519607843137257,False,False,True
29,"['Blackbirds', 'All birds', 'Blackbirds', 'Storks']",Inclusion Fallacy,General,Birds,['Blackbirds'],All birds,['Blackbirds'],Storks,2.3,,9.519607843137257,9.519607843137257,False,False,False
30,"['Blackbirds', 'All birds', 'Blackbirds', 'Swans']",Inclusion Fallacy,General,Birds,['Blackbirds'],All birds,['Blackbirds'],Swans,2.888888888888889,,9.519607843137257,9.519607843137257,False,False,False
31,"['Blackbirds', 'All birds', 'Chickens', 'All birds']",Typicality,General,Birds,['Blackbirds'],All birds,['Chickens'],All birds,2.333333333333333,,9.519607843137257,9.63970588235294,False,False,True
32,"['Blackbirds', 'All birds', 'Ostriches', 'All birds']",Typicality,General,Birds,['Blackbirds'],All birds,['Ostriches'],All birds,2.111111111111111,,9.519607843137257,8.25,False,False,True
33,"['Blackbirds', 'All birds', 'Penguins', 'All birds']",Typicality,General,Birds,['Blackbirds'],All birds,['Penguins'],All birds,1.875,,9.519607843137257,6.25,False,False,True
34,"['Blackbirds', 'All birds', 'Roosters', 'All birds']",Typicality,General,Birds,['Blackbirds'],All birds,['Roosters'],All birds,1.7,,9.519607843137257,9.144607843137257,False,False,False
35,"['Blackbirds', 'All birds', 'Turkeys', 'All birds']",Typicality,General,Birds,['Blackbirds'],All birds,['Turkeys'],All birds,1.6666666666666667,,9.519607843137257,9.620098039215684,False,False,False
36,"['Blackbirds', 'Eagles', 'All birds', 'Blackbirds', 'Swallows', 'All birds']",Diversity (General),General,Birds,"['Blackbirds', 'Eagles']",All birds,"['Blackbirds', 'Swallows']",All birds,2.333333333333333,,11.25,10.71078431372549,False,False,False
37,"['Blackbirds', 'Falcons', 'All birds', 'Blackbirds', 'Falcons', 'Moths', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Blackbirds', 'Falcons']",All birds,"['Blackbirds', 'Falcons', 'Moths']",All birds,1.0,,,,False,False,False
38,"['Blackbirds', 'Herons', 'Roosters', 'All birds', 'Blackbirds', 'Herons', 'All birds']",Monotonicity (General),General,Birds,"['Blackbirds', 'Herons', 'Roosters']",All birds,"['Blackbirds', 'Herons']",All birds,1.1111111111111112,,12.96078431372549,11.67156862745098,False,False,False
39,"['Blackbirds', 'Seagulls', 'All birds', 'Blackbirds', 'Seagulls', 'Wasps', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Blackbirds', 'Seagulls']",All birds,"['Blackbirds', 'Seagulls', 'Wasps']",All birds,0.9,,,,False,False,True
40,"['Blackbirds', 'Storks', 'All birds', 'Blackbirds', 'Magpies', 'All birds']",Diversity (General),General,Birds,"['Blackbirds', 'Storks']",All birds,"['Blackbirds', 'Magpies']",All birds,2.7777777777777777,,11.509803921568627,10.622549019607844,False,False,False
41,"['Blackbirds', 'Storks', 'Storks', 'Blackbirds']",Asymmetry,Specific,Birds,['Blackbirds'],Storks,['Storks'],Blackbirds,1.9,,7.965686274509804,7.725490196078431,False,False,True
42,"['Blackbirds', 'Swans', 'All birds', 'Blackbirds', 'Doves', 'All birds']",Diversity (General),General,Birds,"['Blackbirds', 'Swans']",All birds,"['Blackbirds', 'Doves']",All birds,2.8,,11.411764705882351,10.845588235294116,False,False,False
43,"['Blackbirds', 'Swans', 'All birds', 'Blackbirds', 'Swallows', 'All birds']",Diversity (General),General,Birds,"['Blackbirds', 'Swans']",All birds,"['Blackbirds', 'Swallows']",All birds,2.8,,11.411764705882351,10.71078431372549,False,False,False
44,"['Blackbirds', 'Swans', 'Swans', 'Blackbirds']",Asymmetry,Specific,Birds,['Blackbirds'],Swans,['Swans'],Blackbirds,2.2222222222222223,,8.200980392156863,7.955882352941177,False,False,True
45,"['Bluejays', 'Falcons', 'All birds', 'Bluejays', 'Falcons', 'All animals']",Specificity,General,Birds,"['Bluejays', 'Falcons']",All birds,"['Bluejays', 'Falcons']",All animals,0.8,0.9375,,,False,True,True
46,"['Boats', 'Buses', 'Submarines', 'Sleds', 'Boats', 'Buses', 'Sleds']",Monotonicity (Specific),Specific,Vehicles,"['Boats', 'Buses', 'Submarines']",Sleds,"['Boats', 'Buses']",Sleds,1.2,,8.301388888888889,8.126388888888888,False,False,False
47,"['Boats', 'Cars', 'Sleds', 'Vans', 'Boats', 'Cars', 'Vans']",Monotonicity (Specific),Specific,Vehicles,"['Boats', 'Cars', 'Sleds']",Vans,"['Boats', 'Cars']",Vans,2.5,,12.963888888888889,12.551388888888887,False,False,False
48,"['Boats', 'Helicopters', 'Motorbikes', 'Boats', 'Submarines', 'Motorbikes']",Diversity (Specific),Specific,Vehicles,"['Boats', 'Helicopters']",Motorbikes,"['Boats', 'Submarines']",Motorbikes,1.6,,7.269444444444444,6.848611111111111,False,False,False
49,"['Boats', 'Jeeps', 'All vehicles', 'Boats', 'Jeeps', 'All things']",Specificity,General,Vehicles,"['Boats', 'Jeeps']",All vehicles,"['Boats', 'Jeeps']",All things,0.375,,,,False,False,False
50,"['Boats', 'Jeeps', 'Boats', 'Shovels', 'Jeeps']",Nonmonotonicity (Specific),Mixed,Vehicles,['Boats'],Jeeps,"['Boats', 'Shovels']",Jeeps,1.2222222222222223,,,,False,False,False
51,"['Boats', 'Mopeds', 'Skateboards', 'All vehicles', 'Boats', 'Mopeds', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Boats', 'Mopeds', 'Skateboards']",All vehicles,"['Boats', 'Mopeds']",All vehicles,2.2222222222222223,,10.494444444444444,9.65277777777778,False,False,False
52,"['Boats', 'Mopeds', 'Trucks', 'Boats', 'Submarines', 'Trucks']",Diversity (Specific),Specific,Vehicles,"['Boats', 'Mopeds']",Trucks,"['Boats', 'Submarines']",Trucks,1.6666666666666667,,8.859722222222222,8.015277777777778,False,False,True
53,"['Boats', 'Motorbikes', 'Skateboards', 'All vehicles', 'Boats', 'Motorbikes', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Boats', 'Motorbikes', 'Skateboards']",All vehicles,"['Boats', 'Motorbikes']",All vehicles,2.7777777777777777,,10.488888888888887,9.697222222222225,False,False,False
54,"['Boats', 'Motorbikes', 'Sleds', 'All vehicles', 'Boats', 'Motorbikes', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Boats', 'Motorbikes', 'Sleds']",All vehicles,"['Boats', 'Motorbikes']",All vehicles,1.5,,10.833333333333334,9.697222222222225,False,False,True
55,"['Boats', 'Skateboards', 'Cars', 'Boats', 'Hovercraft', 'Cars']",Diversity (Specific),Specific,Vehicles,"['Boats', 'Skateboards']",Cars,"['Boats', 'Hovercraft']",Cars,3.333333333333333,,7.679166666666666,7.35,False,False,False
56,"['Boats', 'Skateboards', 'Vans', 'Boats', 'Hovercraft', 'Vans']",Diversity (Specific),Specific,Vehicles,"['Boats', 'Skateboards']",Vans,"['Boats', 'Hovercraft']",Vans,2.9,,7.6125,7.283333333333333,False,False,False
57,"['Boats', 'Sleds', 'All vehicles', 'Boats', 'Submarines', 'All vehicles']",Diversity (General),General,Vehicles,"['Boats', 'Sleds']",All vehicles,"['Boats', 'Submarines']",All vehicles,3.0,,9.041666666666666,7.963888888888889,False,False,True
58,"['Boats', 'Zeppelins', 'Submarines', 'Carriages', 'Boats', 'Zeppelins', 'Carriages']",Monotonicity (Specific),Specific,Vehicles,"['Boats', 'Zeppelins', 'Submarines']",Carriages,"['Boats', 'Zeppelins']",Carriages,1.625,,8.072222222222223,7.940277777777778,False,False,True
59,"['Buses', 'All vehicles', 'Rockets', 'All vehicles']",Typicality,General,Vehicles,['Buses'],All vehicles,['Rockets'],All vehicles,1.3333333333333333,,9.430555555555555,6.322222222222223,False,False,True
60,"['Buses', 'All vehicles', 'Skateboards', 'All vehicles']",Typicality,General,Vehicles,['Buses'],All vehicles,['Skateboards'],All vehicles,1.25,,9.430555555555555,6.355555555555555,False,False,False
61,"['Buses', 'All vehicles', 'Sleds', 'All vehicles']",Typicality,General,Vehicles,['Buses'],All vehicles,['Sleds'],All vehicles,1.2222222222222223,,9.430555555555555,6.900000000000001,False,False,True
62,"['Buses', 'All vehicles', 'Submarines', 'All vehicles']",Typicality,General,Vehicles,['Buses'],All vehicles,['Submarines'],All vehicles,1.8888888888888888,,9.430555555555555,6.733333333333332,False,False,False
63,"['Buses', 'All vehicles', 'Zeppelins', 'All vehicles']",Typicality,General,Vehicles,['Buses'],All vehicles,['Zeppelins'],All vehicles,1.3333333333333333,,9.430555555555555,7.05,False,False,False
64,"['Buses', 'Boats', 'All vehicles', 'Buses', 'Boats', 'Levels', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Buses', 'Boats']",All vehicles,"['Buses', 'Boats', 'Levels']",All vehicles,1.3333333333333333,,,,False,False,True
65,"['Buses', 'Skateboards', 'All vehicles', 'Buses', 'Caravans', 'All vehicles']",Diversity (General),General,Vehicles,"['Buses', 'Skateboards']",All vehicles,"['Buses', 'Caravans']",All vehicles,3.4,,10.375,10.044444444444444,False,False,False
66,"['Buses', 'Skateboards', 'All vehicles', 'Buses', 'Trams', 'All vehicles']",Diversity (General),General,Vehicles,"['Buses', 'Skateboards']",All vehicles,"['Buses', 'Trams']",All vehicles,3.6,,10.375,9.880555555555556,False,False,False
67,"['Buses', 'Tractors', 'Tractors', 'Buses']",Asymmetry,Specific,Vehicles,['Buses'],Tractors,['Tractors'],Buses,2.1,,9.181944444444444,8.363888888888889,False,False,True
68,"['Camels', 'Llamas', 'Hedgehogs', 'Llamas']",Similarity,Specific,Mammals,['Camels'],Llamas,['Hedgehogs'],Llamas,1.4444444444444444,,10.584429824561404,6.400219298245614,False,False,False
69,"['Camels', 'Rhinos', 'All mammals', 'Camels', 'Rhinos', 'Frogs', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Camels', 'Rhinos']",All mammals,"['Camels', 'Rhinos', 'Frogs']",All mammals,1.2222222222222223,,,,False,False,False
70,"['Camels', 'Squirrels', 'All mammals', 'Camels', 'Squirrels', 'All animals']",Specificity,General,Mammals,"['Camels', 'Squirrels']",All mammals,"['Camels', 'Squirrels']",All animals,1.2,,,,False,False,True
71,"['Camels', 'Tigers', 'Beavers', 'All mammals', 'Camels', 'Tigers', 'All mammals']",Monotonicity (General),General,Mammals,"['Camels', 'Tigers', 'Beavers']",All mammals,"['Camels', 'Tigers']",All mammals,1.2222222222222223,,11.18640350877193,10.050438596491228,False,False,False
72,"['Camels', 'Zebras', 'Hedgehogs', 'All mammals', 'Camels', 'Zebras', 'All mammals']",Monotonicity (General),General,Mammals,"['Camels', 'Zebras', 'Hedgehogs']",All mammals,"['Camels', 'Zebras']",All mammals,1.4444444444444444,,11.008771929824562,9.763157894736842,False,False,False
73,"['Canaries', 'All birds', 'Canaries', 'Chickens']",Inclusion Fallacy,General,Birds,['Canaries'],All birds,['Canaries'],Chickens,2.9,,8.801470588235295,8.801470588235295,False,False,False
74,"['Canaries', 'All birds', 'Canaries', 'Ducks']",Inclusion Fallacy,General,Birds,['Canaries'],All birds,['Canaries'],Ducks,2.5,,8.801470588235295,8.801470588235295,False,False,True
75,"['Canaries', 'All birds', 'Canaries', 'Swans']",Inclusion Fallacy,General,Birds,['Canaries'],All birds,['Canaries'],Swans,2.333333333333333,,8.801470588235295,8.801470588235295,False,False,True
76,"['Canaries', 'Blackbirds', 'Herons', 'Blackbirds']",Similarity,Specific,Birds,['Canaries'],Blackbirds,['Herons'],Blackbirds,2.7,,9.930147058823527,8.261029411764707,False,False,False
77,"['Canaries', 'Crows', 'Canaries', 'Mosquitoes', 'Crows']",Nonmonotonicity (Specific),Mixed,Birds,['Canaries'],Crows,"['Canaries', 'Mosquitoes']",Crows,2.6,,,,False,False,True
78,"['Canaries', 'Ducks', 'Turkeys', 'All birds', 'Canaries', 'Ducks', 'All birds']",Monotonicity (General),General,Birds,"['Canaries', 'Ducks', 'Turkeys']",All birds,"['Canaries', 'Ducks']",All birds,0.8888888888888888,,11.78921568627451,10.754901960784313,False,False,True
79,"['Canaries', 'Eagles', 'All birds', 'Canaries', 'Parrots', 'All birds']",Diversity (General),General,Birds,"['Canaries', 'Eagles']",All birds,"['Canaries', 'Parrots']",All birds,2.25,,10.779411764705884,10.095588235294118,False,False,True
80,"['Canaries', 'Magpies', 'All birds', 'Canaries', 'Magpies', 'Ladybugs', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Canaries', 'Magpies']",All birds,"['Canaries', 'Magpies', 'Ladybugs']",All birds,1.6666666666666667,,,,False,False,True
81,"['Canaries', 'Ostriches', 'All birds', 'Canaries', 'Parrots', 'All birds']",Diversity (General),General,Birds,"['Canaries', 'Ostriches']",All birds,"['Canaries', 'Parrots']",All birds,1.7,,10.47549019607843,10.095588235294118,False,False,True
82,"['Canaries', 'Storks', 'All birds', 'Canaries', 'Parrots', 'All birds']",Diversity (General),General,Birds,"['Canaries', 'Storks']",All birds,"['Canaries', 'Parrots']",All birds,2.7,,11.019607843137257,10.095588235294118,False,False,False
83,"['Canaries', 'Storks', 'Peacocks', 'All birds', 'Canaries', 'Storks', 'All birds']",Monotonicity (General),General,Birds,"['Canaries', 'Storks', 'Peacocks']",All birds,"['Canaries', 'Storks']",All birds,0.8,,11.919117647058824,11.019607843137257,False,False,True
84,"['Canaries', 'Turkeys', 'Turkeys', 'Canaries']",Asymmetry,Specific,Birds,['Canaries'],Turkeys,['Turkeys'],Canaries,2.2222222222222223,,8.136029411764707,8.545343137254902,False,False,True
85,"['Caravans', 'Airplanes', 'Buses', 'Caravans', 'Carriages', 'Buses']",Diversity (Specific),Specific,Vehicles,"['Caravans', 'Airplanes']",Buses,"['Caravans', 'Carriages']",Buses,2.5,,10.330555555555556,10.195833333333333,False,False,True
86,"['Caravans', 'Airplanes', 'Rockets', 'Jeeps', 'Caravans', 'Airplanes', 'Jeeps']",Monotonicity (Specific),Specific,Vehicles,"['Caravans', 'Airplanes', 'Rockets']",Jeeps,"['Caravans', 'Airplanes']",Jeeps,2.555555555555556,,9.28888888888889,9.09722222222222,False,False,False
87,"['Caravans', 'Bicycles', 'All vehicles', 'Caravans', 'Bicycles', 'All things']",Specificity,General,Vehicles,"['Caravans', 'Bicycles']",All vehicles,"['Caravans', 'Bicycles']",All things,0.9,,,,False,False,True
88,"['Caravans', 'Bicycles', 'Rockets', 'All vehicles', 'Caravans', 'Bicycles', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Caravans', 'Bicycles', 'Rockets']",All vehicles,"['Caravans', 'Bicycles']",All vehicles,2.111111111111111,,10.761111111111113,9.616666666666664,False,False,False
89,"['Caravans', 'Bicycles', 'Skateboards', 'Trucks', 'Caravans', 'Bicycles', 'Trucks']",Monotonicity (Specific),Specific,Vehicles,"['Caravans', 'Bicycles', 'Skateboards']",Trucks,"['Caravans', 'Bicycles']",Trucks,3.111111111111111,,10.85,10.508333333333333,False,False,True
90,"['Caravans', 'Cars', 'Rockets', 'Cars']",Similarity,Specific,Vehicles,['Caravans'],Cars,['Rockets'],Cars,1.5555555555555556,,8.980555555555554,5.727777777777778,False,False,True
91,"['Caravans', 'Rockets', 'All vehicles', 'Caravans', 'Rockets', 'Wheelbarrows', 'All vehicles']",Nonmonotonicity (General),Mixed,Vehicles,"['Caravans', 'Rockets']",All vehicles,"['Caravans', 'Rockets', 'Wheelbarrows']",All vehicles,3.6666666666666665,,,,False,False,True
92,"['Caravans', 'Skateboards', 'Airplanes', 'Caravans', 'Carts', 'Airplanes']",Diversity (Specific),Specific,Vehicles,"['Caravans', 'Skateboards']",Airplanes,"['Caravans', 'Carts']",Airplanes,2.6666666666666665,,7.237500000000001,7.343055555555557,False,False,False
93,"['Caravans', 'Skateboards', 'All vehicles', 'Caravans', 'Carts', 'All vehicles']",Diversity (General),General,Vehicles,"['Caravans', 'Skateboards']",All vehicles,"['Caravans', 'Carts']",All vehicles,3.2222222222222223,,9.208333333333334,9.419444444444446,False,False,True
94,"['Caravans', 'Tractors', 'Carts', 'All vehicles', 'Caravans', 'Tractors', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Caravans', 'Tractors', 'Carts']",All vehicles,"['Caravans', 'Tractors']",All vehicles,1.3333333333333333,,10.066666666666666,9.02777777777778,False,False,False
95,"['Caravans', 'Trams', 'Submarines', 'Sleds', 'Caravans', 'Trams', 'Sleds']",Monotonicity (Specific),Specific,Vehicles,"['Caravans', 'Trams', 'Submarines']",Sleds,"['Caravans', 'Trams']",Sleds,2.4,,8.616666666666665,8.056944444444444,False,False,True
96,"['Caravans', 'Vans', 'Caravans', 'Ploughs', 'Vans']",Nonmonotonicity (Specific),Mixed,Vehicles,['Caravans'],Vans,"['Caravans', 'Ploughs']",Vans,2.111111111111111,,,,False,False,True
97,"['Carriages', 'Caravans', 'Skateboards', 'Caravans']",Similarity,Specific,Vehicles,['Carriages'],Caravans,['Skateboards'],Caravans,1.5,,9.427777777777775,5.811111111111111,False,False,False
98,"['Carriages', 'Cars', 'Carriages', 'Planes', 'Cars']",Nonmonotonicity (Specific),Mixed,Vehicles,['Carriages'],Cars,"['Carriages', 'Planes']",Cars,1.375,,,,False,False,False
99,"['Carriages', 'Carts', 'Submarines', 'All vehicles', 'Carriages', 'Carts', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Carriages', 'Carts', 'Submarines']",All vehicles,"['Carriages', 'Carts']",All vehicles,1.5555555555555556,,10.39722222222222,9.063888888888888,False,False,True
100,"['Carriages', 'Rockets', 'All vehicles', 'Carriages', 'Carts', 'All vehicles']",Diversity (General),General,Vehicles,"['Carriages', 'Rockets']",All vehicles,"['Carriages', 'Carts']",All vehicles,3.0,,9.98611111111111,9.063888888888888,False,False,True
101,"['Carriages', 'Rockets', 'Boats', 'Carriages', 'Sleds', 'Boats']",Diversity (Specific),Specific,Vehicles,"['Carriages', 'Rockets']",Boats,"['Carriages', 'Sleds']",Boats,3.4444444444444446,,8.593055555555555,8.261111111111111,False,False,False
102,"['Carriages', 'Submarines', 'All vehicles', 'Carriages', 'Sleds', 'All vehicles']",Diversity (General),General,Vehicles,"['Carriages', 'Submarines']",All vehicles,"['Carriages', 'Sleds']",All vehicles,2.5,,10.066666666666666,9.322222222222225,False,False,True
103,"['Carriages', 'Submarines', 'Buses', 'Carriages', 'Sleds', 'Buses']",Diversity (Specific),Specific,Vehicles,"['Carriages', 'Submarines']",Buses,"['Carriages', 'Sleds']",Buses,2.25,,9.6,9.227777777777778,False,False,True
104,"['Carriages', 'Taxis', 'Carriages', 'Screwdrivers', 'Taxis']",Nonmonotonicity (Specific),Mixed,Vehicles,['Carriages'],Taxis,"['Carriages', 'Screwdrivers']",Taxis,1.2,,,,False,False,False
105,"['Carriages', 'Taxis', 'Submarines', 'Taxis']",Similarity,Specific,Vehicles,['Carriages'],Taxis,['Submarines'],Taxis,0.8888888888888888,,9.794444444444444,5.833333333333332,False,False,False
106,"['Carriages', 'Trams', 'Rockets', 'Carts', 'Carriages', 'Trams', 'Carts']",Monotonicity (Specific),Specific,Vehicles,"['Carriages', 'Trams', 'Rockets']",Carts,"['Carriages', 'Trams']",Carts,3.0,,12.991666666666667,12.42361111111111,False,False,True
107,"['Carriages', 'Zeppelins', 'Sleds', 'All vehicles', 'Carriages', 'Zeppelins', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Carriages', 'Zeppelins', 'Sleds']",All vehicles,"['Carriages', 'Zeppelins']",All vehicles,1.625,,10.855555555555554,10.280555555555557,False,False,False
108,"['Cars', 'Airplanes', 'All vehicles', 'Cars', 'Airplanes', 'All things']",Specificity,General,Vehicles,"['Cars', 'Airplanes']",All vehicles,"['Cars', 'Airplanes']",All things,0.375,,,,False,False,False
109,"['Cars', 'All vehicles', 'Cars', 'Carriages']",Inclusion Fallacy,General,Vehicles,['Cars'],All vehicles,['Cars'],Carriages,1.7777777777777777,,9.708333333333334,9.708333333333334,False,False,False
110,"['Cars', 'All vehicles', 'Cars', 'Skateboards']",Inclusion Fallacy,General,Vehicles,['Cars'],All vehicles,['Cars'],Skateboards,1.9,,9.708333333333334,9.708333333333334,False,False,False
111,"['Cars', 'All vehicles', 'Cars', 'Sleds']",Inclusion Fallacy,General,Vehicles,['Cars'],All vehicles,['Cars'],Sleds,1.0,,9.708333333333334,9.708333333333334,False,False,True
112,"['Cars', 'All vehicles', 'Cars', 'Submarines']",Inclusion Fallacy,General,Vehicles,['Cars'],All vehicles,['Cars'],Submarines,2.0,,9.708333333333334,9.708333333333334,False,False,False
