,argument,domain,conclusion_type,is_single_premise,is_control,premises,conclusion,average_rating,average_ranking,num_ratings
71,"(('Boats',), 'Carts')",Vehicles,Specific,True,False,"('Boats',)",Carts,29.8,0.27037037037037037,10
72,"(('Boats',), 'Hovercraft')",Vehicles,Specific,True,False,"('Boats',)",Hovercraft,53.2,0.5648148148148147,10
73,"(('Boats',), 'Mopeds')",Vehicles,Specific,True,False,"('Boats',)",Mopeds,31.6,0.2833333333333333,20
74,"(('Boats',), 'Skateboards')",Vehicles,Specific,True,False,"('Boats',)",Skateboards,29.333333333333332,0.2788065843621399,18
75,"(('Boats',), 'Tractors')",Vehicles,Specific,True,False,"('Boats',)",Tractors,33.22222222222222,0.3055555555555556,18
76,"(('Boats',), 'Trams')",Vehicles,Specific,True,False,"('Boats',)",Trams,42.2,0.4777777777777777,10
77,"(('Boats',), 'Vans')",Vehicles,Specific,True,False,"('Boats',)",Vans,40.2,0.39999999999999997,10
78,"(('Boats', 'Bicycles'), 'Buses')",Vehicles,Specific,False,False,"('Boats', 'Bicycles')",Buses,39.9,0.3727272727272727,10
79,"(('Boats', 'Hovercraft'), 'All vehicles')",Vehicles,General,False,False,"('Boats', 'Hovercraft')",All vehicles,26.666666666666668,0.3333333333333333,6
80,"(('Boats', 'Jeeps'), 'Cars')",Vehicles,Specific,False,False,"('Boats', 'Jeeps')",Cars,68.28571428571429,0.7077922077922078,7
81,"(('Boats', 'Skateboards'), 'Mopeds')",Vehicles,Specific,False,False,"('Boats', 'Skateboards')",Mopeds,66.4,0.4954545454545454,10
82,"(('Boats', 'Submarines'), 'Vans')",Vehicles,Specific,False,False,"('Boats', 'Submarines')",Vans,34.2,0.2818181818181818,10
83,"(('Boats', 'Trams'), 'All vehicles')",Vehicles,General,False,False,"('Boats', 'Trams')",All vehicles,58.5,0.48863636363636365,4
84,"(('Boats', 'Trams'), 'Buses')",Vehicles,Specific,False,False,"('Boats', 'Trams')",Buses,61.5,0.4636363636363637,10
85,"(('Buses',), 'Airplanes')",Vehicles,Specific,True,False,"('Buses',)",Airplanes,36.142857142857146,0.4973544973544973,7
86,"(('Buses',), 'All vehicles')",Vehicles,General,True,False,"('Buses',)",All vehicles,51.484848484848484,0.6616161616161617,66
87,"(('Buses',), 'Boats')",Vehicles,Specific,True,False,"('Buses',)",Boats,46.27777777777778,0.5082304526748972,18
88,"(('Buses',), 'Carriages')",Vehicles,Specific,True,False,"('Buses',)",Carriages,43.333333333333336,0.4588477366255143,18
89,"(('Buses',), 'Cars')",Vehicles,Specific,True,False,"('Buses',)",Cars,60.3,0.6148148148148149,10
90,"(('Buses',), 'Trains')",Vehicles,Specific,True,False,"('Buses',)",Trains,63.2,0.6527777777777777,20
91,"(('Buses',), 'Vans')",Vehicles,Specific,True,False,"('Buses',)",Vans,79.4,0.837037037037037,10
92,"(('Buses',), 'Zeppelins')",Vehicles,Specific,True,False,"('Buses',)",Zeppelins,33.17857142857143,0.31216931216931215,28
93,"(('Buses', 'Cars'), 'Zeppelins')",Vehicles,Specific,False,False,"('Buses', 'Cars')",Zeppelins,28.3,0.2772727272727272,10
94,"(('Buses', 'Mopeds'), 'Cars')",Vehicles,Specific,False,False,"('Buses', 'Mopeds')",Cars,73.4,0.6409090909090909,10
95,"(('Buses', 'Rockets'), 'Airplanes')",Vehicles,Specific,False,False,"('Buses', 'Rockets')",Airplanes,48.42857142857143,0.487012987012987,7
96,"(('Buses', 'Sleds'), 'All vehicles')",Vehicles,General,False,False,"('Buses', 'Sleds')",All vehicles,62.142857142857146,0.44805194805194803,7
97,"(('Buses', 'Trucks'), 'Zeppelins')",Vehicles,Specific,False,False,"('Buses', 'Trucks')",Zeppelins,53.375,0.42613636363636365,8
98,"(('Camels',), 'All mammals')",Mammals,General,True,False,"('Camels',)",All mammals,42.293103448275865,0.38314176245210735,58
99,"(('Camels',), 'Cats')",Mammals,Specific,True,False,"('Camels',)",Cats,29.166666666666668,0.3415637860082305,18
100,"(('Camels',), 'Dogs')",Mammals,Specific,True,False,"('Camels',)",Dogs,55.7,0.5981481481481482,10
101,"(('Camels',), 'Donkeys')",Mammals,Specific,True,False,"('Camels',)",Donkeys,57.25,0.6643518518518519,8
102,"(('Camels',), 'Elephants')",Mammals,Specific,True,False,"('Camels',)",Elephants,57.55555555555556,0.6358024691358025,9
103,"(('Camels',), 'Hedgehogs')",Mammals,Specific,True,False,"('Camels',)",Hedgehogs,20.625,0.24305555555555552,8
104,"(('Camels',), 'Llamas')",Mammals,Specific,True,False,"('Camels',)",Llamas,72.57894736842105,0.770955165692008,19
105,"(('Camels',), 'Mice')",Mammals,Specific,True,False,"('Camels',)",Mice,37.111111111111114,0.2880658436213992,9
106,"(('Camels',), 'Tigers')",Mammals,Specific,True,False,"('Camels',)",Tigers,42.25,0.45138888888888895,8
107,"(('Camels', 'Beavers'), 'Donkeys')",Mammals,Specific,False,False,"('Camels', 'Beavers')",Donkeys,59.375,0.5852272727272727,8
108,"(('Camels', 'Beavers'), 'Elephants')",Mammals,Specific,False,False,"('Camels', 'Beavers')",Elephants,55.333333333333336,0.46464646464646464,9
109,"(('Camels', 'Cows'), 'All mammals')",Mammals,General,False,False,"('Camels', 'Cows')",All mammals,59.0,0.5,4
110,"(('Camels', 'Donkeys'), 'All mammals')",Mammals,General,False,False,"('Camels', 'Donkeys')",All mammals,67.125,0.6193181818181819,8
111,"(('Camels', 'Giraffes'), 'All mammals')",Mammals,General,False,False,"('Camels', 'Giraffes')",All mammals,63.6,0.3454545454545454,5
112,"(('Camels', 'Giraffes'), 'Cats')",Mammals,Specific,False,False,"('Camels', 'Giraffes')",Cats,36.8,0.3045454545454545,10
113,"(('Camels', 'Horses'), 'Cats')",Mammals,Specific,False,False,"('Camels', 'Horses')",Cats,37.125,0.27272727272727276,8
114,"(('Camels', 'Wolves'), 'Dogs')",Mammals,Specific,False,False,"('Camels', 'Wolves')",Dogs,74.3,0.7545454545454546,10
115,"(('Camels', 'Wolves'), 'Llamas')",Mammals,Specific,False,False,"('Camels', 'Wolves')",Llamas,57.6,0.5909090909090909,10
116,"(('Canaries',), 'All birds')",Birds,General,True,False,"('Canaries',)",All birds,50.0,0.5347578347578347,65
117,"(('Canaries',), 'Eagles')",Birds,Specific,True,False,"('Canaries',)",Eagles,45.611111111111114,0.4619341563786009,18
118,"(('Canaries',), 'Falcons')",Birds,Specific,True,False,"('Canaries',)",Falcons,36.5,0.34722222222222227,8
119,"(('Canaries',), 'Ostriches')",Birds,Specific,True,False,"('Canaries',)",Ostriches,41.714285714285715,0.43121693121693117,7
120,"(('Canaries',), 'Pelicans')",Birds,Specific,True,False,"('Canaries',)",Pelicans,47.25,0.47453703703703703,8
121,"(('Canaries',), 'Storks')",Birds,Specific,True,False,"('Canaries',)",Storks,45.6,0.3622222222222222,25
122,"(('Canaries',), 'Swans')",Birds,Specific,True,False,"('Canaries',)",Swans,30.5,0.2708333333333333,8
123,"(('Canaries', 'Blackbirds'), 'All birds')",Birds,General,False,False,"('Canaries', 'Blackbirds')",All birds,57.25,0.5568181818181819,4
124,"(('Canaries', 'Blackbirds'), 'Ostriches')",Birds,Specific,False,False,"('Canaries', 'Blackbirds')",Ostriches,35.42857142857143,0.2077922077922078,7
125,"(('Canaries', 'Chickens'), 'Storks')",Birds,Specific,False,False,"('Canaries', 'Chickens')",Storks,57.0,0.6022727272727272,8
126,"(('Canaries', 'Robins'), 'All birds')",Birds,General,False,False,"('Canaries', 'Robins')",All birds,60.8,0.6272727272727272,5
127,"(('Canaries', 'Robins'), 'Falcons')",Birds,Specific,False,False,"('Canaries', 'Robins')",Falcons,46.375,0.43181818181818177,8
128,"(('Canaries', 'Seagulls'), 'Storks')",Birds,Specific,False,False,"('Canaries', 'Seagulls')",Storks,60.888888888888886,0.5303030303030303,9
129,"(('Canaries', 'Sparrows'), 'Pelicans')",Birds,Specific,False,False,"('Canaries', 'Sparrows')",Pelicans,49.625,0.5397727272727273,8
130,"(('Caravans',), 'All vehicles')",Vehicles,General,True,False,"('Caravans',)",All vehicles,39.90909090909091,0.5165544332211,66
131,"(('Caravans',), 'Jeeps')",Vehicles,Specific,True,False,"('Caravans',)",Jeeps,50.8,0.55,10
132,"(('Caravans',), 'Skateboards')",Vehicles,Specific,True,False,"('Caravans',)",Skateboards,30.25925925925926,0.33539094650205753,27
133,"(('Caravans', 'Boats'), 'Skateboards')",Vehicles,Specific,False,False,"('Caravans', 'Boats')",Skateboards,30.7,0.3318181818181818,10
134,"(('Caravans', 'Sleds'), 'All vehicles')",Vehicles,General,False,False,"('Caravans', 'Sleds')",All vehicles,50.333333333333336,0.44696969696969696,6
135,"(('Carriages',), 'Airplanes')",Vehicles,Specific,True,False,"('Carriages',)",Airplanes,33.9,0.3055555555555556,10
136,"(('Carriages',), 'All vehicles')",Vehicles,General,True,False,"('Carriages',)",All vehicles,36.833333333333336,0.44360269360269355,66
137,"(('Carriages',), 'Bicycles')",Vehicles,Specific,True,False,"('Carriages',)",Bicycles,56.57142857142857,0.656084656084656,7
138,"(('Carriages',), 'Boats')",Vehicles,Specific,True,False,"('Carriages',)",Boats,28.875,0.2407407407407407,8
139,"(('Carriages',), 'Caravans')",Vehicles,Specific,True,False,"('Carriages',)",Caravans,53.77777777777778,0.6080246913580246,18
140,"(('Carriages',), 'Carts')",Vehicles,Specific,True,False,"('Carriages',)",Carts,63.125,0.6319444444444444,8
141,"(('Carriages',), 'Jeeps')",Vehicles,Specific,True,False,"('Carriages',)",Jeeps,48.53333333333333,0.5098765432098765,15
142,"(('Carriages',), 'Motorbikes')",Vehicles,Specific,True,False,"('Carriages',)",Motorbikes,39.857142857142854,0.39947089947089953,7
143,"(('Carriages',), 'Rockets')",Vehicles,Specific,True,False,"('Carriages',)",Rockets,24.0,0.26111111111111107,10
144,"(('Carriages',), 'Submarines')",Vehicles,Specific,True,False,"('Carriages',)",Submarines,31.1,0.18703703703703703,10
145,"(('Carriages',), 'Tractors')",Vehicles,Specific,True,False,"('Carriages',)",Tractors,43.1,0.5296296296296297,10
146,"(('Carriages', 'Boats'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Boats')",All vehicles,35.833333333333336,0.4166666666666667,6
147,"(('Carriages', 'Buses'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Buses')",All vehicles,44.0,0.4636363636363637,5
148,"(('Carriages', 'Cars'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Cars')",All vehicles,65.57142857142857,0.525974025974026,7
149,"(('Carriages', 'Hovercraft'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Hovercraft')",All vehicles,68.14285714285714,0.564935064935065,7
150,"(('Carriages', 'Hovercraft'), 'Boats')",Vehicles,Specific,False,False,"('Carriages', 'Hovercraft')",Boats,61.0,0.5227272727272727,8
151,"(('Carriages', 'Mopeds'), 'Motorbikes')",Vehicles,Specific,False,False,"('Carriages', 'Mopeds')",Motorbikes,67.42857142857143,0.7077922077922078,7
152,"(('Carriages', 'Motorbikes'), 'Rockets')",Vehicles,Specific,False,False,"('Carriages', 'Motorbikes')",Rockets,32.6,0.20454545454545453,10
153,"(('Carriages', 'Rockets'), 'Bicycles')",Vehicles,Specific,False,False,"('Carriages', 'Rockets')",Bicycles,34.285714285714285,0.422077922077922,7
154,"(('Carriages', 'Skateboards'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Skateboards')",All vehicles,40.875,0.3011363636363636,8
155,"(('Carriages', 'Sleds'), 'Tractors')",Vehicles,Specific,False,False,"('Carriages', 'Sleds')",Tractors,47.9,0.5045454545454545,10
156,"(('Carriages', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,False,"('Carriages', 'Zeppelins')",All vehicles,56.5,0.5151515151515151,6
157,"(('Carriages', 'Zeppelins'), 'Caravans')",Vehicles,Specific,False,False,"('Carriages', 'Zeppelins')",Caravans,57.625,0.47159090909090906,8
158,"(('Cars',), 'All vehicles')",Vehicles,General,True,False,"('Cars',)",All vehicles,59.89393939393939,0.7533670033670032,66
159,"(('Cars',), 'Caravans')",Vehicles,Specific,True,False,"('Cars',)",Caravans,47.142857142857146,0.6190476190476192,7
160,"(('Cars',), 'Carriages')",Vehicles,Specific,True,False,"('Cars',)",Carriages,66.7,0.662962962962963,10
161,"(('Cars',), 'Jeeps')",Vehicles,Specific,True,False,"('Cars',)",Jeeps,78.5,0.7644032921810698,18
162,"(('Cars',), 'Motorbikes')",Vehicles,Specific,True,False,"('Cars',)",Motorbikes,57.3,0.5962962962962963,10
163,"(('Cars',), 'Sleds')",Vehicles,Specific,True,False,"('Cars',)",Sleds,30.176470588235293,0.3082788671023965,17
164,"(('Cars',), 'Taxis')",Vehicles,Specific,True,False,"('Cars',)",Taxis,85.5,0.8775720164609054,18
165,"(('Cars',), 'Zeppelins')",Vehicles,Specific,True,False,"('Cars',)",Zeppelins,33.8,0.35370370370370374,10
166,"(('Cars', 'Airplanes'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Airplanes')",All vehicles,62.5,0.6875,8
167,"(('Cars', 'Bicycles'), 'Carriages')",Vehicles,Specific,False,False,"('Cars', 'Bicycles')",Carriages,67.2,0.5454545454545455,10
168,"(('Cars', 'Boats'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Boats')",All vehicles,72.2,0.7,5
169,"(('Cars', 'Buses'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Buses')",All vehicles,76.25,0.625,4
170,"(('Cars', 'Caravans'), 'Jeeps')",Vehicles,Specific,False,False,"('Cars', 'Caravans')",Jeeps,75.9,0.7136363636363636,10
171,"(('Cars', 'Helicopters'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Helicopters')",All vehicles,47.25,0.5852272727272727,8
172,"(('Cars', 'Motorbikes'), 'Jeeps')",Vehicles,Specific,False,False,"('Cars', 'Motorbikes')",Jeeps,87.375,0.9659090909090909,8
173,"(('Cars', 'Rockets'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Rockets')",All vehicles,46.333333333333336,0.5757575757575758,6
174,"(('Cars', 'Taxis'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Taxis')",All vehicles,63.0,0.7272727272727272,6
175,"(('Cars', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,False,"('Cars', 'Zeppelins')",All vehicles,70.75,0.6988636363636364,8
176,"(('Carts',), 'All vehicles')",Vehicles,General,True,False,"('Carts',)",All vehicles,38.81818181818182,0.45763187429854085,66
177,"(('Carts',), 'Caravans')",Vehicles,Specific,True,False,"('Carts',)",Caravans,47.48148148148148,0.5397805212620026,27
178,"(('Carts',), 'Carriages')",Vehicles,Specific,True,False,"('Carts',)",Carriages,68.3,0.7379629629629629,20
179,"(('Carts',), 'Helicopters')",Vehicles,Specific,True,False,"('Carts',)",Helicopters,29.444444444444443,0.2438271604938272,18
180,"(('Carts',), 'Jeeps')",Vehicles,Specific,True,False,"('Carts',)",Jeeps,38.3,0.4481481481481481,10
181,"(('Carts',), 'Sleds')",Vehicles,Specific,True,False,"('Carts',)",Sleds,42.833333333333336,0.4763374485596708,18
182,"(('Carts', 'Airplanes'), 'Helicopters')",Vehicles,Specific,False,False,"('Carts', 'Airplanes')",Helicopters,74.0,0.6590909090909092,8
183,"(('Carts', 'Cars'), 'Caravans')",Vehicles,Specific,False,False,"('Carts', 'Cars')",Caravans,61.285714285714285,0.6753246753246752,7
184,"(('Carts', 'Mopeds'), 'Jeeps')",Vehicles,Specific,False,False,"('Carts', 'Mopeds')",Jeeps,63.3,0.5136363636363637,10
185,"(('Carts', 'Motorbikes'), 'Carriages')",Vehicles,Specific,False,False,"('Carts', 'Motorbikes')",Carriages,69.3,0.6681818181818182,10
186,"(('Carts', 'Skateboards'), 'All vehicles')",Vehicles,General,False,False,"('Carts', 'Skateboards')",All vehicles,40.25,0.3579545454545454,8
187,"(('Carts', 'Sleds'), 'All vehicles')",Vehicles,General,False,False,"('Carts', 'Sleds')",All vehicles,53.0,0.3116883116883117,7
188,"(('Carts', 'Submarines'), 'Sleds')",Vehicles,Specific,False,False,"('Carts', 'Submarines')",Sleds,41.0,0.3045454545454545,10
189,"(('Carts', 'Vans'), 'Carriages')",Vehicles,Specific,False,False,"('Carts', 'Vans')",Carriages,68.1,0.7181818181818183,10
190,"(('Carts', 'Zeppelins'), 'Sleds')",Vehicles,Specific,False,False,"('Carts', 'Zeppelins')",Sleds,58.0,0.43749999999999994,8
191,"(('Cats',), 'All mammals')",Mammals,General,True,False,"('Cats',)",All mammals,47.793103448275865,0.5715197956577264,58
192,"(('Cats',), 'Cows')",Mammals,Specific,True,False,"('Cats',)",Cows,43.611111111111114,0.4053497942386832,18
193,"(('Cats',), 'Lions')",Mammals,Specific,True,False,"('Cats',)",Lions,74.0,0.7160493827160495,9
194,"(('Cats',), 'Llamas')",Mammals,Specific,True,False,"('Cats',)",Llamas,41.8,0.28703703703703703,10
195,"(('Cats',), 'Rabbits')",Mammals,Specific,True,False,"('Cats',)",Rabbits,64.25,0.6365740740740742,8
196,"(('Cats',), 'Squirrels')",Mammals,Specific,True,False,"('Cats',)",Squirrels,36.1,0.5037037037037037,10
197,"(('Cats',), 'Tigers')",Mammals,Specific,True,False,"('Cats',)",Tigers,76.11111111111111,0.7921810699588477,9
198,"(('Cats', 'Cows'), 'All mammals')",Mammals,General,False,False,"('Cats', 'Cows')",All mammals,54.4,0.5636363636363636,5
199,"(('Cats', 'Donkeys'), 'All mammals')",Mammals,General,False,False,"('Cats', 'Donkeys')",All mammals,75.2,0.5636363636363636,5
200,"(('Cats', 'Foxes'), 'Cows')",Mammals,Specific,False,False,"('Cats', 'Foxes')",Cows,43.0,0.3465909090909091,8
