,uid,tid,trialId,premises0,conclusion0,conclusionType,rating
235,68,tid_experiment2_dedeyne_participant317,tc16,All animals,All mammals,general,96
236,68,tid_experiment2_dedeyne_participant317,tc17,Lions,All mammals,general,63
237,68,tid_experiment2_dedeyne_participant317,tc18,Deer,All mammals,general,67
238,68,tid_experiment2_dedeyne_participant317,tc19,Foxes,All mammals,general,69
239,68,tid_experiment2_dedeyne_participant317,tc1,Hippos:Hedgehogs,All mammals,general,22
240,68,tid_experiment2_dedeyne_participant317,tc20,Llamas,All mammals,general,70
241,68,tid_experiment2_dedeyne_participant317,tc21,Hippos,All mammals,general,70
242,68,tid_experiment2_dedeyne_participant317,tc22,Donkeys,All mammals,general,63
243,68,tid_experiment2_dedeyne_participant317,tc23,Cows,All mammals,general,69
244,68,tid_experiment2_dedeyne_participant317,tc24,All living things,All mammals,general,100
245,68,tid_experiment2_dedeyne_participant317,tc25,Camels,All mammals,general,69
246,68,tid_experiment2_dedeyne_participant317,tc26,Rabbits,All mammals,general,70
247,68,tid_experiment2_dedeyne_participant317,tc27,Elephants,All mammals,general,70
248,68,tid_experiment2_dedeyne_participant317,tc28,Rhinos,All mammals,general,73
249,68,tid_experiment2_dedeyne_participant317,tc29,Sheep,All mammals,general,70
250,68,tid_experiment2_dedeyne_participant317,tc2,Wolves:Llamas,All mammals,general,44
251,68,tid_experiment2_dedeyne_participant317,tc30,Hamsters,All mammals,general,73
252,68,tid_experiment2_dedeyne_participant317,tc31,Squirrels,All mammals,general,72
253,68,tid_experiment2_dedeyne_participant317,tc32,All plants and animals,All mammals,general,71
254,68,tid_experiment2_dedeyne_participant317,tc33,Zebras,All mammals,general,71
255,68,tid_experiment2_dedeyne_participant317,tc34,Wolves,All mammals,general,71
256,68,tid_experiment2_dedeyne_participant317,tc35,Beavers,All mammals,general,77
257,68,tid_experiment2_dedeyne_participant317,tc36,Horses,All mammals,general,75
258,68,tid_experiment2_dedeyne_participant317,tc37,Giraffes,All mammals,general,68
259,68,tid_experiment2_dedeyne_participant317,tc3,Horses:Cats,All mammals,general,58
260,68,tid_experiment2_dedeyne_participant317,tc4,Horses:Cows,All mammals,general,58
261,68,tid_experiment2_dedeyne_participant317,tc5,Cows:Giraffes,All mammals,general,61
262,68,tid_experiment2_dedeyne_participant317,tc6,Camels:Cows,All mammals,general,67
263,68,tid_experiment2_dedeyne_participant317,tc7,Hamsters:Squirrels,All mammals,general,64
264,68,tid_experiment2_dedeyne_participant317,tc8,All animals:All organisms,All mammals,general,99
265,68,tid_experiment2_dedeyne_participant317,tc9,Rabbits:Llamas,All mammals,general,83
266,513,tid_experiment2_dedeyne_participant159,tc0,Herons,Storks,specific,73
267,513,tid_experiment2_dedeyne_participant159,tc10,Ducks,Chickens,specific,75
268,513,tid_experiment2_dedeyne_participant159,tc11,Herons,Doves,specific,61
269,513,tid_experiment2_dedeyne_participant159,tc12,Pelicans,Herons,specific,86
270,513,tid_experiment2_dedeyne_participant159,tc13,Seagulls,Roosters,specific,55
271,513,tid_experiment2_dedeyne_participant159,tc14,Ostriches,Robins,specific,67
272,513,tid_experiment2_dedeyne_participant159,tc15,Swallows,Chickens,specific,76
273,513,tid_experiment2_dedeyne_participant159,tc16,Hawks,Falcons,specific,59
274,513,tid_experiment2_dedeyne_participant159,tc17,Sparrows,Herons,specific,63
275,513,tid_experiment2_dedeyne_participant159,tc18,Magpies,Storks,specific,74
276,513,tid_experiment2_dedeyne_participant159,tc19,Magpies,Blackbirds,specific,55
277,513,tid_experiment2_dedeyne_participant159,tc1,Swans,Ducks,specific,86
278,513,tid_experiment2_dedeyne_participant159,tc20,Woodpeckers,Sparrows,specific,78
279,513,tid_experiment2_dedeyne_participant159,tc21,Woodpeckers,Storks,specific,57
280,513,tid_experiment2_dedeyne_participant159,tc22,Blackbirds,Seagulls,specific,68
281,513,tid_experiment2_dedeyne_participant159,tc23,Turkeys,Parrots,specific,76
282,513,tid_experiment2_dedeyne_participant159,tc24,Pigeons,Doves,specific,56
283,513,tid_experiment2_dedeyne_participant159,tc25,Pelicans,Doves,specific,65
284,513,tid_experiment2_dedeyne_participant159,tc26,Storks,Robins,specific,77
285,513,tid_experiment2_dedeyne_participant159,tc27,Ostriches:Storks,Robins,specific,61
286,513,tid_experiment2_dedeyne_participant159,tc28,Herons:Magpies,Storks,specific,60
287,513,tid_experiment2_dedeyne_participant159,tc29,Pelicans:Herons,Doves,specific,75
288,513,tid_experiment2_dedeyne_participant159,tc2,Vultures,Storks,specific,59
289,513,tid_experiment2_dedeyne_participant159,tc30,Swans:Magpies,Blackbirds,specific,60
290,513,tid_experiment2_dedeyne_participant159,tc31,Sparrows:Robins,Herons,specific,74
291,513,tid_experiment2_dedeyne_participant159,tc32,Hawks:Eagles,Falcons,specific,63
292,513,tid_experiment2_dedeyne_participant159,tc33,Swans:Magpies,Ducks,specific,69
293,513,tid_experiment2_dedeyne_participant159,tc34,Pelicans:Falcons,Herons,specific,61
294,513,tid_experiment2_dedeyne_participant159,tc35,Blackbirds:Ducks,Seagulls,specific,66
295,513,tid_experiment2_dedeyne_participant159,tc36,Vultures:Woodpeckers,Storks,specific,75
296,513,tid_experiment2_dedeyne_participant159,tc37,Ducks:Swallows,Chickens,specific,56
297,513,tid_experiment2_dedeyne_participant159,tc3,Ducks,Seagulls,specific,72
298,513,tid_experiment2_dedeyne_participant159,tc4,Falcons,Herons,specific,61
299,513,tid_experiment2_dedeyne_participant159,tc5,Swans,Blackbirds,specific,79
300,513,tid_experiment2_dedeyne_participant159,tc6,Robins,Herons,specific,58
301,513,tid_experiment2_dedeyne_participant159,tc7,Magpies,Ducks,specific,76
302,513,tid_experiment2_dedeyne_participant159,tc8,Crows,Ravens,specific,97
303,513,tid_experiment2_dedeyne_participant159,tc9,Swallows,Seagulls,specific,62
304,244,tid_experiment2_dedeyne_participant594,tc0,Tigers:Llamas,Cats,specific,50
305,244,tid_experiment2_dedeyne_participant594,tc10,Hamsters:Camels,Hedgehogs,specific,60
306,244,tid_experiment2_dedeyne_participant594,tc11,Mice,Giraffes,specific,19
307,244,tid_experiment2_dedeyne_participant594,tc12,Llamas,Dogs,specific,40
308,244,tid_experiment2_dedeyne_participant594,tc13,Deer,Hedgehogs,specific,56
309,244,tid_experiment2_dedeyne_participant594,tc14,Llamas,Giraffes,specific,79
310,244,tid_experiment2_dedeyne_participant594,tc15,Beavers,Giraffes,specific,14
311,244,tid_experiment2_dedeyne_participant594,tc16,Dogs,Canines,specific,100
312,244,tid_experiment2_dedeyne_participant594,tc17,Deer,Lions,specific,22
313,244,tid_experiment2_dedeyne_participant594,tc18,Elephants,Horses,specific,33
314,244,tid_experiment2_dedeyne_participant594,tc19,Mice,Cats,specific,66
315,244,tid_experiment2_dedeyne_participant594,tc1,Deer:Wolves,Hedgehogs,specific,40
316,244,tid_experiment2_dedeyne_participant594,tc20,Donkeys,Zebras,specific,82
317,244,tid_experiment2_dedeyne_participant594,tc21,Hamsters,Hedgehogs,specific,78
318,244,tid_experiment2_dedeyne_participant594,tc22,Donkeys,Horses,specific,87
319,244,tid_experiment2_dedeyne_participant594,tc23,Tigers,Cats,specific,82
320,244,tid_experiment2_dedeyne_participant594,tc24,Cats,Felines,specific,100
321,244,tid_experiment2_dedeyne_participant594,tc25,Zebras,Lions,specific,10
322,244,tid_experiment2_dedeyne_participant594,tc26,Hippos,Tigers,specific,1
323,244,tid_experiment2_dedeyne_participant594,tc27,Llamas,Cats,specific,13
324,244,tid_experiment2_dedeyne_participant594,tc28,Zebras,Cats,specific,18
325,244,tid_experiment2_dedeyne_participant594,tc29,Squirrels,Horses,specific,8
326,244,tid_experiment2_dedeyne_participant594,tc2,Elephants:Donkeys,Horses,specific,40
327,244,tid_experiment2_dedeyne_participant594,tc30,Rabbits,Horses,specific,15
