,domain,argtype,premises,conclusion,scm,is_osherson,human_rating
29,Birds,General,"('Robins', 'Swans')",Birds,10.948529411764705,0.0,
97,Birds,General,"('Sparrows', 'Roosters')",Birds,10.965686274509805,0.0,
58,Birds,General,"('Sparrows', 'Crows')",Birds,11.012254901960786,0.0,
75,Birds,General,"('Crows', 'Peacocks')",Birds,11.04411764705882,0.0,
27,Birds,General,"('Pelicans', 'Chickens')",Birds,11.063725490196077,0.0,
65,Birds,General,"('Sparrows', 'Falcons')",Birds,11.07107843137255,0.0,
11,Birds,General,"('Swallows', 'Vultures')",Birds,11.095588235294116,0.0,
37,Birds,General,"('Peacocks', 'Woodpeckers')",Birds,11.110294117647058,0.0,
43,Birds,General,"('Chickens', 'Robins')",Birds,11.11764705882353,0.0,
60,Birds,General,"('Doves', 'Peacocks')",Birds,11.125,0.0,
77,Birds,General,"('Crows', 'Herons')",Birds,11.127450980392156,0.0,
93,Birds,General,"('Ducks', 'Falcons')",Birds,11.129901960784315,0.0,
8,Birds,General,"('Robins', 'Storks')",Birds,11.139705882352942,0.0,
85,Birds,General,"('Pelicans', 'Swallows')",Birds,11.191176470588237,0.0,
88,Birds,General,"('Ostriches', 'Magpies')",Birds,11.247549019607844,0.0,
99,Birds,General,"('Pelicans', 'Sparrows')",Birds,11.284313725490195,0.0,
48,Birds,General,"('Doves', 'Swans')",Birds,11.291666666666666,0.0,
31,Birds,General,"('Doves', 'Pelicans')",Birds,11.294117647058826,0.0,
57,Birds,General,"('Chickens', 'Doves')",Birds,11.301470588235295,0.0,
30,Birds,General,"('Turkeys', 'Robins')",Birds,11.313725490196077,0.0,
19,Birds,General,"('Peacocks', 'Blackbirds')",Birds,11.333333333333334,0.0,
32,Birds,General,"('Storks', 'Chickens')",Birds,11.333333333333334,0.0,
51,Birds,General,"('Blackbirds', 'Vultures')",Birds,11.357843137254903,0.0,
47,Birds,General,"('Roosters', 'Magpies')",Birds,11.42156862745098,0.0,
42,Birds,General,"('Turkeys', 'Doves')",Birds,11.458333333333334,0.0,
28,Birds,General,"('Falcons', 'Chickens')",Birds,11.49264705882353,0.0,
94,Birds,General,"('Vultures', 'Chickens')",Birds,11.497549019607844,0.0,
45,Birds,General,"('Sparrows', 'Turkeys')",Birds,11.531862745098039,0.0,
69,Birds,General,"('Pelicans', 'Magpies')",Birds,11.531862745098039,0.0,
1,Birds,General,"('Doves', 'Storks')",Birds,11.536764705882353,0.0,
13,Birds,General,"('Blackbirds', 'Chickens')",Birds,11.541666666666666,0.0,
9,Birds,General,"('Chickens', 'Woodpeckers')",Birds,11.57107843137255,0.0,
89,Birds,General,"('Chickens', 'Swallows')",Birds,11.593137254901961,0.0,
54,Birds,General,"('Crows', 'Turkeys')",Birds,11.620098039215685,0.0,
96,Birds,General,"('Crows', 'Chickens')",Birds,11.620098039215685,0.0,
22,Birds,General,"('Magpies', 'Storks')",Birds,11.632352941176471,0.0,
76,Birds,General,"('Turkeys', 'Swallows')",Birds,11.661764705882353,0.0,
95,Birds,General,"('Doves', 'Herons')",Birds,11.688725490196077,0.0,
15,Birds,General,"('Woodpeckers', 'Turkeys')",Birds,11.705882352941176,0.0,
56,Birds,General,"('Turkeys', 'Blackbirds')",Birds,11.727941176470589,0.0,
91,Birds,General,"('Chickens', 'Herons')",Birds,11.821078431372548,0.0,
90,Birds,General,"('Chickens', 'Magpies')",Birds,11.884803921568627,0.0,
84,Birds,General,"('Magpies', 'Turkeys')",Birds,12.004901960784315,0.0,
163,Birds,Specific,"('Ostriches', 'Pelicans')",Sparrows,7.808823529411765,0.0,
162,Birds,Specific,"('Storks', 'Pelicans')",Sparrows,7.8357843137254894,0.0,
137,Birds,Specific,"('Canaries', 'Blackbirds')",Ostriches,7.855392156862745,0.0,
103,Birds,Specific,"('Canaries', 'Sparrows')",Storks,7.939950980392156,0.0,
123,Birds,Specific,"('Swans', 'Ostriches')",Magpies,8.245098039215687,0.0,
169,Birds,Specific,"('Ostriches', 'Swans')",Sparrows,8.27450980392157,0.0,
181,Birds,Specific,"('Blackbirds', 'Robins')",Herons,8.32843137254902,0.0,
112,Birds,Specific,"('Ducks', 'Chickens')",Vultures,8.354166666666666,0.0,
111,Birds,Specific,"('Swans', 'Ostriches')",Robins,8.362745098039216,0.0,
108,Birds,Specific,"('Swans', 'Pelicans')",Blackbirds,8.372549019607842,0.0,
114,Birds,Specific,"('Woodpeckers', 'Vultures')",Ducks,8.577205882352942,0.0,
174,Birds,Specific,"('Canaries', 'Sparrows')",Herons,8.792892156862745,0.0,
110,Birds,Specific,"('Roosters', 'Parrots')",Sparrows,8.841911764705882,0.0,
130,Birds,Specific,"('Swallows', 'Robins')",Ostriches,8.906862745098039,0.0,
109,Birds,Specific,"('Blackbirds', 'Doves')",Pelicans,8.95220588235294,0.0,
146,Birds,Specific,"('Blackbirds', 'Woodpeckers')",Swans,8.971813725490197,0.0,
105,Birds,Specific,"('Swans', 'Peacocks')",Canaries,8.987745098039216,0.0,
167,Birds,Specific,"('Roosters', 'Canaries')",Swans,9.007352941176471,0.0,
193,Birds,Specific,"('Eagles', 'Blackbirds')",Swans,9.066176470588236,0.0,
192,Birds,Specific,"('Pelicans', 'Peacocks')",Crows,9.112745098039216,0.0,
158,Birds,Specific,"('Vultures', 'Crows')",Canaries,9.175245098039216,0.0,
107,Birds,Specific,"('Eagles', 'Pelicans')",Doves,9.186274509803923,0.0,
113,Birds,Specific,"('Roosters', 'Turkeys')",Crows,9.415441176470589,0.0,
155,Birds,Specific,"('Roosters', 'Chickens')",Swans,9.457107843137255,0.0,
101,Birds,Specific,"('Roosters', 'Doves')",Eagles,9.468137254901961,0.0,
171,Birds,Specific,"('Chickens', 'Canaries')",Falcons,9.571078431372548,0.0,
152,Birds,Specific,"('Woodpeckers', 'Seagulls')",Peacocks,9.611519607843137,0.0,
194,Birds,Specific,"('Parrots', 'Crows')",Robins,9.681372549019608,0.0,
184,Birds,Specific,"('Falcons', 'Peacocks')",Blackbirds,9.775735294117649,0.0,
148,Birds,Specific,"('Crows', 'Parrots')",Pelicans,9.799019607843139,0.0,
102,Birds,Specific,"('Storks', 'Roosters')",Falcons,9.882352941176471,0.0,
172,Birds,Specific,"('Crows', 'Magpies')",Parrots,9.942401960784313,0.0,
198,Birds,Specific,"('Falcons', 'Ducks')",Peacocks,9.97671568627451,0.0,
129,Birds,Specific,"('Crows', 'Robins')",Parrots,10.07843137254902,0.0,
183,Birds,Specific,"('Magpies', 'Ostriches')",Parrots,10.123774509803923,0.0,
147,Birds,Specific,"('Storks', 'Sparrows')",Vultures,10.133578431372548,0.0,
145,Birds,Specific,"('Doves', 'Roosters')",Canaries,10.144607843137255,0.0,
179,Birds,Specific,"('Woodpeckers', 'Robins')",Seagulls,10.180147058823529,0.0,
185,Birds,Specific,"('Doves', 'Blackbirds')",Peacocks,10.1875,0.0,
176,Birds,Specific,"('Seagulls', 'Woodpeckers')",Herons,10.493872549019606,0.0,
190,Birds,Specific,"('Turkeys', 'Canaries')",Doves,10.549019607843137,0.0,
197,Birds,Specific,"('Magpies', 'Peacocks')",Herons,10.604166666666668,0.0,
164,Birds,Specific,"('Magpies', 'Turkeys')",Falcons,10.620098039215687,0.0,
116,Birds,Specific,"('Ducks', 'Swallows')",Pelicans,10.698529411764707,0.0,
143,Birds,Specific,"('Herons', 'Parrots')",Woodpeckers,10.810049019607844,0.0,
170,Birds,Specific,"('Swans', 'Swallows')",Crows,10.827205882352942,0.0,
156,Birds,Specific,"('Turkeys', 'Swans')",Herons,10.843137254901961,0.0,
168,Birds,Specific,"('Robins', 'Seagulls')",Magpies,10.895833333333332,0.0,
186,Birds,Specific,"('Turkeys', 'Doves')",Woodpeckers,11.02328431372549,0.0,
188,Birds,Specific,"('Seagulls', 'Swallows')",Blackbirds,11.182598039215687,0.0,
117,Birds,Specific,"('Herons', 'Falcons')",Pelicans,11.232843137254902,0.0,
141,Birds,Specific,"('Doves', 'Storks')",Swallows,11.238970588235293,0.0,
166,Birds,Specific,"('Turkeys', 'Swallows')",Ostriches,11.301470588235293,0.0,
191,Birds,Specific,"('Peacocks', 'Herons')",Eagles,11.372549019607842,0.0,
161,Birds,Specific,"('Ducks', 'Peacocks')",Chickens,11.393382352941178,0.0,
122,Birds,Specific,"('Swans', 'Swallows')",Storks,11.474264705882353,0.0,
118,Birds,Specific,"('Ducks', 'Herons')",Vultures,11.475490196078432,0.0,
127,Birds,Specific,"('Herons', 'Canaries')",Eagles,11.526960784313726,0.0,
104,Birds,Specific,"('Crows', 'Eagles')",Woodpeckers,11.6875,0.0,
120,Birds,Specific,"('Doves', 'Vultures')",Blackbirds,11.770833333333332,0.0,
199,Birds,Specific,"('Canaries', 'Swallows')",Robins,11.825980392156865,0.0,
154,Birds,Specific,"('Doves', 'Seagulls')",Swallows,11.878676470588236,0.0,
151,Birds,Specific,"('Woodpeckers', 'Roosters')",Swallows,11.887254901960784,0.0,
173,Birds,Specific,"('Canaries', 'Magpies')",Swallows,11.933823529411764,0.0,
100,Birds,Specific,"('Sparrows', 'Seagulls')",Doves,11.948529411764707,0.0,
121,Birds,Specific,"('Woodpeckers', 'Falcons')",Magpies,12.03921568627451,0.0,
187,Birds,Specific,"('Falcons', 'Pelicans')",Vultures,12.120098039215687,0.0,
106,Birds,Specific,"('Storks', 'Woodpeckers')",Magpies,12.253676470588236,0.0,
125,Birds,Specific,"('Storks', 'Parrots')",Pelicans,12.308823529411764,0.0,
134,Birds,Specific,"('Sparrows', 'Falcons')",Canaries,12.35906862745098,0.0,
196,Birds,Specific,"('Falcons', 'Turkeys')",Vultures,12.370098039215687,0.0,
139,Birds,Specific,"('Robins', 'Storks')",Pelicans,12.569852941176471,0.0,
140,Birds,Specific,"('Magpies', 'Turkeys')",Woodpeckers,12.620098039215687,0.0,
153,Birds,Specific,"('Crows', 'Ostriches')",Magpies,12.806372549019606,0.0,
138,Birds,Specific,"('Storks', 'Ducks')",Herons,12.852941176470587,0.0,
159,Birds,Specific,"('Swans', 'Eagles')",Ducks,12.935049019607842,0.0,
165,Birds,Specific,"('Eagles', 'Crows')",Falcons,13.011029411764707,0.0,
136,Birds,Specific,"('Seagulls', 'Falcons')",Eagles,13.029411764705884,0.0,
131,Birds,Specific,"('Storks', 'Robins')",Herons,13.069852941176471,0.0,
157,Birds,Specific,"('Swallows', 'Storks')",Herons,13.125,0.0,
119,Birds,Specific,"('Sparrows', 'Swallows')",Robins,13.136029411764707,0.0,
132,Birds,Specific,"('Eagles', 'Ducks')",Falcons,13.136029411764707,0.0,
144,Birds,Specific,"('Robins', 'Pelicans')",Sparrows,13.251225490196077,0.0,
178,Birds,Specific,"('Eagles', 'Sparrows')",Robins,13.264705882352942,0.0,
189,Birds,Specific,"('Magpies', 'Herons')",Crows,13.301470588235293,0.0,
133,Birds,Specific,"('Blackbirds', 'Swans')",Ducks,13.323529411764707,0.0,
175,Birds,Specific,"('Swans', 'Woodpeckers')",Ducks,13.324754901960784,0.0,
149,Birds,Specific,"('Magpies', 'Chickens')",Crows,13.383578431372548,0.0,
150,Birds,Specific,"('Robins', 'Turkeys')",Sparrows,13.392156862745097,0.0,
195,Birds,Specific,"('Robins', 'Herons')",Sparrows,13.459558823529411,0.0,
177,Birds,Specific,"('Roosters', 'Peacocks')",Chickens,13.785539215686274,0.0,
142,Birds,Specific,"('Roosters', 'Ostriches')",Chickens,13.85171568627451,0.0,
135,Birds,Specific,"('Sparrows', 'Turkeys')",Chickens,13.942401960784313,0.0,
124,Birds,Specific,"('Blackbirds', 'Chickens')",Turkeys,13.947303921568626,0.0,
128,Birds,Specific,"('Crows', 'Turkeys')",Chickens,13.986519607843135,0.0,
126,Birds,Specific,"('Magpies', 'Chickens')",Turkeys,14.118872549019606,0.0,
182,Birds,Specific,"('Seagulls', 'Roosters')",Chickens,14.238970588235293,0.0,
115,Birds,Specific,"('Roosters', 'Crows')",Chickens,14.286764705882351,0.0,
180,Birds,Specific,"('Chickens', 'Doves')",Roosters,14.356617647058822,0.0,
160,Birds,Specific,"('Vultures', 'Chickens')",Roosters,14.454656862745097,0.0,
298,Mammals,General,"('Mice', 'Hedgehogs')",Mammals,7.907894736842105,0.0,
233,Mammals,General,"('Mice', 'Hamsters')",Mammals,8.142543859649123,0.0,
226,Mammals,General,"('Mice', 'Squirrels')",Mammals,8.31140350877193,0.0,
258,Mammals,General,"('Squirrels', 'Hedgehogs')",Mammals,8.317982456140351,0.0,
289,Mammals,General,"('Hedgehogs', 'Beavers')",Mammals,8.410087719298247,0.0,
252,Mammals,General,"('Hedgehogs', 'Hamsters')",Mammals,8.482456140350877,0.0,
255,Mammals,General,"('Hamsters', 'Squirrels')",Mammals,8.491228070175438,0.0,
247,Mammals,General,"('Beavers', 'Mice')",Mammals,8.521929824561402,0.0,
295,Mammals,General,"('Squirrels', 'Beavers')",Mammals,8.567982456140351,0.0,
246,Mammals,General,"('Rabbits', 'Mice')",Mammals,8.646929824561404,0.0,
291,Mammals,General,"('Rabbits', 'Squirrels')",Mammals,8.664473684210527,0.0,
221,Mammals,General,"('Hedgehogs', 'Rabbits')",Mammals,8.692982456140351,0.0,
249,Mammals,General,"('Rabbits', 'Hamsters')",Mammals,8.714912280701755,0.0,
218,Mammals,General,"('Beavers', 'Rabbits')",Mammals,8.81140350877193,0.0,
264,Mammals,General,"('Rhinos', 'Elephants')",Mammals,8.817982456140351,0.0,
222,Mammals,General,"('Hamsters', 'Beavers')",Mammals,8.820175438596491,0.0,
242,Mammals,General,"('Hippos', 'Rhinos')",Mammals,8.837719298245615,0.0,
214,Mammals,General,"('Elephants', 'Hippos')",Mammals,8.896929824561404,0.0,
208,Mammals,General,"('Giraffes', 'Elephants')",Mammals,9.015350877192983,0.0,
260,Mammals,General,"('Camels', 'Giraffes')",Mammals,9.133771929824562,0.0,
211,Mammals,General,"('Giraffes', 'Rhinos')",Mammals,9.140350877192981,0.0,
231,Mammals,General,"('Elephants', 'Camels')",Mammals,9.206140350877194,0.0,
280,Mammals,General,"('Beavers', 'Sheep')",Mammals,9.217105263157896,0.0,
263,Mammals,General,"('Sheep', 'Hedgehogs')",Mammals,9.219298245614034,0.0,
229,Mammals,General,"('Hippos', 'Giraffes')",Mammals,9.228070175438596,0.0,
279,Mammals,General,"('Cows', 'Elephants')",Mammals,9.307017543859649,0.0,
292,Mammals,General,"('Wolves', 'Foxes')",Mammals,9.322368421052632,0.0,
213,Mammals,General,"('Rhinos', 'Cows')",Mammals,9.355263157894738,0.0,
232,Mammals,General,"('Dogs', 'Foxes')",Mammals,9.394736842105264,0.0,
266,Mammals,General,"('Wolves', 'Dogs')",Mammals,9.445175438596491,0.0,
223,Mammals,General,"('Tigers', 'Lions')",Mammals,9.449561403508772,0.0,
259,Mammals,General,"('Foxes', 'Beavers')",Mammals,9.526315789473685,0.0,
287,Mammals,General,"('Sheep', 'Rabbits')",Mammals,9.55263157894737,0.0,
216,Mammals,General,"('Sheep', 'Deer')",Mammals,9.57236842105263,0.0,
244,Mammals,General,"('Sheep', 'Giraffes')",Mammals,9.583333333333334,0.0,
262,Mammals,General,"('Elephants', 'Hedgehogs')",Mammals,9.587719298245615,0.0,
282,Mammals,General,"('Sheep', 'Elephants')",Mammals,9.589912280701755,0.0,
202,Mammals,General,"('Foxes', 'Hedgehogs')",Mammals,9.598684210526315,0.0,
297,Mammals,General,"('Sheep', 'Rhinos')",Mammals,9.714912280701755,0.0,
204,Mammals,General,"('Wolves', 'Sheep')",Mammals,9.75,0.0,
271,Mammals,General,"('Hamsters', 'Cats')",Mammals,9.769736842105262,0.0,
236,Mammals,General,"('Donkeys', 'Deer')",Mammals,9.785087719298245,0.0,
220,Mammals,General,"('Hamsters', 'Sheep')",Mammals,9.791666666666666,0.0,
203,Mammals,General,"('Squirrels', 'Foxes')",Mammals,9.800438596491228,0.0,
273,Mammals,General,"('Dogs', 'Mice')",Mammals,9.846491228070176,0.0,
230,Mammals,General,"('Llamas', 'Deer')",Mammals,9.853070175438598,0.0,
210,Mammals,General,"('Rhinos', 'Mice')",Mammals,9.855263157894738,0.0,
238,Mammals,General,"('Beavers', 'Camels')",Mammals,9.861842105263158,0.0,
207,Mammals,General,"('Horses', 'Cows')",Mammals,9.923245614035087,0.0,
241,Mammals,General,"('Sheep', 'Llamas')",Mammals,9.932017543859649,0.0,
281,Mammals,General,"('Cows', 'Hedgehogs')",Mammals,9.942982456140351,0.0,
254,Mammals,General,"('Foxes', 'Lions')",Mammals,10.032894736842104,0.0,
293,Mammals,General,"('Mice', 'Deer')",Mammals,10.032894736842104,0.0,
209,Mammals,General,"('Deer', 'Horses')",Mammals,10.06578947368421,0.0,
224,Mammals,General,"('Cows', 'Lions')",Mammals,10.074561403508772,0.0,
234,Mammals,General,"('Deer', 'Wolves')",Mammals,10.116228070175438,0.0,
275,Mammals,General,"('Giraffes', 'Dogs')",Mammals,10.12938596491228,0.0,
212,Mammals,General,"('Wolves', 'Rhinos')",Mammals,10.140350877192983,0.0,
250,Mammals,General,"('Tigers', 'Dogs')",Mammals,10.142543859649122,0.0,
290,Mammals,General,"('Tigers', 'Foxes')",Mammals,10.164473684210526,0.0,
200,Mammals,General,"('Beavers', 'Tigers')",Mammals,10.206140350877194,0.0,
225,Mammals,General,"('Tigers', 'Cows')",Mammals,10.225877192982457,0.0,
265,Mammals,General,"('Dogs', 'Hamsters')",Mammals,10.232456140350877,0.0,
253,Mammals,General,"('Foxes', 'Camels')",Mammals,10.282894736842104,0.0,
278,Mammals,General,"('Sheep', 'Horses')",Mammals,10.293859649122806,0.0,
206,Mammals,General,"('Foxes', 'Hippos')",Mammals,10.324561403508772,0.0,
217,Mammals,General,"('Zebras', 'Lions')",Mammals,10.390350877192983,0.0,
227,Mammals,General,"('Llamas', 'Beavers')",Mammals,10.423245614035087,0.0,
294,Mammals,General,"('Rabbits', 'Lions')",Mammals,10.427631578947368,0.0,
296,Mammals,General,"('Llamas', 'Lions')",Mammals,10.432017543859649,0.0,
267,Mammals,General,"('Beavers', 'Zebras')",Mammals,10.473684210526317,0.0,
261,Mammals,General,"('Squirrels', 'Tigers')",Mammals,10.484649122807017,0.0,
274,Mammals,General,"('Cats', 'Giraffes')",Mammals,10.49561403508772,0.0,
288,Mammals,General,"('Wolves', 'Llamas')",Mammals,10.508771929824562,0.0,
257,Mammals,General,"('Rhinos', 'Cats')",Mammals,10.513157894736842,0.0,
276,Mammals,General,"('Llamas', 'Dogs')",Mammals,10.56140350877193,0.0,
286,Mammals,General,"('Dogs', 'Donkeys')",Mammals,10.594298245614034,0.0,
283,Mammals,General,"('Llamas', 'Foxes')",Mammals,10.600877192982457,0.0,
219,Mammals,General,"('Rabbits', 'Donkeys')",Mammals,10.642543859649123,0.0,
277,Mammals,General,"('Foxes', 'Donkeys')",Mammals,10.646929824561402,0.0,
285,Mammals,General,"('Squirrels', 'Llamas')",Mammals,10.708333333333334,0.0,
248,Mammals,General,"('Tigers', 'Horses')",Mammals,10.723684210526315,0.0,
237,Mammals,General,"('Zebras', 'Foxes')",Mammals,10.730263157894735,0.0,
243,Mammals,General,"('Rabbits', 'Llamas')",Mammals,10.75,0.0,
205,Mammals,General,"('Squirrels', 'Zebras')",Mammals,10.758771929824562,0.0,
251,Mammals,General,"('Cows', 'Cats')",Mammals,10.7609649122807,0.0,
272,Mammals,General,"('Mice', 'Horses')",Mammals,10.780701754385964,0.0,
245,Mammals,General,"('Wolves', 'Horses')",Mammals,10.875,0.0,
240,Mammals,General,"('Zebras', 'Rabbits')",Mammals,10.88157894736842,0.0,
284,Mammals,General,"('Dogs', 'Horses')",Mammals,10.918859649122808,0.0,
228,Mammals,General,"('Cats', 'Llamas')",Mammals,10.949561403508772,0.0,
269,Mammals,General,"('Horses', 'Foxes')",Mammals,10.962719298245611,0.0,
201,Mammals,General,"('Horses', 'Squirrels')",Mammals,10.984649122807019,0.0,
235,Mammals,General,"('Llamas', 'Hamsters')",Mammals,10.984649122807019,0.0,
268,Mammals,General,"('Donkeys', 'Cats')",Mammals,11.002192982456142,0.0,
215,Mammals,General,"('Rabbits', 'Horses')",Mammals,11.019736842105265,0.0,
239,Mammals,General,"('Zebras', 'Hamsters')",Mammals,11.032894736842104,0.0,
270,Mammals,General,"('Cats', 'Zebras')",Mammals,11.052631578947368,0.0,
299,Mammals,General,"('Hamsters', 'Horses')",Mammals,11.25438596491228,0.0,
256,Mammals,General,"('Horses', 'Cats')",Mammals,11.31578947368421,0.0,
300,Mammals,Specific,"('Hedgehogs', 'Mice')",Hippos,6.585526315789474,0.0,
424,Mammals,Specific,"('Squirrels', 'Hamsters')",Rhinos,6.824561403508772,0.0,
320,Mammals,Specific,"('Giraffes', 'Rhinos')",Hamsters,6.938596491228069,0.0,
327,Mammals,Specific,"('Beavers', 'Mice')",Elephants,6.971491228070175,0.0,
325,Mammals,Specific,"('Rhinos', 'Elephants')",Squirrels,6.987938596491228,0.0,
402,Mammals,Specific,"('Beavers', 'Squirrels')",Elephants,6.994517543859649,0.0,
349,Mammals,Specific,"('Beavers', 'Hedgehogs')",Giraffes,7.020833333333334,0.0,
416,Mammals,Specific,"('Rabbits', 'Mice')",Rhinos,7.0866228070175445,0.0,
397,Mammals,Specific,"('Squirrels', 'Hedgehogs')",Cows,7.1063596491228065,0.0,
411,Mammals,Specific,"('Hamsters', 'Mice')",Deer,7.176535087719298,0.0,
421,Mammals,Specific,"('Donkeys', 'Giraffes')",Hamsters,7.425438596491228,0.0,
378,Mammals,Specific,"('Elephants', 'Cows')",Squirrels,7.495614035087719,0.0,
348,Mammals,Specific,"('Beavers', 'Mice')",Horses,7.49780701754386,0.0,
317,Mammals,Specific,"('Lions', 'Hippos')",Mice,7.678728070175438,0.0,
373,Mammals,Specific,"('Cows', 'Hippos')",Hedgehogs,7.68859649122807,0.0,
429,Mammals,Specific,"('Rhinos', 'Cows')",Hedgehogs,7.756578947368421,0.0,
360,Mammals,Specific,"('Foxes', 'Hedgehogs')",Elephants,7.7730263157894735,0.0,
356,Mammals,Specific,"('Rabbits', 'Beavers')",Rhinos,7.879385964912281,0.0,
401,Mammals,Specific,"('Cows', 'Horses')",Hedgehogs,7.908991228070175,0.0,
394,Mammals,Specific,"('Rhinos', 'Elephants')",Sheep,7.9089912280701755,0.0,
338,Mammals,Specific,"('Giraffes', 'Zebras')",Cats,7.948464912280702,0.0,
372,Mammals,Specific,"('Cows', 'Zebras')",Hamsters,7.981359649122807,0.0,
328,Mammals,Specific,"('Hedgehogs', 'Giraffes')",Dogs,8.098684210526315,0.0,
406,Mammals,Specific,"('Rhinos', 'Cows')",Beavers,8.151315789473685,0.0,
380,Mammals,Specific,"('Elephants', 'Foxes')",Mice,8.242324561403509,0.0,
386,Mammals,Specific,"('Sheep', 'Hippos')",Squirrels,8.42543859649123,0.0,
367,Mammals,Specific,"('Deer', 'Elephants')",Rabbits,8.521929824561404,0.0,
434,Mammals,Specific,"('Wolves', 'Horses')",Hamsters,8.542763157894736,0.0,
307,Mammals,Specific,"('Dogs', 'Cows')",Mice,8.544956140350877,0.0,
