,domain,phenomenon_number,phenomenon_name,sample_num,arg1_premises,arg1_conclusion,arg2_premises,arg2_conclusion,is_osherson,arg2_is_stronger
24,Birds,2,Premise Typicality,-1,['robin'],Birds,['penguin'],Birds,True,False
25,Birds,2,Premise Typicality,0,['Doves'],Birds,['Ostriches'],Birds,False,False
26,Birds,2,Premise Typicality,1,['Crows'],Birds,['Turkeys'],Birds,False,False
27,Birds,2,Premise Typicality,2,['Doves'],Birds,['Chickens'],Birds,False,False
28,Birds,2,Premise Typicality,3,['Roosters'],Birds,['Sparrows'],Birds,False,True
29,Birds,2,Premise Typicality,4,['Penguins'],Birds,['Sparrows'],Birds,False,True
30,Birds,2,Premise Typicality,5,['Blackbirds'],Birds,['Turkeys'],Birds,False,False
31,Birds,2,Premise Typicality,6,['Ostriches'],Birds,['Blackbirds'],Birds,False,True
32,Birds,2,Premise Typicality,7,['Turkeys'],Birds,['Sparrows'],Birds,False,True
33,Birds,2,Premise Typicality,9,['Chickens'],Birds,['Crows'],Birds,False,True
34,Birds,2,Premise Typicality,11,['Penguins'],Birds,['Crows'],Birds,False,True
35,Birds,2,Premise Typicality,13,['Robins'],Birds,['Ostriches'],Birds,False,False
36,Birds,2,Premise Typicality,14,['Crows'],Birds,['Roosters'],Birds,False,False
37,Birds,2,Premise Typicality,19,['Robins'],Birds,['Turkeys'],Birds,False,False
38,Birds,2,Premise Typicality,21,['Sparrows'],Birds,['Ostriches'],Birds,False,False
39,Birds,2,Premise Typicality,24,['Roosters'],Birds,['Blackbirds'],Birds,False,True
40,Birds,2,Premise Typicality,26,['Blackbirds'],Birds,['Chickens'],Birds,False,False
41,Birds,2,Premise Typicality,27,['Penguins'],Birds,['Blackbirds'],Birds,False,True
42,Birds,2,Premise Typicality,28,['Robins'],Birds,['Roosters'],Birds,False,False
43,Birds,2,Premise Typicality,30,['Doves'],Birds,['Roosters'],Birds,False,False
44,Birds,2,Premise Typicality,31,['Penguins'],Birds,['Doves'],Birds,False,True
45,Birds,2,Premise Typicality,39,['Doves'],Birds,['Turkeys'],Birds,False,False
46,Birds,2,Premise Typicality,45,['Robins'],Birds,['Penguins'],Birds,False,False
47,Birds,2,Premise Typicality,46,['Chickens'],Birds,['Sparrows'],Birds,False,True
48,Birds,3,Conclusion Specificity,-1,"['bluejay', 'falcon']",Animals,"['bluejay', 'falcon']",Birds,True,True
49,Birds,3,Conclusion Specificity,0,"['Parrots', 'Turkeys']",Birds,"['Parrots', 'Turkeys']",Animals,False,False
50,Birds,3,Conclusion Specificity,1,"['Pelicans', 'Seagulls']",Birds,"['Pelicans', 'Seagulls']",Animals,False,False
51,Birds,3,Conclusion Specificity,2,"['Blackbirds', 'Parrots']",Birds,"['Blackbirds', 'Parrots']",Animals,False,False
52,Birds,3,Conclusion Specificity,3,"['Ducks', 'Woodpeckers']",Animals,"['Ducks', 'Woodpeckers']",Birds,False,True
53,Birds,3,Conclusion Specificity,4,"['Peacocks', 'Crows']",Animals,"['Peacocks', 'Crows']",Birds,False,True
54,Birds,3,Conclusion Specificity,5,"['Seagulls', 'Storks']",Birds,"['Seagulls', 'Storks']",Animals,False,False
55,Birds,3,Conclusion Specificity,6,"['Canaries', 'Crows']",Birds,"['Canaries', 'Crows']",Animals,False,False
56,Birds,3,Conclusion Specificity,7,"['Eagles', 'Magpies']",Birds,"['Eagles', 'Magpies']",Animals,False,False
57,Birds,3,Conclusion Specificity,8,"['Crows', 'Chickens']",Birds,"['Crows', 'Chickens']",Animals,False,False
58,Birds,3,Conclusion Specificity,9,"['Magpies', 'Doves']",Birds,"['Magpies', 'Doves']",Animals,False,False
59,Birds,3,Conclusion Specificity,10,"['Turkeys', 'Canaries']",Birds,"['Turkeys', 'Canaries']",Animals,False,False
60,Birds,3,Conclusion Specificity,11,"['Swans', 'Chickens']",Animals,"['Swans', 'Chickens']",Birds,False,True
61,Birds,3,Conclusion Specificity,12,"['Crows', 'Herons']",Birds,"['Crows', 'Herons']",Animals,False,False
62,Birds,3,Conclusion Specificity,13,"['Canaries', 'Sparrows']",Animals,"['Canaries', 'Sparrows']",Birds,False,True
63,Birds,3,Conclusion Specificity,14,"['Woodpeckers', 'Herons']",Birds,"['Woodpeckers', 'Herons']",Animals,False,False
64,Birds,3,Conclusion Specificity,15,"['Woodpeckers', 'Eagles']",Animals,"['Woodpeckers', 'Eagles']",Birds,False,True
65,Birds,3,Conclusion Specificity,16,"['Turkeys', 'Eagles']",Animals,"['Turkeys', 'Eagles']",Birds,False,True
66,Birds,3,Conclusion Specificity,17,"['Ostriches', 'Robins']",Birds,"['Ostriches', 'Robins']",Animals,False,False
67,Birds,3,Conclusion Specificity,18,"['Ducks', 'Turkeys']",Animals,"['Ducks', 'Turkeys']",Birds,False,True
68,Birds,3,Conclusion Specificity,19,"['Vultures', 'Sparrows']",Animals,"['Vultures', 'Sparrows']",Birds,False,True
69,Birds,3,Conclusion Specificity,20,"['Blackbirds', 'Canaries']",Animals,"['Blackbirds', 'Canaries']",Birds,False,True
70,Birds,3,Conclusion Specificity,21,"['Woodpeckers', 'Robins']",Birds,"['Woodpeckers', 'Robins']",Animals,False,False
71,Birds,3,Conclusion Specificity,22,"['Ostriches', 'Herons']",Animals,"['Ostriches', 'Herons']",Birds,False,True
72,Birds,4,Premise Monotonicity (General),-1,"['hawk', 'sparrow', 'eagle']",Birds,"['sparrow', 'eagle']",Birds,True,False
73,Birds,4,Premise Monotonicity (General),0,"['Magpies', 'Crows', 'Storks']",Birds,"['Magpies', 'Crows']",Birds,False,False
74,Birds,4,Premise Monotonicity (General),1,"['Crows', 'Woodpeckers', 'Owls']",Birds,"['Crows', 'Woodpeckers']",Birds,False,False
75,Birds,4,Premise Monotonicity (General),3,"['Peacocks', 'Crows', 'Roosters']",Birds,"['Peacocks', 'Crows']",Birds,False,False
76,Birds,4,Premise Monotonicity (General),4,"['Eagles', 'Parrots', 'Turkeys']",Birds,"['Eagles', 'Parrots']",Birds,False,False
77,Birds,4,Premise Monotonicity (General),5,"['Peacocks', 'Chickens']",Birds,"['Peacocks', 'Chickens', 'Penguins']",Birds,False,True
78,Birds,4,Premise Monotonicity (General),6,"['Storks', 'Turkeys', 'Ostriches']",Birds,"['Storks', 'Turkeys']",Birds,False,False
79,Birds,4,Premise Monotonicity (General),7,"['Canaries', 'Ducks', 'Turkeys']",Birds,"['Canaries', 'Ducks']",Birds,False,False
80,Birds,4,Premise Monotonicity (General),8,"['Swans', 'Pelicans']",Birds,"['Swans', 'Pelicans', 'Ostriches']",Birds,False,True
81,Birds,4,Premise Monotonicity (General),9,"['Swallows', 'Parrots', 'Peacocks']",Birds,"['Swallows', 'Parrots']",Birds,False,False
82,Birds,4,Premise Monotonicity (General),10,"['Woodpeckers', 'Sparrows']",Birds,"['Woodpeckers', 'Sparrows', 'Pelicans']",Birds,False,True
83,Birds,4,Premise Monotonicity (General),12,"['Canaries', 'Crows', 'Storks']",Birds,"['Canaries', 'Crows']",Birds,False,False
84,Birds,4,Premise Monotonicity (General),13,"['Ducks', 'Robins', 'Pelicans']",Birds,"['Ducks', 'Robins']",Birds,False,False
85,Birds,4,Premise Monotonicity (General),14,"['Magpies', 'Peacocks', 'Ostriches']",Birds,"['Magpies', 'Peacocks']",Birds,False,False
86,Birds,4,Premise Monotonicity (General),15,"['Swallows', 'Pelicans']",Birds,"['Swallows', 'Pelicans', 'Roosters']",Birds,False,True
87,Birds,4,Premise Monotonicity (General),16,"['Woodpeckers', 'Crows', 'Pelicans']",Birds,"['Woodpeckers', 'Crows']",Birds,False,False
88,Birds,4,Premise Monotonicity (General),18,"['Peacocks', 'Sparrows']",Birds,"['Peacocks', 'Sparrows', 'Roosters']",Birds,False,True
89,Birds,4,Premise Monotonicity (General),20,"['Peacocks', 'Seagulls']",Birds,"['Peacocks', 'Seagulls', 'Ostriches']",Birds,False,True
90,Birds,4,Premise Monotonicity (General),23,"['Woodpeckers', 'Turkeys', 'Penguins']",Birds,"['Woodpeckers', 'Turkeys']",Birds,False,False
91,Birds,4,Premise Monotonicity (General),24,"['Seagulls', 'Falcons', 'Pelicans']",Birds,"['Seagulls', 'Falcons']",Birds,False,False
92,Birds,4,Premise Monotonicity (General),26,"['Chickens', 'Woodpeckers', 'Ostriches']",Birds,"['Chickens', 'Woodpeckers']",Birds,False,False
93,Birds,4,Premise Monotonicity (General),30,"['Swans', 'Vultures']",Birds,"['Swans', 'Vultures', 'Ostriches']",Birds,False,True
94,Birds,4,Premise Monotonicity (General),31,"['Peacocks', 'Turkeys', 'Roosters']",Birds,"['Peacocks', 'Turkeys']",Birds,False,False
95,Birds,4,Premise Monotonicity (General),32,"['Chickens', 'Peacocks', 'Ostriches']",Birds,"['Chickens', 'Peacocks']",Birds,False,False
96,Birds,5,Premise Monotonicity (Specific),0,"['Woodpeckers', 'Doves', 'Peacocks']",Crows,"['Woodpeckers', 'Doves']",Crows,False,False
97,Birds,5,Premise Monotonicity (Specific),1,"['Storks', 'Swallows']",Turkeys,"['Storks', 'Swallows', 'Penguins']",Turkeys,False,True
98,Birds,5,Premise Monotonicity (Specific),3,"['Swallows', 'Owls', 'Roosters']",Blackbirds,"['Swallows', 'Owls']",Blackbirds,False,False
99,Birds,5,Premise Monotonicity (Specific),4,"['Crows', 'Blackbirds', 'Canaries']",Eagles,"['Crows', 'Blackbirds']",Eagles,False,False
100,Birds,5,Premise Monotonicity (Specific),5,"['Canaries', 'Blackbirds', 'Falcons']",Chickens,"['Canaries', 'Blackbirds']",Chickens,False,False
101,Birds,5,Premise Monotonicity (Specific),6,"['Sparrows', 'Doves']",Blackbirds,"['Sparrows', 'Doves', 'Herons']",Blackbirds,False,True
102,Birds,5,Premise Monotonicity (Specific),9,"['Turkeys', 'Chickens']",Peacocks,"['Turkeys', 'Chickens', 'Ostriches']",Peacocks,False,True
103,Birds,5,Premise Monotonicity (Specific),10,"['Swallows', 'Peacocks', 'Penguins']",Doves,"['Swallows', 'Peacocks']",Doves,False,False
104,Birds,5,Premise Monotonicity (Specific),11,"['Storks', 'Ducks', 'Turkeys']",Herons,"['Storks', 'Ducks']",Herons,False,False
105,Birds,5,Premise Monotonicity (Specific),13,"['Canaries', 'Owls']",Ducks,"['Canaries', 'Owls', 'Storks']",Ducks,False,True
106,Birds,5,Premise Monotonicity (Specific),15,"['Peacocks', 'Woodpeckers']",Roosters,"['Peacocks', 'Woodpeckers', 'Ostriches']",Roosters,False,True
107,Birds,5,Premise Monotonicity (Specific),16,"['Owls', 'Magpies', 'Storks']",Ducks,"['Owls', 'Magpies']",Ducks,False,False
108,Birds,5,Premise Monotonicity (Specific),18,"['Vultures', 'Peacocks', 'Chickens']",Ostriches,"['Vultures', 'Peacocks']",Ostriches,False,False
109,Birds,5,Premise Monotonicity (Specific),20,"['Falcons', 'Swans', 'Penguins']",Chickens,"['Falcons', 'Swans']",Chickens,False,False
110,Birds,5,Premise Monotonicity (Specific),24,"['Chickens', 'Turkeys', 'Ostriches']",Crows,"['Chickens', 'Turkeys']",Crows,False,False
111,Birds,5,Premise Monotonicity (Specific),26,"['Seagulls', 'Pelicans', 'Turkeys']",Woodpeckers,"['Seagulls', 'Pelicans']",Woodpeckers,False,False
112,Birds,5,Premise Monotonicity (Specific),27,"['Blackbirds', 'Turkeys', 'Penguins']",Doves,"['Blackbirds', 'Turkeys']",Doves,False,False
113,Birds,5,Premise Monotonicity (Specific),31,"['Owls', 'Storks']",Chickens,"['Owls', 'Storks', 'Penguins']",Chickens,False,True
114,Birds,5,Premise Monotonicity (Specific),32,"['Eagles', 'Falcons', 'Penguins']",Seagulls,"['Eagles', 'Falcons']",Seagulls,False,False
115,Birds,5,Premise Monotonicity (Specific),34,"['Chickens', 'Pelicans', 'Penguins']",Ducks,"['Chickens', 'Pelicans']",Ducks,False,False
116,Birds,5,Premise Monotonicity (Specific),37,"['Doves', 'Owls']",Vultures,"['Doves', 'Owls', 'Chickens']",Vultures,False,True
117,Birds,5,Premise Monotonicity (Specific),40,"['Sparrows', 'Herons']",Robins,"['Sparrows', 'Herons', 'Vultures']",Robins,False,True
118,Birds,5,Premise Monotonicity (Specific),42,"['Eagles', 'Chickens', 'Penguins']",Peacocks,"['Eagles', 'Chickens']",Peacocks,False,False
119,Birds,5,Premise Monotonicity (Specific),47,"['Seagulls', 'Sparrows', 'Swallows']",Roosters,"['Seagulls', 'Sparrows']",Roosters,False,False
120,Birds,6,Premise Diversity (General),0,"['Robins', 'Eagles']",Birds,"['Robins', 'Doves']",Birds,False,False
121,Birds,6,Premise Diversity (General),1,"['Blackbirds', 'Robins']",Birds,"['Blackbirds', 'Ostriches']",Birds,False,True
122,Birds,6,Premise Diversity (General),2,"['Robins', 'Canaries']",Birds,"['Robins', 'Herons']",Birds,False,True
123,Birds,6,Premise Diversity (General),4,"['Seagulls', 'Ostriches']",Birds,"['Seagulls', 'Swallows']",Birds,False,False
124,Birds,6,Premise Diversity (General),6,"['Magpies', 'Swans']",Birds,"['Magpies', 'Swallows']",Birds,False,False
125,Birds,6,Premise Diversity (General),7,"['Sparrows', 'Canaries']",Birds,"['Sparrows', 'Pelicans']",Birds,False,True
126,Birds,6,Premise Diversity (General),8,"['Eagles', 'Falcons']",Birds,"['Eagles', 'Penguins']",Birds,False,True
127,Birds,6,Premise Diversity (General),10,"['Blackbirds', 'Swans']",Birds,"['Blackbirds', 'Woodpeckers']",Birds,False,False
128,Birds,6,Premise Diversity (General),11,"['Blackbirds', 'Magpies']",Birds,"['Blackbirds', 'Herons']",Birds,False,True
129,Birds,6,Premise Diversity (General),12,"['Seagulls', 'Magpies']",Birds,"['Seagulls', 'Ostriches']",Birds,False,True
130,Birds,6,Premise Diversity (General),13,"['Canaries', 'Parrots']",Birds,"['Canaries', 'Falcons']",Birds,False,True
131,Birds,6,Premise Diversity (General),14,"['Herons', 'Penguins']",Birds,"['Herons', 'Pelicans']",Birds,False,False
132,Birds,6,Premise Diversity (General),15,"['Robins', 'Doves']",Birds,"['Robins', 'Penguins']",Birds,False,True
133,Birds,6,Premise Diversity (General),18,"['Doves', 'Ostriches']",Birds,"['Doves', 'Chickens']",Birds,False,False
134,Birds,6,Premise Diversity (General),19,"['Doves', 'Swallows']",Birds,"['Doves', 'Penguins']",Birds,False,True
135,Birds,6,Premise Diversity (General),20,"['Crows', 'Swans']",Birds,"['Crows', 'Vultures']",Birds,False,False
136,Birds,6,Premise Diversity (General),21,"['Falcons', 'Penguins']",Birds,"['Falcons', 'Vultures']",Birds,False,False
137,Birds,6,Premise Diversity (General),22,"['Blackbirds', 'Swans']",Birds,"['Blackbirds', 'Magpies']",Birds,False,False
138,Birds,6,Premise Diversity (General),23,"['Sparrows', 'Swans']",Birds,"['Sparrows', 'Magpies']",Birds,False,False
139,Birds,6,Premise Diversity (General),26,"['Sparrows', 'Robins']",Birds,"['Sparrows', 'Vultures']",Birds,False,True
140,Birds,6,Premise Diversity (General),27,"['Doves', 'Ostriches']",Birds,"['Doves', 'Magpies']",Birds,False,False
141,Birds,6,Premise Diversity (General),28,"['Canaries', 'Parrots']",Birds,"['Canaries', 'Pelicans']",Birds,False,True
142,Birds,6,Premise Diversity (General),29,"['Eagles', 'Ducks']",Birds,"['Eagles', 'Herons']",Birds,False,False
143,Birds,6,Premise Diversity (General),30,"['Eagles', 'Owls']",Birds,"['Eagles', 'Swans']",Birds,False,True
144,Birds,7,Premise Diversity (Specific),5,"['Peacocks', 'Penguins']",Storks,"['Peacocks', 'Chickens']",Storks,False,False
145,Birds,7,Premise Diversity (Specific),20,"['Turkeys', 'Penguins']",Ducks,"['Turkeys', 'Peacocks']",Ducks,False,False
146,Birds,7,Premise Diversity (Specific),21,"['Turkeys', 'Ostriches']",Ducks,"['Turkeys', 'Penguins']",Ducks,False,True
147,Birds,7,Premise Diversity (Specific),28,"['Roosters', 'Peacocks']",Ducks,"['Roosters', 'Penguins']",Ducks,False,True
148,Birds,7,Premise Diversity (Specific),34,"['Parrots', 'Penguins']",Seagulls,"['Parrots', 'Canaries']",Seagulls,False,False
149,Birds,7,Premise Diversity (Specific),54,"['Peacocks', 'Roosters']",Swans,"['Peacocks', 'Penguins']",Swans,False,True
150,Birds,7,Premise Diversity (Specific),60,"['Chickens', 'Penguins']",Swans,"['Chickens', 'Roosters']",Swans,False,False
151,Birds,7,Premise Diversity (Specific),75,"['Storks', 'Ostriches']",Falcons,"['Storks', 'Roosters']",Falcons,False,True
152,Birds,7,Premise Diversity (Specific),91,"['Ostriches', 'Roosters']",Vultures,"['Ostriches', 'Turkeys']",Vultures,False,False
153,Birds,7,Premise Diversity (Specific),95,"['Turkeys', 'Penguins']",Swans,"['Turkeys', 'Roosters']",Swans,False,False
154,Birds,7,Premise Diversity (Specific),100,"['Swans', 'Parrots']",Herons,"['Swans', 'Ducks']",Herons,False,False
155,Birds,7,Premise Diversity (Specific),102,"['Parrots', 'Canaries']",Seagulls,"['Parrots', 'Ducks']",Seagulls,False,True
156,Birds,7,Premise Diversity (Specific),117,"['Canaries', 'Falcons']",Blackbirds,"['Canaries', 'Parrots']",Blackbirds,False,False
157,Birds,7,Premise Diversity (Specific),119,"['Swans', 'Ducks']",Seagulls,"['Swans', 'Parrots']",Seagulls,False,True
158,Birds,7,Premise Diversity (Specific),122,"['Roosters', 'Chickens']",Swallows,"['Roosters', 'Ostriches']",Swallows,False,True
159,Birds,7,Premise Diversity (Specific),133,"['Eagles', 'Owls']",Crows,"['Eagles', 'Chickens']",Crows,False,True
160,Birds,7,Premise Diversity (Specific),161,"['Chickens', 'Roosters']",Pelicans,"['Chickens', 'Penguins']",Pelicans,False,True
161,Birds,7,Premise Diversity (Specific),169,"['Vultures', 'Ostriches']",Seagulls,"['Vultures', 'Chickens']",Seagulls,False,True
162,Birds,7,Premise Diversity (Specific),197,"['Woodpeckers', 'Chickens']",Blackbirds,"['Woodpeckers', 'Parrots']",Blackbirds,False,False
163,Birds,7,Premise Diversity (Specific),215,"['Chickens', 'Peacocks']",Pelicans,"['Chickens', 'Penguins']",Pelicans,False,True
164,Birds,7,Premise Diversity (Specific),241,"['Vultures', 'Ostriches']",Swallows,"['Vultures', 'Ducks']",Swallows,False,True
165,Birds,7,Premise Diversity (Specific),260,"['Woodpeckers', 'Parrots']",Eagles,"['Woodpeckers', 'Ostriches']",Eagles,False,True
166,Birds,7,Premise Diversity (Specific),564,"['Woodpeckers', 'Chickens']",Sparrows,"['Woodpeckers', 'Parrots']",Sparrows,False,False
167,Birds,7,Premise Diversity (Specific),609,"['Swallows', 'Chickens']",Canaries,"['Swallows', 'Falcons']",Canaries,False,False
168,Birds,8,Nonmonotonicity (General),-1,"['crow', 'peacock', 'rabbit']",Birds,"['crow', 'peacock']",Birds,True,True
169,Birds,8,Nonmonotonicity (General),0,"['Parrots', 'Swans']",Birds,"['Parrots', 'Swans', 'Cockchafers']",Birds,False,False
170,Birds,8,Nonmonotonicity (General),1,"['Falcons', 'Vultures', 'Flies']",Birds,"['Falcons', 'Vultures']",Birds,False,True
171,Birds,8,Nonmonotonicity (General),2,"['Ducks', 'Seagulls', 'Mosquitoes']",Birds,"['Ducks', 'Seagulls']",Birds,False,True
172,Birds,8,Nonmonotonicity (General),3,"['Seagulls', 'Blackbirds']",Birds,"['Seagulls', 'Blackbirds', 'Spiders']",Birds,False,False
173,Birds,8,Nonmonotonicity (General),4,"['Eagles', 'Woodpeckers', 'Mosquitoes']",Birds,"['Eagles', 'Woodpeckers']",Birds,False,True
174,Birds,8,Nonmonotonicity (General),5,"['Parrots', 'Herons']",Birds,"['Parrots', 'Herons', 'Leeches']",Birds,False,False
175,Birds,8,Nonmonotonicity (General),6,"['Storks', 'Eagles']",Birds,"['Storks', 'Eagles', 'Bumblebees']",Birds,False,False
176,Birds,8,Nonmonotonicity (General),7,"['Herons', 'Roosters']",Birds,"['Herons', 'Roosters', 'Moths']",Birds,False,False
177,Birds,8,Nonmonotonicity (General),8,"['Storks', 'Woodpeckers']",Birds,"['Storks', 'Woodpeckers', 'Ladybugs']",Birds,False,False
178,Birds,8,Nonmonotonicity (General),9,"['Seagulls', 'Eagles', 'Dragonflies']",Birds,"['Seagulls', 'Eagles']",Birds,False,True
179,Birds,8,Nonmonotonicity (General),10,"['Doves', 'Swans', 'Dragonflies']",Birds,"['Doves', 'Swans']",Birds,False,True
180,Birds,8,Nonmonotonicity (General),11,"['Roosters', 'Turkeys']",Birds,"['Roosters', 'Turkeys', 'Ants']",Birds,False,False
181,Birds,8,Nonmonotonicity (General),12,"['Doves', 'Robins', 'Grasshoppers']",Birds,"['Doves', 'Robins']",Birds,False,True
182,Birds,8,Nonmonotonicity (General),13,"['Swans', 'Storks', 'Spiders']",Birds,"['Swans', 'Storks']",Birds,False,True
183,Birds,8,Nonmonotonicity (General),14,"['Storks', 'Swans', 'Bumblebees']",Birds,"['Storks', 'Swans']",Birds,False,True
184,Birds,8,Nonmonotonicity (General),15,"['Pelicans', 'Chickens', 'Cockchafers']",Birds,"['Pelicans', 'Chickens']",Birds,False,True
185,Birds,8,Nonmonotonicity (General),16,"['Turkeys', 'Peacocks', 'Horseflies']",Birds,"['Turkeys', 'Peacocks']",Birds,False,True
186,Birds,8,Nonmonotonicity (General),17,"['Turkeys', 'Ostriches', 'Mosquitoes']",Birds,"['Turkeys', 'Ostriches']",Birds,False,True
187,Birds,8,Nonmonotonicity (General),18,"['Chickens', 'Canaries', 'Bumblebees']",Birds,"['Chickens', 'Canaries']",Birds,False,True
188,Birds,8,Nonmonotonicity (General),19,"['Eagles', 'Doves', 'Butterflies']",Birds,"['Eagles', 'Doves']",Birds,False,True
189,Birds,8,Nonmonotonicity (General),20,"['Blackbirds', 'Seagulls', 'Flees']",Birds,"['Blackbirds', 'Seagulls']",Birds,False,True
190,Birds,8,Nonmonotonicity (General),21,"['Canaries', 'Peacocks', 'Flees']",Birds,"['Canaries', 'Peacocks']",Birds,False,True
191,Birds,8,Nonmonotonicity (General),22,"['Falcons', 'Doves']",Birds,"['Falcons', 'Doves', 'Horseflies']",Birds,False,False
192,Birds,9,Nonmonotonicity (Specific),0,['Vultures'],Seagulls,"['Vultures', 'Wasps']",Seagulls,False,False
193,Birds,9,Nonmonotonicity (Specific),1,"['Peacocks', 'Worms']",Storks,['Peacocks'],Storks,False,True
194,Birds,9,Nonmonotonicity (Specific),2,['Swans'],Storks,"['Swans', 'Spiders']",Storks,False,False
195,Birds,9,Nonmonotonicity (Specific),3,"['Ostriches', 'Crickets']",Peacocks,['Ostriches'],Peacocks,False,True
196,Birds,9,Nonmonotonicity (Specific),4,['Turkeys'],Swallows,"['Turkeys', 'Moths']",Swallows,False,False
197,Birds,9,Nonmonotonicity (Specific),5,['Herons'],Canaries,"['Herons', 'Dragonflies']",Canaries,False,False
198,Birds,9,Nonmonotonicity (Specific),6,"['Roosters', 'Ladybugs']",Seagulls,['Roosters'],Seagulls,False,True
199,Birds,9,Nonmonotonicity (Specific),7,"['Turkeys', 'Bumblebees']",Peacocks,['Turkeys'],Peacocks,False,True
200,Birds,9,Nonmonotonicity (Specific),8,['Ostriches'],Doves,"['Ostriches', 'Flees']",Doves,False,False
201,Birds,9,Nonmonotonicity (Specific),9,['Pelicans'],Falcons,"['Pelicans', 'Moths']",Falcons,False,False
202,Birds,9,Nonmonotonicity (Specific),10,"['Parrots', 'Cockchafers']",Doves,['Parrots'],Doves,False,True
203,Birds,9,Nonmonotonicity (Specific),11,"['Magpies', 'Bumblebees']",Seagulls,['Magpies'],Seagulls,False,True
204,Birds,9,Nonmonotonicity (Specific),12,"['Storks', 'Wasps']",Falcons,['Storks'],Falcons,False,True
205,Birds,9,Nonmonotonicity (Specific),13,"['Canaries', 'Ladybugs']",Blackbirds,['Canaries'],Blackbirds,False,True
206,Birds,9,Nonmonotonicity (Specific),14,['Crows'],Blackbirds,"['Crows', 'Butterflies']",Blackbirds,False,False
207,Birds,9,Nonmonotonicity (Specific),15,['Ostriches'],Peacocks,"['Ostriches', 'Caterpillars']",Peacocks,False,False
208,Birds,9,Nonmonotonicity (Specific),16,['Peacocks'],Blackbirds,"['Peacocks', 'Grasshoppers']",Blackbirds,False,False
209,Birds,9,Nonmonotonicity (Specific),17,['Turkeys'],Pelicans,"['Turkeys', 'Spiders']",Pelicans,False,False
210,Birds,9,Nonmonotonicity (Specific),18,"['Chickens', 'Flies']",Canaries,['Chickens'],Canaries,False,True
211,Birds,9,Nonmonotonicity (Specific),19,"['Turkeys', 'Butterflies']",Swans,['Turkeys'],Swans,False,True
212,Birds,9,Nonmonotonicity (Specific),20,"['Roosters', 'Bees']",Ostriches,['Roosters'],Ostriches,False,True
213,Birds,9,Nonmonotonicity (Specific),21,"['Roosters', 'Flies']",Eagles,['Roosters'],Eagles,False,True
214,Birds,9,Nonmonotonicity (Specific),22,['Ostriches'],Storks,"['Ostriches', 'Bumblebees']",Storks,False,False
215,Birds,9,Nonmonotonicity (Specific),23,['Chickens'],Turkeys,"['Chickens', 'Flies']",Turkeys,False,False
216,Birds,10,Premise-conclusion Asymmetry,0,['Roosters'],Robins,['Robins'],Roosters,False,True
