,domain,conclusion_type,argument,premises,conclusion,avg_ranking,avg_rating,is_osherson,is_single_premise,is_control,is_tutorial,num_ratings,premise_typicality,premise_conclusion_similarity,scm_score,best_scm_score,best_scm_alpha
50,Vehicles,General,"(('Bicycles', 'Trains'), 'All vehicles')","('Bicycles', 'Trains')",All vehicles,3.8,76.5,False,False,False,False,10,"(17.07142857, 17.53571429)","(None, None)",9.858333333333334,9.858333333333334,0.35
51,Vehicles,Specific,"(('Bicycles', 'Trains'), 'Trams')","('Bicycles', 'Trains')",Trams,3.5,60.9,False,False,False,False,10,"(17.07142857, 17.53571429)","(6.533333333333333, 16.533333333333335)",13.195833333333336,14.530833333333335,0.7
52,Vehicles,General,"(('Bicycles', 'Trams'), 'All vehicles')","('Bicycles', 'Trams')",All vehicles,5.3,48.6,False,False,False,False,10,"(17.07142857, 16.57142857)","(None, None)",9.477777777777778,9.477777777777778,0.35
53,Vehicles,General,"(('Bicycles',), 'All vehicles')","('Bicycles',)",All vehicles,8.83838383838384,37.888888888888886,False,True,False,False,99,"(17.07142857,)","(None,)",7.433333333333333,7.433333333333333,0.0
54,Vehicles,Specific,"(('Bicycles',), 'Boats')","('Bicycles',)",Boats,10.555555555555555,39.333333333333336,False,True,False,False,9,"(17.07142857,)","(5.533333333333333,)",6.4833333333333325,6.293333333333333,0.6
55,Vehicles,Specific,"(('Bicycles',), 'Buses')","('Bicycles',)",Buses,13.6,38.7,False,True,False,False,10,"(17.07142857,)","(7.0,)",7.216666666666667,7.173333333333334,0.6
56,Vehicles,Specific,"(('Bicycles',), 'Carriages')","('Bicycles',)",Carriages,10.3,52.75,False,True,False,False,20,"(17.07142857,)","(8.8,)",8.116666666666667,8.253333333333334,0.6
57,Vehicles,Specific,"(('Bicycles',), 'Rockets')","('Bicycles',)",Rockets,17.2,18.5,False,True,False,False,10,"(17.07142857,)","(4.533333333333333,)",5.9833333333333325,5.693333333333333,0.6
58,Vehicles,Specific,"(('Bicycles',), 'Skateboards')","('Bicycles',)",Skateboards,7.0,51.9,False,True,False,False,10,"(17.07142857,)","(8.733333333333333,)",8.083333333333332,8.213333333333333,0.6
59,Vehicles,Specific,"(('Bicycles',), 'Submarines')","('Bicycles',)",Submarines,15.5,28.1,False,True,False,False,10,"(17.07142857,)","(4.533333333333333,)",5.9833333333333325,5.693333333333333,0.6
60,Vehicles,Specific,"(('Bicycles',), 'Trams')","('Bicycles',)",Trams,10.1,32.5,False,True,False,False,10,"(17.07142857,)","(6.533333333333333,)",6.9833333333333325,6.893333333333333,0.6
61,Birds,Specific,"(('Blackbirds', 'Crows'), 'Pelicans')","('Blackbirds', 'Crows')",Pelicans,10.0,46.3,False,False,False,False,10,"(18.82142857, 18.10714286)","(6.764705882352941, 7.9411764705882355)",9.435049019607844,7.9411764705882355,1.0
62,Birds,General,"(('Blackbirds', 'Doves'), 'All birds')","('Blackbirds', 'Doves')",All birds,5.4,53.9,False,False,False,False,10,"(18.82142857, 18.14285714)","(None, None)",10.845588235294116,10.845588235294116,0.3
63,Birds,Specific,"(('Blackbirds', 'Ducks'), 'Seagulls')","('Blackbirds', 'Ducks')",Seagulls,5.6,68.7,False,False,False,False,10,"(18.82142857, 12.78571429)","(9.588235294117647, 8.588235294117647)",10.448529411764708,9.588235294117647,1.0
64,Birds,Specific,"(('Blackbirds', 'Eagles'), 'Falcons')","('Blackbirds', 'Eagles')",Falcons,2.8,74.9,False,False,False,False,10,"(18.82142857, 16.92592593)","(8.647058823529411, 15.294117647058824)",13.272058823529411,15.294117647058824,1.0
65,Birds,Specific,"(('Blackbirds', 'Parrots'), 'Ostriches')","('Blackbirds', 'Parrots')",Ostriches,6.1,48.5,False,False,False,False,10,"(18.82142857, 15.85714286)","(5.529411764705882, 7.0588235294117645)",8.875,7.0588235294117645,1.0
66,Birds,Specific,"(('Blackbirds', 'Robins'), 'Roosters')","('Blackbirds', 'Robins')",Roosters,7.0,58.1,False,False,False,False,10,"(18.82142857, 18.32142857)","(7.764705882352941, 7.705882352941177)",8.887254901960784,7.764705882352941,1.0
67,Birds,Specific,"(('Blackbirds', 'Storks'), 'Canaries')","('Blackbirds', 'Storks')",Canaries,8.7,57.7,False,False,False,False,10,"(18.82142857, 15.39285714)","(11.058823529411764, 6.0588235294117645)",11.284313725490197,11.058823529411764,1.0
68,Birds,General,"(('Blackbirds',), 'All birds')","('Blackbirds',)",All birds,6.327272727272727,53.02727272727272,False,True,False,False,110,"(18.82142857,)","(None,)",9.519607843137257,9.519607843137255,0.45
69,Birds,Specific,"(('Blackbirds',), 'Canaries')","('Blackbirds',)",Canaries,8.0,62.1,False,True,False,False,20,"(18.82142857,)","(11.058823529411764,)",10.28921568627451,11.058823529411764,1.0
70,Birds,Specific,"(('Blackbirds',), 'Doves')","('Blackbirds',)",Doves,10.9,51.5,False,True,False,False,10,"(18.82142857,)","(12.058823529411764,)",10.78921568627451,12.058823529411764,1.0
71,Birds,Specific,"(('Blackbirds',), 'Falcons')","('Blackbirds',)",Falcons,10.2,47.0,False,True,False,False,10,"(18.82142857,)","(8.647058823529411,)",9.083333333333332,8.647058823529411,1.0
72,Birds,Specific,"(('Blackbirds',), 'Magpies')","('Blackbirds',)",Magpies,6.5,68.1,False,True,False,False,10,"(18.82142857,)","(14.058823529411764,)",11.78921568627451,14.058823529411764,1.0
73,Birds,Specific,"(('Blackbirds',), 'Ostriches')","('Blackbirds',)",Ostriches,12.55,44.85,False,True,False,False,20,"(18.82142857,)","(5.529411764705882,)",7.524509803921568,5.529411764705882,1.0
74,Birds,Specific,"(('Blackbirds',), 'Pelicans')","('Blackbirds',)",Pelicans,10.4,53.2,False,True,False,False,10,"(18.82142857,)","(6.764705882352941,)",8.142156862745098,6.764705882352941,1.0
75,Birds,Specific,"(('Blackbirds',), 'Roosters')","('Blackbirds',)",Roosters,13.8,44.9,False,True,False,False,10,"(18.82142857,)","(7.764705882352941,)",8.642156862745098,7.764705882352941,1.0
76,Birds,Specific,"(('Blackbirds',), 'Seagulls')","('Blackbirds',)",Seagulls,7.7,65.8,False,True,False,False,10,"(18.82142857,)","(9.588235294117647,)",9.553921568627452,9.588235294117647,1.0
77,Birds,Specific,"(('Blackbirds',), 'Sparrows')","('Blackbirds',)",Sparrows,7.2,61.5,False,True,False,False,10,"(18.82142857,)","(14.0,)",11.759803921568627,14.0,1.0
78,Birds,Specific,"(('Blackbirds',), 'Swallows')","('Blackbirds',)",Swallows,8.05,64.4,False,True,False,False,20,"(18.82142857,)","(11.764705882352942,)",10.642156862745098,11.764705882352942,1.0
79,Vehicles,Specific,"(('Boats', 'Bicycles'), 'Buses')","('Boats', 'Bicycles')",Buses,7.2,39.9,False,False,False,False,10,"(12.75, 17.07142857)","(8.266666666666667, 7.0)",8.816666666666666,8.596666666666668,0.7
80,Vehicles,General,"(('Boats', 'Hovercraft'), 'All vehicles')","('Boats', 'Hovercraft')",All vehicles,5.9,24.2,False,False,False,False,10,"(12.75, 9.52173913)","(None, None)",8.1,8.1,0.35
81,Vehicles,Specific,"(('Boats', 'Jeeps'), 'Cars')","('Boats', 'Jeeps')",Cars,3.5,67.1,False,False,False,False,10,"(12.75, 17.92857143)","(6.6, 17.2)",13.666666666666666,15.08,0.7
82,Vehicles,Specific,"(('Boats', 'Skateboards'), 'Mopeds')","('Boats', 'Skateboards')",Mopeds,5.2,66.4,False,False,False,False,10,"(12.75, 8.535714286)","(5.266666666666667, 6.4)",7.579166666666667,7.1075,0.7
83,Vehicles,Specific,"(('Boats', 'Submarines'), 'Vans')","('Boats', 'Submarines')",Vans,8.0,34.2,False,False,False,False,10,"(12.75, 7.321428571)","(6.466666666666667, 5.533333333333333)",7.215277777777778,6.9158333333333335,0.7
84,Vehicles,General,"(('Boats', 'Trams'), 'All vehicles')","('Boats', 'Trams')",All vehicles,5.2,42.9,False,False,False,False,10,"(12.75, 16.57142857)","(None, None)",9.525,9.525,0.35
85,Vehicles,Specific,"(('Boats', 'Trams'), 'Buses')","('Boats', 'Trams')",Buses,5.6,61.5,False,False,False,False,10,"(12.75, 16.57142857)","(8.266666666666667, 14.0)",11.7625,12.657499999999999,0.7
86,Vehicles,General,"(('Boats',), 'All vehicles')","('Boats',)",All vehicles,9.383838383838384,33.91919191919192,False,True,False,False,99,"(12.75,)","(None,)",7.555555555555554,7.5555555555555545,0.0
87,Vehicles,Specific,"(('Boats',), 'Buses')","('Boats',)",Buses,11.55,42.1,False,True,False,False,20,"(12.75,)","(8.266666666666667,)",7.911111111111111,7.982222222222222,0.6
88,Vehicles,Specific,"(('Boats',), 'Caravans')","('Boats',)",Caravans,11.6,35.45,False,True,False,False,20,"(12.75,)","(8.0,)",7.777777777777777,7.822222222222222,0.6
89,Vehicles,Specific,"(('Boats',), 'Cars')","('Boats',)",Cars,9.9,40.2,False,True,False,False,10,"(12.75,)","(6.6,)",7.0777777777777775,6.982222222222221,0.6
90,Vehicles,Specific,"(('Boats',), 'Carts')","('Boats',)",Carts,14.6,29.8,False,True,False,False,10,"(12.75,)","(6.333333333333333,)",6.944444444444444,6.822222222222222,0.6
91,Vehicles,Specific,"(('Boats',), 'Hovercraft')","('Boats',)",Hovercraft,9.3,53.2,False,True,False,False,10,"(12.75,)","(14.533333333333333,)",11.044444444444444,11.742222222222221,0.6
92,Vehicles,Specific,"(('Boats',), 'Mopeds')","('Boats',)",Mopeds,14.75,31.6,False,True,False,False,20,"(12.75,)","(5.266666666666667,)",6.411111111111111,6.182222222222222,0.6
93,Vehicles,Specific,"(('Boats',), 'Skateboards')","('Boats',)",Skateboards,14.31578947368421,28.84210526315789,False,True,False,False,19,"(12.75,)","(4.933333333333334,)",6.244444444444444,5.982222222222222,0.6
94,Vehicles,Specific,"(('Boats',), 'Tractors')","('Boats',)",Tractors,12.65,32.65,False,True,False,False,20,"(12.75,)","(5.6,)",6.5777777777777775,6.382222222222222,0.6
95,Vehicles,Specific,"(('Boats',), 'Trams')","('Boats',)",Trams,11.2,42.2,False,True,False,False,10,"(12.75,)","(5.466666666666667,)",6.511111111111111,6.3022222222222215,0.6
96,Vehicles,Specific,"(('Boats',), 'Vans')","('Boats',)",Vans,14.3,40.2,False,True,False,False,10,"(12.75,)","(6.466666666666667,)",7.011111111111111,6.902222222222222,0.6
97,Vehicles,Specific,"(('Buses', 'Cars'), 'Zeppelins')","('Buses', 'Cars')",Zeppelins,6.9,28.3,False,False,False,False,10,"(18.5, 19.67857143)","(7.4, 5.8)",9.166666666666666,8.459999999999999,0.7
98,Vehicles,Specific,"(('Buses', 'Mopeds'), 'Cars')","('Buses', 'Mopeds')",Cars,4.0,73.4,False,False,False,False,10,"(18.5, 16.75)","(12.066666666666666, 9.533333333333333)",11.4,11.666666666666666,0.7
99,Vehicles,Specific,"(('Buses', 'Rockets'), 'Airplanes')","('Buses', 'Rockets')",Airplanes,5.0,60.0,False,False,False,False,10,"(18.5, 6.5)","(9.266666666666667, 12.0)",11.144444444444446,11.486666666666666,0.7
100,Vehicles,General,"(('Buses', 'Sleds'), 'All vehicles')","('Buses', 'Sleds')",All vehicles,5.4,64.4,False,False,False,False,10,"(18.5, 8.071428571)","(None, None)",10.56111111111111,10.56111111111111,0.35
101,Vehicles,Specific,"(('Buses', 'Trucks'), 'Zeppelins')","('Buses', 'Trucks')",Zeppelins,8.0,42.7,False,False,False,False,10,"(18.5, 17.07142857)","(7.4, 6.4)",8.804166666666667,8.2425,0.7
102,Vehicles,Specific,"(('Buses',), 'Airplanes')","('Buses',)",Airplanes,10.7,33.5,False,True,False,False,10,"(18.5,)","(9.266666666666667,)",9.348611111111111,9.332222222222223,0.6
103,Vehicles,General,"(('Buses',), 'All vehicles')","('Buses',)",All vehicles,5.393939393939394,49.86868686868687,False,True,False,False,99,"(18.5,)","(None,)",9.430555555555555,9.430555555555555,0.0
104,Vehicles,Specific,"(('Buses',), 'Boats')","('Buses',)",Boats,10.65,43.5,False,True,False,False,20,"(18.5,)","(8.266666666666667,)",8.848611111111111,8.732222222222223,0.6
105,Vehicles,Specific,"(('Buses',), 'Carriages')","('Buses',)",Carriages,10.25,41.75,False,True,False,False,20,"(18.5,)","(9.133333333333333,)",9.281944444444443,9.252222222222223,0.6
106,Vehicles,Specific,"(('Buses',), 'Cars')","('Buses',)",Cars,8.6,60.3,False,True,False,False,10,"(18.5,)","(12.066666666666666,)",10.74861111111111,11.01222222222222,0.6
107,Vehicles,Specific,"(('Buses',), 'Trains')","('Buses',)",Trains,7.55,63.2,False,True,False,False,20,"(18.5,)","(12.866666666666667,)",11.148611111111112,11.492222222222221,0.6
108,Vehicles,Specific,"(('Buses',), 'Vans')","('Buses',)",Vans,4.3,79.4,False,True,False,False,10,"(18.5,)","(12.6,)",11.015277777777778,11.33222222222222,0.6
109,Vehicles,Specific,"(('Buses',), 'Zeppelins')","('Buses',)",Zeppelins,14.066666666666666,32.03333333333333,False,True,False,False,30,"(18.5,)","(7.4,)",8.415277777777778,8.212222222222223,0.6
110,Mammals,Specific,"(('Camels', 'Beavers'), 'Donkeys')","('Camels', 'Beavers')",Donkeys,4.9,54.9,False,False,False,False,10,"(14.42857143, 14.0)","(10.0, 6.526315789473684)",9.93092105263158,9.924013157894738,0.45
111,Mammals,Specific,"(('Camels', 'Beavers'), 'Elephants')","('Camels', 'Beavers')",Elephants,5.6,55.8,False,False,False,False,10,"(14.42857143, 14.0)","(8.68421052631579, 5.421052631578948)",9.273026315789473,9.331907894736842,0.45
112,Mammals,General,"(('Camels', 'Cows'), 'All mammals')","('Camels', 'Cows')",All mammals,3.0,68.1,False,False,False,False,10,"(14.42857143, 17.60714286)","(None, None)",9.414473684210527,9.414473684210527,0.95
113,Mammals,General,"(('Camels', 'Donkeys'), 'All mammals')","('Camels', 'Donkeys')",All mammals,4.6,55.1,False,False,False,False,10,"(14.42857143, 16.82142857)","(None, None)",9.780701754385964,9.780701754385964,0.95
114,Mammals,General,"(('Camels', 'Giraffes'), 'All mammals')","('Camels', 'Giraffes')",All mammals,5.3,67.4,False,False,False,False,10,"(14.42857143, 15.96428571)","(None, None)",9.133771929824562,9.133771929824562,0.95
115,Mammals,Specific,"(('Camels', 'Giraffes'), 'Cats')","('Camels', 'Giraffes')",Cats,9.2,36.8,False,False,False,False,10,"(14.42857143, 15.96428571)","(6.631578947368421, 5.684210526315789)",7.8826754385964914,8.007785087719299,0.45
116,Mammals,Specific,"(('Camels', 'Horses'), 'Cats')","('Camels', 'Horses')",Cats,7.5,32.8,False,False,False,False,10,"(14.42857143, 17.53571429)","(6.631578947368421, 7.0)",8.448464912280702,8.593311403508773,0.45
117,Mammals,Specific,"(('Camels', 'Wolves'), 'Dogs')","('Camels', 'Wolves')",Dogs,3.5,74.3,False,False,False,False,10,"(14.42857143, 17.03571429)","(7.2631578947368425, 13.526315789473685)",11.857456140350877,11.690570175438598,0.45
118,Mammals,Specific,"(('Camels', 'Wolves'), 'Llamas')","('Camels', 'Wolves')",Llamas,5.3,57.6,False,False,False,False,10,"(14.42857143, 17.03571429)","(12.736842105263158, 8.526315789473685)",11.462719298245611,11.33530701754386,0.45
119,Mammals,General,"(('Camels',), 'All mammals')","('Camels',)",All mammals,7.454545454545454,48.15151515151515,False,True,False,False,99,"(14.42857143,)","(None,)",8.432017543859649,8.432017543859649,0.15
120,Mammals,Specific,"(('Camels',), 'Cats')","('Camels',)",Cats,14.5,27.85,False,True,False,False,20,"(14.42857143,)","(6.631578947368421,)",7.531798245614035,6.631578947368421,1.0
121,Mammals,Specific,"(('Camels',), 'Dogs')","('Camels',)",Dogs,9.5,55.7,False,True,False,False,10,"(14.42857143,)","(7.2631578947368425,)",7.847587719298246,7.2631578947368425,1.0
122,Mammals,Specific,"(('Camels',), 'Donkeys')","('Camels',)",Donkeys,6.4,55.8,False,True,False,False,10,"(14.42857143,)","(10.0,)",9.216008771929824,10.0,1.0
123,Mammals,Specific,"(('Camels',), 'Elephants')","('Camels',)",Elephants,7.8,57.8,False,True,False,False,10,"(14.42857143,)","(8.68421052631579,)",8.55811403508772,8.68421052631579,1.0
124,Mammals,Specific,"(('Camels',), 'Hedgehogs')","('Camels',)",Hedgehogs,14.1,21.4,False,True,False,False,10,"(14.42857143,)","(6.157894736842105,)",7.294956140350877,6.157894736842105,1.0
125,Mammals,Specific,"(('Camels',), 'Llamas')","('Camels',)",Llamas,5.421052631578948,72.57894736842105,False,True,False,False,19,"(14.42857143,)","(12.736842105263158,)",10.584429824561404,12.736842105263158,1.0
126,Mammals,Specific,"(('Camels',), 'Mice')","('Camels',)",Mice,13.6,37.4,False,True,False,False,10,"(14.42857143,)","(4.526315789473684,)",6.479166666666666,4.526315789473684,1.0
