,i,prompt_generator,domain,conclusion_type,is_single_premise,gpt3_spearmanr,gpt4_spearmanr,gpt3_scm_spearmanr,gpt4_scm_spearmanr,human_scm_spearmanr,gpt3_pval,gpt4_pval,gpt3_scm_pval,gpt4_scm_pval,human_scm_pval
86,1,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.3431770818106824,0.205650062630831,0.47584073652608877,0.4478479843830146,0.4650197563565939,0.0004733410818744461,0.040107481502132614,5.631560709670878e-07,2.9820119081079776e-06,1.0916571552592596e-06
87,1,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.5120606093920944,0.46656650579555287,0.5533177283235596,0.5343613646943083,0.5675659045246044,1.7706580725606431e-12,2.362239306991348e-10,1.0675277778496103e-14,1.2183958387447182e-13,1.5432888298986255e-15
88,1,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.481602533848893,0.31697359898667443,0.49412223188275856,0.3049858975506183,0.44327501138089864,3.921896078240334e-07,0.0013128092104569844,1.7457685510349132e-07,0.0020329600107943254,3.86178574303795e-06
89,1,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.14535901926444833,-0.4370953902688023,0.6208406304728545,0.2714535901926445,0.38616462346760067,0.4979561073366071,0.032697381147732796,0.001206726394506904,0.19945427317801442,0.0623399755732804
90,1,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.5100291021790208,0.737634466245208,0.7289802766081698,0.7204408077707848,0.8039501588688482,2.3437121183132714e-08,1.9149610450835306e-19,8.077004722444313e-19,3.169312835302067e-18,3.2484004366954237e-25
91,1,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6843954803101949,0.7824349300649096,0.7456063360437702,0.7130986092312454,0.8032570134429029,1.018321964378218e-23,9.824253734731938e-35,5.2575557842192325e-30,1.839497109713235e-26,7.752400457332279e-38
92,1,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.5945029925191706,0.35751605552080207,0.24113710177200837,0.3929633182975371,0.5616859659834691,6.974036663191569e-11,0.00026053309365684033,0.015656227716137675,5.250842716805341e-05,1.2031844555390828e-09
93,1,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8754932047347653,0.6563483191606739,0.3564226216571679,0.7088996054362121,0.8947829899167031,2.1358691532920586e-08,0.0004956580791849236,0.08734732615300994,0.00010546107737085144,3.6793673427943696e-09
94,1,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.7487952455525223,0.6910815519034404,0.7901467681913015,0.7922365634103394,0.7805265039933165,3.3349572528585976e-19,1.7517477041319388e-15,1.480288097884015e-22,9.573753492043891e-23,1.0343887933445513e-21
95,1,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.7630389542782096,0.8479311056596975,0.7650689138731339,0.7738229930819914,0.8029184084919025,1.6148556252449663e-32,1.6365982327834907e-46,8.807034514177083e-33,6.000277475194825e-34,3.095894223279159e-38
144,2,S3-C1-A1-Q1-O1-T,Birds,General,False,0.2061317836678254,0.09796455535364275,-0.08065127103791796,0.08594285628569746,-0.08319621242753794,0.039632939004393665,0.33221407277711845,0.4250600148477063,0.39521503755709564,0.4105476415355165
145,2,S3-C1-A1-Q1-O1-T,Birds,General,True,0.4121773160049115,0.031990495664579774,0.5081038114406985,0.633815702719561,0.39334243333943725,0.045344951708614384,0.8820334285775093,0.011245637473675163,0.0008828220626920171,0.05722681536185481
146,2,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.5393204294609851,0.346644288297993,0.4748284932274269,0.5415627385787254,0.3857012144616983,7.0635495935186924e-09,0.00041076446308946476,5.997064823758834e-07,5.94942768029581e-09,7.401364046857916e-05
147,2,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.39750971039841837,0.48737062948984816,0.4979544664438552,0.5173716819851215,0.5612157684176675,1.1390178949573927e-07,2.7556636551148535e-11,8.727341557572196e-12,9.527023882532917e-13,3.6961728701299914e-15
148,2,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.3798600050971488,0.18467310575095974,0.42022353911016247,0.418531087723318,0.4421363732797427,9.698860783853878e-05,0.0658611142929918,1.3447701166159612e-05,1.4685601848873792e-05,4.116167075262796e-06
149,2,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.3296126777489553,-0.20928930907403048,0.5143358517330976,0.7051872826740597,0.6298972686331298,0.11574484523596543,0.3263480980160923,0.010130412356149567,0.00011890453782751536,0.0009716241190199571
150,2,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.3719524722931603,0.6191021967503677,0.6196283835798188,0.6019782987928421,0.7286495442534467,8.640453269195218e-05,1.5085349445844742e-12,1.4266663226096626e-12,8.773180628168048e-12,8.524375340652336e-19
151,2,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6442407807094449,0.7155202382187793,0.7247481159755493,0.7492622507160405,0.8139143093304861,2.2708010138281704e-20,1.0419283137161474e-26,1.130061836985356e-27,1.9429841762408922e-30,1.4244489937440785e-39
152,2,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.5310769533933141,0.41071048402033433,0.43383470911716754,0.40246830049450555,0.5585518375242238,1.3135717298565049e-08,2.1926112561940044e-05,6.508697953100007e-06,3.3096315127215456e-05,1.554153650059491e-09
153,2,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8394144836572431,0.6743923512625325,0.4138081811678341,0.7856674865256238,0.8852960665744791,2.9427909038075936e-07,0.00030152073404372283,0.044414972763206675,5.391476632097122e-06,9.086043458534983e-09
154,2,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.6970150362068128,0.848875216745726,0.8323335675218179,0.8504320833142929,0.8359439845488005,7.974904416196399e-16,6.92832522333852e-29,7.38071861785177e-27,4.339112757306738e-29,2.7855893301843876e-27
155,2,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.7112302999790733,0.847784591254907,0.7382095774285696,0.7496207339185921,0.7706285215906126,1.3951434318366676e-26,1.7583417314066896e-46,1.693073528691391e-29,7.665748322528974e-31,1.6214029096708792e-33
204,3,S3-C1-A1-Q1-O1-T,Birds,General,False,0.43482789264892674,-0.035975641761397815,-0.08472342961942031,0.16665318495341797,-0.02160441447393529,6.165395639010617e-06,0.7223285600690531,0.40197973675292953,0.0974810484652524,0.8310517751438626
205,3,S3-C1-A1-Q1-O1-T,Birds,General,True,0.43947368421052635,0.3010636179605509,0.3771929824561404,0.48070175438596496,-0.02368421052631579,0.031654814856946066,0.15283581787337958,0.06921655826070307,0.01741805693001823,0.9125287627190978
206,3,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.4719520011181434,0.37758354533599625,0.591453515068865,0.5703303897452138,0.44480485114290796,7.162568776685436e-07,0.00010761713096197353,9.210867121521391e-11,5.85677891488071e-10,3.5432944696836316e-06
207,3,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.45466664064936835,0.35556550321462643,0.5701924514621485,0.5109659733312958,0.5921703149381439,7.577657206275912e-10,2.5879929281584183e-06,1.0694727274393669e-15,2.0092617386031565e-12,4.356088674143174e-17
208,3,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.5344723157494959,0.30872392351439126,0.4331681270600031,0.3795135143357159,0.47809469836868823,1.0194202118496261e-08,0.001777221741254097,6.7491189308832124e-06,9.854076175579202e-05,4.892172587038649e-07
209,3,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.5350262697022766,,0.701401050788091,0.8362521891418564,0.47373029772329245,0.007062276401186418,,0.00013413640498125017,3.59052953333104e-07,0.019364771756889308
210,3,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.5554698796127444,0.7441920665792504,0.7265752509219228,0.7051959014515844,0.8003519025367314,6.406717608451345e-10,6.19277453414301e-20,1.1932213124177551e-18,3.2212613615973433e-17,7.571859223750009e-25
211,3,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6423788506217543,0.7213877918607529,0.7474588667133255,0.773325846144019,0.8558745994821904,3.1578889685688135e-20,2.5639209971090694e-27,3.181620966391923e-30,1.7550879385672842e-33,1.1193096029822032e-47
212,3,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.6049609893246217,0.4274316688658601,0.29948647163913883,0.39055166588007584,0.5419241792885602,2.6265256963471416e-11,9.192771740627293e-06,0.002469842542188932,5.890117407463793e-05,5.786388380722005e-09
213,3,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.858267716535433,0.7424893694134878,0.4986876640419947,0.7296587926509186,0.9606299212598425,8.17064640842732e-08,3.258318041224601e-05,0.013121272359482522,5.2063623180298454e-05,1.0113891897419679e-13
214,3,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.8332272869314131,0.8924108605512693,0.7907490801779437,0.7705396605408866,0.7767891401868002,5.811488173642234e-27,1.2132778507219092e-35,1.306226209215172e-22,7.036420893899817e-21,2.1444469688138735e-21
215,3,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.6537837271716455,0.8537481450463189,0.7511316293195904,0.7783204093158523,0.7869954285763417,2.298905619360504e-21,8.902749325269339e-48,5.025071919928586e-31,1.4395965317753029e-34,8.325859420899454e-36
264,4,S3-C1-A1-Q1-O1-T,Birds,General,False,0.3529111964992061,0.09785207837525936,-0.0839837590037846,0.22670613872442585,-0.0048831620867768235,0.0003165765228841625,0.3327721740921572,0.40611612939802955,0.02331844207734487,0.9615425313480187
265,4,S3-C1-A1-Q1-O1-T,Birds,General,True,0.6358862144420131,0.5267226015355972,0.45470459518599565,0.7803063457330417,0.0827133479212254,0.0008387860566322088,0.008184256786256495,0.02559004135053673,6.886180903107322e-06,0.7008014163813425
266,4,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.31623472336984765,0.3433837197765517,0.3987025301101172,0.37988775951640186,0.32087834331523146,0.0013493812438627685,0.0004693792522688126,3.980393175221843e-05,9.686526628162666e-05,0.0011340659686791784
267,4,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.3868480028069078,0.4720929386884208,0.536794038365661,0.5473526500946702,0.6466800803923753,2.627183085478435e-07,1.3537483920852262e-10,8.990234239984121e-14,2.3351408356968264e-14,4.912949012996045e-21
268,4,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.554117722487478,0.43272959407427697,0.5197305150599102,0.5255586932759488,0.5930229132562118,2.222325347150603e-09,6.911822133851283e-06,3.0041614567897244e-08,1.9716411514414687e-08,7.98510690077622e-11
269,4,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.6624149231510782,0.41202986744897513,0.7882121794732617,0.7371895160698584,0.4917529110776264,0.000420908326876029,0.045429778321727676,4.788709879716695e-06,3.967004702223104e-05,0.014660955848073951
270,4,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.447209057934435,0.6178895013993309,0.6304822035010639,0.6012304827319581,0.7526054912958469,1.5401679022078993e-06,1.71487622997544e-12,4.4073170073436064e-13,9.451848350192245e-12,1.3822574364186136e-20
271,4,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.7099713245110788,0.6740264827404256,0.7507803098244218,0.7229121829891345,0.814259087145131,3.799642428957858e-26,8.373995710411192e-23,1.278667852928639e-30,1.770704062542477e-27,1.2463422512392458e-39
272,4,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.6464299487377264,0.43781819431773306,0.5723033377657848,0.550356141309268,0.7058189542051964,3.7562861727659034e-13,5.231882029204476e-06,4.954758914454864e-10,2.9977494556966615e-09,2.3937978759466636e-16
273,4,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.950021920210434,0.6339598296117481,0.6212187637001315,0.7492327926348091,0.8430512932924155,1.3278128381550113e-12,0.0008796936235080295,0.0011960155148013042,2.5192124848945793e-05,2.3285652522107113e-07
274,4,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.8227498083419513,0.8718702762270018,0.8237227375866731,0.782799651947579,0.794955261770521,8.795835896059505e-26,3.799825631699051e-32,6.886587882141932e-26,6.59257489741408e-22,5.390049891606929e-23
275,4,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.6114005803282789,0.8631052006706446,0.7717537374590318,0.7493518454257105,0.7487188305800393,3.4595190562004153e-18,6.253413200702313e-50,1.1445195572608085e-33,8.261491719459225e-31,9.849544213274448e-31
324,5,S3-C1-A1-Q1-O1-T,Birds,General,False,0.26858826235828215,0.31399680854513795,-0.15450777184567652,0.13520089492390092,0.035042935664559245,0.006893353822810105,0.0014658674668010995,0.12481208704995658,0.1798627157155427,0.7292450703914117
325,5,S3-C1-A1-Q1-O1-T,Birds,General,True,0.6276828734121769,0.59006340442073,0.8484450284713098,0.7660972404730617,0.5786246167323696,0.001025123856770257,0.0024048174006641387,1.6274832586289045e-07,1.2766823103050432e-05,0.003054995108148322
326,5,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.3875024697368982,0.4482286019896526,0.6290098827615034,0.6246798771716406,0.5849471213012775,6.80233642426444e-05,2.918036507224415e-06,2.416440174378474e-12,3.769898825407161e-12,1.6516016530334684e-10
327,5,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.47404014879269923,0.4405913922523363,0.512483495862573,0.49360491421046515,0.5488510034698333,1.1099739816995703e-10,2.8424711843926573e-09,1.6860568734461404e-12,1.4065887364033787e-11,1.9211413868385615e-14
328,5,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.4238010803700144,0.14788938355200096,0.3177364995369779,0.3018610913941455,0.3613755958391186,1.1146222262560463e-05,0.14199889745276884,0.001275995079651154,0.0022717616518066817,0.00022077564996843762
329,5,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.392982456140351,-0.188484258731263,0.3473684210526316,0.7605263157894737,0.6710526315789475,0.05747526315366626,0.3777601802067937,0.09628041880993363,1.6077004454542863e-05,0.0003314041923100972
330,5,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.5181258537233194,0.7050771486734079,0.6496563139528386,0.7004958693575867,0.7373449679745346,1.2822146864780806e-08,3.278074474828187e-17,4.925115880671185e-14,6.392862658196735e-17,2.011254231806542e-19
331,5,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6306341926221971,0.710942848510848,0.6900541797960479,0.7397522309789666,0.8041355297462714,2.401664175671618e-19,3.03612278238368e-26,3.106918869092893e-24,2.4996418333064795e-29,5.628659247200768e-38
332,5,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.5386750498319957,0.35417494519489484,0.4561904703604081,0.43617437255343317,0.6028545011116996,7.419564741347689e-09,0.00030018173740054406,1.842660510296234e-06,5.727143332562191e-06,3.206597717962039e-11
333,5,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8678915135608049,0.6184960873736107,0.4636920384951881,0.6885389326334208,0.874015748031496,3.9507682735624176e-08,0.001274990862916666,0.022474605998595923,0.00019936000054481196,2.4144766411779747e-08
334,5,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.7784760219705424,0.8471213283307327,0.8220872998834294,0.7525962742348214,0.8049682370540696,1.5458348720966623e-21,1.1664188657680145e-28,1.0381792917948658e-25,1.7486797252553588e-19,6.01564395685509e-24
335,5,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.7397203117161585,0.861302235835064,0.7278140512953613,0.7611556626200239,0.7642907510782545,1.1344272853439711e-29,1.671995490539318e-49,2.4748585369919885e-28,2.8188037975839585e-32,1.1119302458891288e-32
384,6,S3-C1-A1-Q1-O1-T,Birds,General,False,0.15101569461858566,-0.03090005274832373,-0.09937994031481047,0.10154729710663245,-0.08039060875678315,0.13366979954683567,0.7602225816912791,0.3252419884593669,0.31474879791491384,0.42656289674556536
385,6,S3-C1-A1-Q1-O1-T,Birds,General,True,0.6685564762320103,0.32441788053155074,0.5909289140863497,0.7950283471434801,0.42346271260357615,0.0003553876920535727,0.12194796895387336,0.002360822788801882,3.4579887641835483e-06,0.039211920194567644
386,6,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.4488084805739273,0.26158668261529094,0.47261844307127643,0.43813815672954376,0.33389822502906263,2.82305531018069e-06,0.008565591498207003,6.87482138586245e-07,5.140299700033553e-06,0.0006863206865810182
387,6,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.5531608976418022,0.6028321550860515,0.5813829640168319,0.6259024832536821,0.6359562090047793,1.089941680406599e-14,8.43110845306997e-18,2.1599079847086713e-16,1.940355459538981e-19,3.392594892794854e-20
388,6,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.4649181739560305,0.247731947563514,0.393323235217621,0.321794323609277,0.5717958459903815,1.0983439717481413e-06,0.012953708300716424,5.161185458858789e-05,0.0010954817080486626,5.173116836793269e-10
389,6,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.5393356643356644,0.156034310091253,0.6031468531468532,0.8076923076923076,0.6940559440559441,0.006532544885573051,0.4665647614171684,0.001809046899548466,1.8267758101689297e-06,0.0001686096212114003
390,6,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.5110103198909599,0.7218253095937817,0.6794918803143438,0.7414600233641413,0.7745009613358605,2.1803308364431316e-08,2.5480394821736277e-18,1.1706357823164733e-15,9.952693109356606e-20,2.070874427766887e-22
391,6,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6334389374791145,0.7601447521247401,0.7295589576622226,0.8189216352518071,0.8528193627649228,1.4911524696863813e-19,9.040169481951585e-32,3.4233685378589796e-28,1.9911153098140504e-40,5.272853455185968e-47
392,6,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.6370543215671164,0.48551285586143933,0.6130809319762369,0.48566454753593064,0.6938562790894734,1.038074810443533e-12,3.056375969968256e-07,1.2003274231713433e-11,3.026765548694772e-07,1.2152979006599421e-15
393,6,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8747810858143605,0.7107490409676145,0.4378283712784588,0.6094570928196147,0.882661996497373,2.2663295798877732e-08,9.927485952981111e-05,0.03237319505888153,0.0015700547162193538,1.1516557446309491e-08
394,6,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.7790713330581363,0.7995451354658449,0.7994308525550509,0.7338072759990861,0.7834362315170738,1.3762551279162193e-21,2.0033013040025617e-23,2.0539216394418977e-23,3.816302262534707e-18,5.805629102586342e-22
395,6,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.750525841080566,0.869426758567831,0.7368077350170592,0.7509925040878949,0.771239732265421,5.95440780995767e-31,1.7741983790500385e-51,2.448894715505999e-29,5.224997791376098e-31,1.3422407495730618e-33
444,7,S3-C1-A1-Q1-O1-T,Birds,General,False,0.43043237460611644,0.34945517825322425,-0.14997845775478655,0.20215256075949156,-0.07109288441332995,7.826221119355098e-06,0.00036571868249740566,0.13639089947121763,0.04369707787349685,0.4821300377683234
445,7,S3-C1-A1-Q1-O1-T,Birds,General,True,0.284339457567804,0.15543137377694227,0.29133858267716534,0.7016622922134733,0.27296587926509186,0.17810830770428046,0.4683100321330337,0.16720216110681377,0.0001330332318292125,0.19686306260423847
446,7,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.3111060894665407,0.4192325724848629,0.43467404801177545,0.47541892167615135,0.370349520160144,0.0016298178708315488,1.4160073794028063e-05,6.217432797327256e-06,5.781224615456996e-07,0.00014900480913281435
447,7,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.47713818776069783,0.5145907401180274,0.5734162716618704,0.5784753909489287,0.6339525174878237,8.07243958317095e-11,1.3197244481510216e-12,6.787787590184507e-16,3.292275005452075e-16,4.8271479637543473e-20
448,7,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.36966473260544175,0.39839033688448244,0.34420543767767126,0.29958317454906663,0.5125762630348285,0.0001536054723065056,4.0413558215199116e-05,0.0004539241124155605,0.0024614815170446863,4.984123298092672e-08
449,7,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.19026838768449952,-0.2954625578484583,0.4857080630569908,0.4438141061356331,0.7113244768938859,0.3731784500045152,0.1609991584792946,0.016120925620884952,0.029820512115964606,9.741603446564768e-05
450,7,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.49681732844832127,0.7327667143273195,0.7127770529004342,0.7007619161777516,0.7795412635055674,6.066975539310138e-08,4.3325324596561596e-19,1.036052747512968e-17,6.151768545396865e-17,7.36161570557812e-23
451,7,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6150850368278019,0.7676517983566765,0.7578497525711106,0.7730384282287226,0.8183611522128579,3.0958596656144418e-18,9.887146738836302e-33,1.7497941739230177e-31,1.9180131935292077e-33,2.489171208836471e-40
452,7,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.6031231719283876,0.39218228676874456,0.48379487837163465,0.4312437705571622,0.6102843125928082,3.1262690614237296e-11,5.450422630842187e-05,3.4115266503202546e-07,7.49096976808779e-06,1.575871430120438e-11
453,7,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8486310704376111,0.5208738580505851,0.3982476215941087,0.5892662827767615,0.8670319506432795,1.607105787936164e-07,0.00906037811330938,0.0539234452975124,0.002445950225678408,4.2252311807581094e-08
454,7,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.8102371021959257,0.8354154278120914,0.7979077335504212,0.6941020165326206,0.7557788874480278,1.8019982051676674e-24,3.217421085270328e-27,2.859955151708855e-23,1.17634230212171e-15,1.009299965599362e-19
455,7,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.716762620920092,0.8349612716943123,0.746973936885208,0.7426119698064346,0.7525644929446839,3.75311069031059e-27,7.111112790956158e-44,1.5948499728219833e-30,5.230394877706899e-30,3.357238711245895e-31
504,8,S3-C1-A1-Q1-O1-T,Birds,General,False,0.22353611022526368,0.20854218036798883,-0.029745428062840917,0.05054306011499057,0.016364991903785917,0.02537622266949931,0.03732837622946564,0.7689263588150177,0.6175008160729143,0.871618305834072
505,8,S3-C1-A1-Q1-O1-T,Birds,General,True,0.43270495396755804,-0.11573972591173452,0.15651030249890396,0.43533537921964044,-0.03814116615519509,0.03469366253682881,0.5901952046105714,0.4651893196934448,0.033486360703654273,0.8595540881474217
506,8,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.44240076377674875,0.27037915134329493,0.4559592142118707,0.39040768069479015,0.27447301744825986,4.0557284176965466e-06,0.0065150071408969406,1.867735330868918e-06,5.9304912354157955e-05,0.0057183908353427475
507,8,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.5394583126038888,0.4524220140791546,0.5526636774846088,0.5728509329188176,0.5045511649356786,6.426350157373684e-14,9.394161347469174e-10,1.1640784525207387e-14,7.353740410656689e-16,4.177065392176405e-12
508,8,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.4029755036245392,0.26178461176021633,0.3007184785941225,0.2739536203997744,0.38996873220469425,3.227832442019788e-05,0.008513807670874935,0.002365211512707382,0.005814419861334716,6.0551713438107376e-05
509,8,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.0017467248908296944,-0.19209259048380106,0.6873362445414847,0.5930131004366812,0.6689956331877729,0.9935369424255782,0.36852706211819763,0.00020667752982415273,0.0022576803645432,0.0003510621826126994
510,8,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.46886228499703214,0.7220053021133964,0.6598757715988338,0.724719929766918,0.7511123390352993,3.9959127347561133e-07,2.476538307103644e-18,1.434959131327317e-14,1.6078078221594151e-18,1.811621424838113e-20
511,8,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.6136708210734757,0.7637315584627852,0.7324248267837584,0.772377453450799,0.8126872159178171,3.8791032017117856e-18,3.1726493477081254e-32,1.6602316394435748e-28,2.35123915078114e-33,2.2863027511732252e-39
512,8,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.5461120825382205,0.45375353130773455,0.4557196659481159,0.5346890302255368,0.6074418491917394,4.18349175856144e-09,2.1236704019076527e-06,1.8940493538765198e-06,1.0029622535512094e-08,2.0725221957672645e-11
