,prompt_generator,phenomenon,domain,rating_type,w_statistic,pvalue,significant
284,S3-C1-A1-Q3-O1,Specificity,Mammals,human_rating,300.0,5.960464477539063e-08,True
285,S3-C1-A1-Q3-O1,Specificity,Vehicles,gpt3_rating,216.0,0.030213534832000732,True
286,S3-C1-A1-Q3-O1,Specificity,Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
287,S3-C1-A1-Q3-O1,Specificity,Vehicles,human_rating,300.0,5.960464477539063e-08,True
288,S3-C1-A1-Q3-O1,Typicality,Birds,gpt3_rating,220.0,0.022839844226837158,True
289,S3-C1-A1-Q3-O1,Typicality,Birds,gpt4_rating,250.5,0.0015715360641479492,True
290,S3-C1-A1-Q3-O1,Typicality,Birds,human_rating,281.0,1.8298625946044922e-05,True
291,S3-C1-A1-Q3-O1,Typicality,Mammals,gpt3_rating,175.0,0.24539929628372192,False
292,S3-C1-A1-Q3-O1,Typicality,Mammals,gpt4_rating,188.0,0.14483356475830078,False
293,S3-C1-A1-Q3-O1,Typicality,Mammals,human_rating,275.0,1.5198802921292732e-05,True
294,S3-C1-A1-Q3-O1,Typicality,Vehicles,gpt3_rating,206.0,0.05698060989379883,False
295,S3-C1-A1-Q3-O1,Typicality,Vehicles,gpt4_rating,295.5,5.960464477539062e-07,True
296,S3-C1-A1-Q3-O1,Typicality,Vehicles,human_rating,300.0,5.960464477539063e-08,True
